#CODE;ENGLISH;FRENCH;GERMAN;SPANISH;x
AIREASON_WRONG_RELIGION;Other Race;Autre Race;;;;;x
FILTER_SAME_REL_GROUP;My Race;Ma Race;;;;;x
MENU_MESSAGES_TAB_RELIGION;Race;Race;;;;;x
INTERACTION_REQUIRES_SAME_RELIGION_AS_A_CHILD;[Recipient.GetBestName] must have same race as a child of [Actor.GetDynName];[Recipient.GetBestName] doit être de la même race que l'enfant de [Actor.GetDynName];;;;;x
INTERACTION_REQUIRES_DIFFERENT_RELIGION;[Recipient.GetBestName]is of a different race than [Actor.GetBestName];[Recipient.GetBestName] est d'une race différente de [Actor.GetBestName];;;;;x
INTERACTION_REQUIRES_THIRDPARTY_SAME_RELIGION;[ThirdPartyCharacter.GetBestName] is of the same race as [Actor.GetBestName];[ThirdPartyCharacter.GetBestName] a la même race que [Actor.GetBestName];;;;;x
INTERACTION_REQUIRES_RECIPIENT_IS_RELIGIOUS_HEAD;[Recipient.GetBestName] is the representative of [Actor.GetBestName];[Recipient.GetBestName] est le représentant de [Actor.GetBestName];;;;;x
INTERACTION_REQUIRES_TITLEHOLDER_SAME_RELIGIOUS_HEAD;[ThirdPartyTitle.Holder.GetBestName] has the same racial representative as [Actor.GetBestName];[ThirdPartyTitle.Holder.GetBestName] has the same racial representative as [Actor.GetBestName];;;;;x
INTERACTION_REQUIRES_THIRDPARTY_SAME_RELIGIOUS_HEAD;[ThirdPartyCharacter.GetBestName] has the same racial representative as [Actor.GetBestName];[ThirdPartyCharacter.GetBestName] has the same racial representative as [Actor.GetBestName];;;;;x
INTERACTION_REQUIRES_LEADS_RELIGION;[Recipient.GetBestName] is representative of [Recipient.Religion.GetName];[Recipient.GetBestName] is representative of [Recipient.Religion.GetName];;;;;x
OFFER_VASSALIZATION_INTERACTION_LONG_DESC;We can offer to vassalize all landed rulers of lower rank than us, though they will probably not accept unless they are much weaker than us and of our race and culture.;We can offer to vassalize all landed rulers of lower rank than us, though they will probably not accept unless they are much weaker than us and of our race and culture.;;;;;x
DIVORCE_INTERACTION_LONG_DESC;Characters from cultures that accept it can simply arrange a divorce settlement with their spouse.;Characters from cultures that accept it can simply arrange a divorce settlement with their spouse.;;;;;x
ATTACKING_SOMEONE_DEFENDING_AGAINST_OTHER_RELIGIOUS_GROUP;§RDeclaring war on someone defending against other races costs us an additional §Y$PIETY$ [Player.Religion.GetPietyName]§W;§RDeclaring war on someone defending against other races costs us an additional §Y$PIETY$ [Player.Religion.GetPietyName]§W;;;;;x
LEDGER_HEADER_RELIGIONS;Races;Races;;;;;x
LEDGER_RELIGION_HEAD;Representative;Représentant;;;;;x
PROV_RELIGIONCHANGE_SETUP;Territory Racial Change;Changement de Race;;;;;x
PROV_RELIGIONCHANGE_LOG;The Territory of §Y$NAME$§! has converted to the §Y$RELIGIONNAME$§! Race;Le Territoire de §Y$NAME$§! A été colonisé par les §Y$RELIGIONNAME$§!;;;;;x
MESSCAT_RELIGION;Race;Race;;;;;x
opinion_related_religion;Racial Differences;Différence de Race;;;;;x
opinion_rightful_rel_head;Representative of Race;Représentant de la Race;;;;;x
MODIFIER_RELIGION_FLEX;Opinion penalty for different race;Pénalité d'opinion à cause d'une différence de race;;;;;x
opinion_head_of_religion_negative;High King dislikes you;Representative of Race dislikes you;;;;;x
different_religion;Different Racial Group;Groupe Racial différent;;;;;x
