4785.2.1#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
b_adan_aradan;Adan Aradan;Adan Aradan;Adan Aradan;;Adan Aradan;;;;;;;;;x
b_adan_aradan_adj;Adan Aradan;;Adan Aradaner;;;;;;;;;;;x
b_adan_aradan_2;Rond Malach;Adan Aradan;Adan Aradan;;Adan Aradan;;;;;;;;;x
b_adan_aradan_2_adj;Rond Malach;;Adan Aradaner;;;;;;;;;;;x
b_adan_aradan_3;Caras Hildor;Adan Aradan;Adan Aradan;;Adan Aradan;;;;;;;;;x
b_adan_aradan_3_adj;Caras Hildor;;Adan Aradaner;;;;;;;;;;;x
b_adurant;Adurant;Adurant;Adurant;;Adurant;;;;;;;;;x
b_adurant_adj;Adurantrim;;aduranter;;;;;;;;;;;x
b_adurant_2;Harn Gildor;Adurant;Adurant;;Adurant;;;;;;;;;x
b_adurant_2_adj;Gildorim;;aduranter;;;;;;;;;;;x
b_adurant_3;Caras Adurant;Adurant;Adurant;;Adurant;;;;;;;;;x
b_adurant_3_adj;Caras Adurantrim;;aduranter;;;;;;;;;;;x
b_adurant_4;Korda Adurant;Adurant;Adurant;;Adurant;;;;;;;;;x
b_adurant_4_adj;Korda Adurantrim;;aduranter;;;;;;;;;;;x
b_aegnorardh;Aegnorardh;Aegnorardh;Aegnorardh;;Aegnorardh;;;;;;;;;x
b_aegnorardh_adj;Aegnorim;;aegnorardher;;;;;;;;;;;x
b_aegnorardh_2;Rond Aegnor;Aegnorardh;Aegnorardh;;Aegnorardh;;;;;;;;;x
b_aegnorardh_2_adj;Rond Aegnor;;aegnorardher;;;;;;;;;;;x
b_aegnorardh_3;Amon Gilbrethil;Aegnorardh;Aegnorardh;;Aegnorardh;;;;;;;;;x
b_aegnorardh_3_adj;Gilbrethilrim;;aegnorardher;;;;;;;;;;;x
b_aegnorardh_4;Caras Rochrim;Aegnorardh;Aegnorardh;;Aegnorardh;;;;;;;;;x
b_aegnorardh_4_adj;Rochrim;;aegnorardher;;;;;;;;;;;x
b_aegnorardh_5;Korda Aegnor;Aegnorardh;Aegnorardh;;Aegnorardh;;;;;;;;;x
b_aegnorardh_5_adj;Korda Aegnorim;;aegnorardher;;;;;;;;;;;x
b_aelin_uial;Aelin-uial;Aelin-uial;Aelin-uial;;Aelin-uial;;;;;;;;;x
b_aelin_uial_adj;Aelin-uialrim;;aelin-uialer;;;;;;;;;;;x
b_aelin_uial_2;Caras Aros;Aelin-uial;Aelin-uial;;Aelin-uial;;;;;;;;;x
b_aelin_uial_2_adj;Caras Arothrim;;aelin-uialer;;;;;;;;;;;x
b_aelin_uial_3;Mere-keep;Aelin-uial;Aelin-uial;;Aelin-uial;;;;;;;;;x
b_aelin_uial_3_adj;Mere-keep;;aelin-uialer;;;;;;;;;;;x
b_aelin_uial_4;Hithliniath;Aelin-uial;Aelin-uial;;Aelin-uial;;;;;;;;;x
b_aelin_uial_4_adj;Hithliniathrim;;aelin-uialer;;;;;;;;;;;x
b_aelin_uial_5;Taur Iathardh;Aelin-uial;Aelin-uial;;Aelin-uial;;;;;;;;;x
b_aelin_uial_5_adj;Iathardhrim;;aelin-uialer;;;;;;;;;;;x
b_aeluin;Tarn Aeluin;;;;;;;;;;;;;x
b_aeluin_adj;Tarn Aeluinrim;;;;;;;;;;;;;x
b_aeluin_2;Echad Taliskrim;;;;;;;;;;;;;x
b_aeluin_2_adj;Echad;;;;;;;;;;;;;x
b_aeluin_3;Cenedril;;;;;;;;;;;;;x
b_aeluin_3_adj;Cenedrim;;;;;;;;;;;;;x
b_aeluin_4;Gorlimost;;;;;;;;;;;;;x
b_aeluin_4_adj;Gorlimothrim;;;;;;;;;;;;;x
b_aglon_gobel;Aglon Gobel;Aglon Gobel;Aglon Gobel;;Aglon Gobel;;;;;;;;;x
b_aglon_gobel_adj;Aglon Gobelrim;;Aglon Gobeler;;;;;;;;;;;x
b_alat_nortil;Alat-Nortil;Alat-Nortil;Alat-Nortil;;Alat-Nortil;;;;;;;;;x
b_alat_nortil_adj;Alat-Nortilrim;;alat-nortiler;;;;;;;;;;;x
b_alat_nortil_2;Rond Maglass;Alat-Nortil;Alat-Nortil;;Alat-Nortil;;;;;;;;;x
b_alat_nortil_2_adj;Maglathrim;;alat-nortiler;;;;;;;;;;;x
b_alat_nortil_3;Taur-im-Hardor;Alat-Nortil;Alat-Nortil;;Alat-Nortil;;;;;;;;;x
b_alat_nortil_3_adj;Hardorim;;alat-nortiler;;;;;;;;;;;x
b_alat_nortil_4;Nortilost;Alat-Nortil;Alat-Nortil;;Alat-Nortil;;;;;;;;;x
b_alat_nortil_4_adj;Nortilothrim;;alat-nortiler;;;;;;;;;;;x
b_alat_nortil_5;Rond Lasbelin;Alat-Nortil;Alat-Nortil;;Alat-Nortil;;;;;;;;;x
b_alat_nortil_5_adj;Lasbelithrim;;alat-nortiler;;;;;;;;;;;x
b_alda_linyenwa;Alda Linyenwa;Alda Linyenwa;Alda Linyenwa;;Alda Linyenwa;;;;;;;;;x
b_alda_linyenwa_adj;Alda Linyenwan;;Alda Linyenwer;;;;;;;;;;;x
b_alkarin_himlathrim;Alkarin Himlathrim;Alkarin Himlathrim;Alkarin Himlathrim;;Alkarin Himlathrim;;;;;;;;;x
b_alkarin_himlathrim_adj;Alkarin Himlathrim;;Alkarin Himlathrimer;;;;;;;;;;;x
b_alkatum;Alkatum;Alkatum;Alkatum;;Alkatum;;;;;;;;;x
b_alkatum_adj;Alkatumrim;;alkatumer;;;;;;;;;;;x
b_amon_darthir;Amon Darthir;Amon Darthir;Amon Darthir;;Amon Darthir;;;;;;;;;x
b_amon_darthir_adj;Amon Darthirim;;Amon Darthirer;;;;;;;;;;;x
b_amon_darthir_2;Caras Darthir;Amon Darthir;Amon Darthir;;Amon Darthir;;;;;;;;;x
b_amon_darthir_2_adj;Caras Darthirim;;Amon Darthirer;;;;;;;;;;;x
b_amon_draug;Hadorimdal;Amon Draug;Amon Draug;;Amon Draug;;;;;;;;;x
b_amon_draug_adj;Amon Draugrim;;Amon Drauger;;;;;;;;;;;x
b_amon_draug_2;Dalrond;Amon Draug;Amon Draug;;Amon Draug;;;;;;;;;x
b_amon_draug_2_adj;Dalrondrim;;Amon Drauger;;;;;;;;;;;x
b_amon_draug_3;Korda Gonrim;Amon Draug;Amon Draug;;Amon Draug;;;;;;;;;x
b_amon_draug_3_adj;Gondrim;;Amon Drauger;;;;;;;;;;;x
b_amon_ethir;Amon Ethir;Amon Ethir;Amon Ethir;;Amon Ethir;;;;;;;;;x
b_amon_ethir_adj;Amon Ethirim;;Amon Ethirer;;;;;;;;;;;x
b_amon_ethir_2;Dagarphendhol;Amon Ethir;Amon Ethir;;Amon Ethir;;;;;;;;;x
b_amon_ethir_2_adj;Dagarphendholrim;;Amon Ethirer;;;;;;;;;;;x
b_amon_ethir_3;Barad Isthir;Amon Ethir;Amon Ethir;;Amon Ethir;;;;;;;;;x
b_amon_ethir_3_adj;Isthirim;;Amon Ethirer;;;;;;;;;;;x
b_amon_gwareth;Túriontar;Túriontar;Túriontar;;Túriontar;;;;;;;;;x
b_amon_gwareth_adj;Túriontar;;Túriontar;;;;;;;;;;;x
b_amon_obel;The Ephel;;;;;;;;;;;;;x
b_amon_obel_adj;Ephelrim;;;;;;;;;;;;;x
b_amon_obel_2;Obel Halad;;;;;;;;;;;;;x
