#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
d_adurant;Adurant;Adurant;Adurant;;Adurant;;;;;;;;;x
d_adurant_adj;Adurim;;;;;;;;;;;;;x
d_dor_dinen;Dor Dinen;Dor Dinen;Dor Dinen;;Dor Dinen;;;;;;;;;x
d_dor_dinen_adj;Dor Dinen;;;;;;;;;;;;;x
d_eithel_ninui;Gwarestrin;;;;;;;;;;;;;x
d_tumladen;Gar Thurion;;;;;;;;;;;;;x
d_eryd_echor;Anghabar;;;;;;;;;;;;;x
d_orfalch_echor;Great Gate;;;;;;;;;;;;;x
d_gaurwaithbardh;Gaurwaithbardh;Gaurwaithbardh;Gaurwaithbardh;;Gaurwaithbardh;;;;;;;;;x
d_gaurwaithbardh_adj;Gaurwaithbardh;;;;;;;;;;;;;x
d_anach;Anach;Anach;Anach;;Anach;;;;;;;;;x
d_anach_adj;Anachrim;;;;;;;;;;;;;x
d_andram;Andram;Andram;Andram;;Andram;;;;;;;;;x
d_andram_adj;Andrim;;;;;;;;;;;;;x
d_ard_galen;Ard-Galen;Ard-Galen;Ard-Galen;;Ard-Galen;;;;;;;;;x
d_ard_galen_adj;Ard-Galen;;;;;;;;;;;;;x
d_artanor;Artanor;Artanor;Artanor;;Artanor;;;;;;;;;x
d_artanor_adj;Artanorim;;;;;;;;;;;;;x
d_arthorien;Arthórien;Arthórien;Arthórien;;Arthórien;;;;;;;;;x
d_arthorien_adj;Arthórien;;;;;;;;;;;;;x
d_arvernien;Arvernien;Arvernien;Arvernien;;Arvernien;;;;;;;;;x
d_arvernien_adj;Arvernien;;arvernien;;;;;;;;;;;x
d_ascar;Ascar;Ascar;Ascar;;Ascar;;;;;;;;;x
d_ascar_adj;Ascarim;;;;;;;;;;;;;x
d_avandor;Avandor;Avandor;Avandor;;Avandor;;;;;;;;;x
d_avandor_adj;Avandrim;;;;;;;;;;;;;x
d_bay_of_balar;Balar;Balar;Balar;;Balar;;;;;;;;;x
d_bay_of_balar_adj;Balarim;;;;;;;;;;;;;x
d_brilthor;Brilthor;Brilthor;Brilthor;;Brilthor;;;;;;;;;x
d_brilthor_adj;Brilthrim;;;;;;;;;;;;;x
d_brithiac;Harniach;;;;;;;;;;;;;x
d_brithiac_adj;Harniachrim;;;;;;;;;;;;;x
d_mindeb;Mindeb;;;;;;;;;;;;;x
d_mindeb_adj;Mindebrim;;;;;;;;;;;;;x
d_brethil;Brithiac;;;;;;;;;;;;;x
d_brethil_adj;Brithiacrim;;;;;;;;;;;;;x
d_brithon;Brithon;Brithon;;;;;;;;;;;;x
d_brithon_adj;Brithondrim;;;;;;;;;;;;;x
d_calensta;Calensta;Calensta;Calensta;;Calensta;;;;;;;;;x
d_calensta_adj;Calenstrim;;;;;;;;;;;;;x
d_daertelaith;Daertelaith;Daertelaith;Daertelaith;;Daertelaith;;;;;;;;;x
d_daertelaith_adj;Daertelaithrim;;;;;;;;;;;;;x
d_darthir;Darthir;Darthir;Darthir;;Darthir;;;;;;;;;x
d_darthir_adj;Darthrim;;;;;;;;;;;;;x
d_dimbar;Dimbar;Dimbar;Dimbar;;Dimbar;;;;;;;;;x
d_dimbar_adj;Dimbar;;;;;;;;;;;;;x
d_dor_cuarthol;Sharbhund;;;;;;;;;;;;;x
d_dor_cuarthol_adj;Sharbhundul;;;;;;;;;;;;;x
d_dor_lomin;Dor-lómin;Dor-lómin;Dor-lómin;;Dor-lómin;;;;;;;;;x
d_dor_lomin_adj;Dor-lómin;;;;;;;;;;;;;x
d_dor_na_daerachas;Dor-na-Daerachas;;;;;;;;;;;;;x
d_dor_na_daerachas_adj;Dor-na-Daerachas;;;;;;;;;;;;;x
d_duilwen;Duilwen;Duilwen;Duilwen;;Duilwen;;;;;;;;;x
d_duilwen_adj;Duilwenim;;;;;;;;;;;;;x
d_eglamar;Eglamar;Eglamar;Eglamar;;Eglamar;;;;;;;;;x
d_eglamar_adj;Eglamar;;;;;;;;;;;;;x
d_eglandor;Eglandor;Eglandor;Eglandor;;Eglandor;;;;;;;;;x
d_eglandor_adj;Eglandrim;;;;;;;;;;;;;x
d_eithel_sirion;Eithel Sirion;Eithel Sirion;Eithel Sirion;;Eithel Sirion;;;;;;;;;x
d_eithel_sirion_adj;Eithel Sirion;;;;;;;;;;;;;x
d_enaid_dorthonion;Enaid-Dorthonion;Enaid-Dorthonion;Enaid-Dorthonion;;Enaid-Dorthonion;;;;;;;;;x
d_enaid_dorthonion_adj;Enaid-Dorthonrim;;;;;;;;;;;;;x
d_enwinanuine;Enwinanuinë;Enwinanuinë;Enwinanuinë;;Enwinanuinë;;;;;;;;;x
d_enwinanuine_adj;Enwinanuin;;;;;;;;;;;;;x
d_ered_engrin;Ered Engrin;Ered Engrin;Ered Engrin;;Ered Engrin;;;;;;;;;x
d_ered_engrin_adj;Engrinrim;;;;;;;;;;;;;x
d_ered_gorgoroth;Ered Gorgoroth;Ered Gorgoroth;Ered Gorgoroth;;Ered Gorgoroth;;;;;;;;;x
d_ered_gorgoroth_adj;Gorgorothrim;;;;;;;;;;;;;x
d_esgaliant;Esgaliant;Esgaliant;Esgaliant;;Esgaliant;;;;;;;;;x
d_esgaliant_adj;Esgaliantrim;;;;;;;;;;;;;x
d_falasquil;Falasquil;Falasquil;Falasquil;;Falasquil;;;;;;;;;x
d_falasquil_adj;Falasquil;;;;;;;;;;;;;x
d_farestolad;Farestolad;Farestolad;Farestolad;;Farestolad;;;;;;;;;x
d_farestolad_adj;Farestoladrim;;;;;;;;;;;;;x
d_faroth;Faroth;Faroth;Faroth;;Faroth;;;;;;;;;x
d_faroth_adj;Farothrim;;;;;;;;;;;;;x
d_fingolfinardh;Fingolfinardh;Fingolfinardh;Fingolfinardh;;Fingolfinardh;;;;;;;;;x
d_fingolfinardh_adj;Fingolfinrim;;;;;;;;;;;;;x
d_fingonardh;Fingonardh;Fingonardh;Fingonardh;;Fingonardh;;;;;;;;;x
d_fingonardh_adj;Fingonrim;;;;;;;;;;;;;x
d_forfalas;Forfalas;Forfalas;Forfalas;;Forfalas;;;;;;;;;x
d_forfalas_adj;Forfalathrim;;;;;;;;;;;;;x
d_forlinaewen;Forlinaewen;Forlinaewen;Forlinaewen;;Forlinaewen;;;;;;;;;x
d_forlinaewen_adj;Forlinaewen;;;;;;;;;;;;;x
d_forlothlann;Forlothlann;Forlothlann;Forlothlann;;Forlothlann;;;;;;;;;x
d_forlothlann_adj;Forlothlannin;;;;;;;;;;;;;x
d_forlum;Forlum;Forlum;Forlum;;Forlum;;;;;;;;;x
d_forlum_adj;Forlum;;;;;;;;;;;;;x
d_formithrim;Formithrim;Formithrim;Formithrim;;Formithrim;;;;;;;;;x
d_formithrim_adj;Formithrim;;;;;;;;;;;;;x
d_fornagelion;Fornagelion;Fornagelion;Fornagelion;;Fornagelion;;;;;;;;;x
d_fornagelion_adj;Fornagelion;;;;;;;;;;;;;x
d_forthargelion;Forthargelion;Forthargelion;Forthargelion;;Forthargelion;;;;;;;;;x
d_forthargelion_adj;Forthargelionrim;;;;;;;;;;;;;x
d_gabilgathol;Gabilgathol;Gabilgathol;Gabilgathol;;Gabilgathol;;;;;;;;;x
d_gabilgathol_adj;Gabilgathul;;;;;;;;;;;;;x
d_gondolin;Gondolin;Gondolin;Gondolin;;Gondolin;;;;;;;;;x
d_gondolin_adj;Gondolindrim;;;;;;;;;;;;;x
d_harestolad;Harestolad;Harestolad;Harestolad;;Harestolad;;;;;;;;;x
d_harestolad_adj;Harestoladrim;;;;;;;;;;;;;x
d_harfalas;Harfalas;Harfalas;Harfalas;;Harfalas;;;;;;;;;x
d_harfalas_adj;Harfalathrim;;;;;;;;;;;;;x
d_harlinaewen;Harlinaewen;Harlinaewen;Harlinaewen;;Harlinaewen;;;;;;;;;x
d_harlinaewen_adj;Harlinaewen;;harlinaewen;;;;;;;;;;;x
d_harlothlann;Harlothlann;Harlothlann;Harlothlann;;Harlothlann;;;;;;;;;x
d_harlothlann_adj;Harlothlann;;harlothlann;;;;;;;;;;;x
d_harmithrum;Harmithrum;Harmithrum;Harmithrum;;Harmithrum;;;;;;;;;x
d_harmithrum_adj;Harmithrum;;harmithrum;;;;;;;;;;;x
d_harnlum;Harnlum;Harnlum;Harnlum;;Harnlum;;;;;;;;;x
d_harnlum_adj;Harnlum;;harnlum;;;;;;;;;;;x
d_harthargelion;Harthargelion;Harthargelion;Harthargelion;;Harthargelion;;;;;;;;;x
d_harthargelion_adj;Harthargelionrim;;;;;;;;;;;;;x
d_helevorn;Helevorn;Helevorn;Helevorn;;Helevorn;;;;;;;;;x
d_helevorn_adj;Helevorn;;;;;;;;;;;;;x
d_himlad;Himlad;Himlad;Himlad;;Himlad;;;;;;;;;x
d_himlad_adj;Himladrim;;;;;;;;;;;;;x
d_hiswatuna;Hiswatúna;Hiswatúna;Hiswatúna;;Hiswatúna;;;;;;;;;x
d_hiswatuna_adj;Hiswatúnin;;;;;;;;;;;;;x
d_hyallondie;Hyallondie;Hyallondie;Hyallondie;;Hyallondie;;;;;;;;;x
d_hyallondie_adj;Hyallondin;;;;;;;;;;;;;x
d_ivrin;Ivrin;Ivrin;Ivrin;;Ivrin;;;;;;;;;x
d_ivrin_adj;Ivrin;;;;;;;;;;;;;x
d_ladros;Ladros;Ladros;Ladros;;Ladros;;;;;;;;;x
d_ladros_adj;Ladrim;;;;;;;;;;;;;x
d_lammoth;Lammoth;Lammoth;Lammoth;;Lammoth;;;;;;;;;x
d_lammoth_adj;Lammothrim;;;;;;;;;;;;;x
d_legolin;Legolin;Legolin;Legolin;;Legolin;;;;;;;;;x
d_legolin_adj;Legolindrim;;;;;;;;;;;;;x
d_lhostesgar;Lhostesgar;Lhostesgar;Lhostesgar;;Lhostesgar;;;;;;;;;x
d_lhostesgar_adj;Lhostesgarim;;;;;;;;;;;;;x
d_lithir_malduin;Lithir-Malduin;Lithir-Malduin;Lithir-Malduin;;Lithir-Malduin;;;;;;;;;x
d_lithir_malduin_adj;Lithir-Malduin;;;;;;;;;;;;;x
d_lond_sirion;Lond Sirion;Lond Sirion;Lond Sirion;;Lond Sirion;;;;;;;;;x
d_lond_sirion_adj;Lond Sirion;;;;;;;;;;;;;x
d_lossoth;Lossoth;Lossoth;Lossoth;;Lossoth;;;;;;;;;x
d_lossoth_adj;Lossoth;;;;;;;;;;;;;x
d_maglors_gap;Maglor's Gap;Maglor's Gap;Maglor's Gap;;Maglor's Gap;;;;;;;;;x
d_maglors_gap_adj;Gap;;;;;;;;;;;;;x
d_marches_of_maedhros;March of Maedhros;March of Maedhros;March of Maedhros;;March of Maedhros;;;;;;;;;x
d_marches_of_maedhros_adj;March;;;;;;;;;;;;;x
d_minui_annui_eryn;Minui Annui Eryn;;;;;;;;;;;;x
d_minui_annui_eryn_adj;Minui Annui Erynin;;;;;;;;;;;;x
d_minui_edwyn_eryn;Minui Edwyn Eryn;;;;;;;;;;;;x
d_minui_edwyn_eryn_adj;Minui Edwyn Erynin;;;;;;;;;;;;x
d_nan_elmoth;Nan Elmoth;Nan Elmoth;Nan Elmoth;;Nan Elmoth;;;;;;;;;x
d_nan_elmoth_adj;Elmothrim;;;;;;;;;;;;;x
d_nan_tathren;Nan-tathren;Nan-tathren;Nan-tathren;;Nan-tathren;;;;;;;;;x
d_nan_tathren_adj;Nan-tathren;;nan-tathren;;;;;;;;;;;x
d_nargothrond;Nargothrond;Nargothrond;Nargothrond;;Nargothrond;;;;;;;;;x
d_nargothrond_adj;Nargothrondrim;;;;;;;;;;;;;x
d_neldoreth;Neldoreth;Neldoreth;Neldoreth;;Neldoreth;;;;;;;;;x
d_neldoreth_adj;Neldorethrim;;neldorethrim;;;;;;;;;;;x
d_nivrim;Nivrim;;;;;;;;;;;;;x
d_nivrim_adj;Nivrim;;;;;;;;;;;;;x
d_nuath;Núath;Núath;Núath;;Núath;;;;;;;;;x
d_nuath_adj;Núathrim;;;;;;;;;;;;;x
d_nunaluksor;Núnaluksor;Núnaluksor;Núnaluksor;;Núnaluksor;;;;;;;;;x
d_nunaluksor_adj;Núnaluksorin;;;;;;;;;;;;;x
d_obel;Obel;Obel;Obel;;Obel;;;;;;;;;x
d_obel_adj;Obel;;;;;;;;;;;;;x
