#CODE;ENGLISH;FRENCH;GERMAN;SPANISH;ITALIAN;OBSOLETEx
ct_iron_mine_1;Iron Mine;;;;;;x
ct_iron_mine_2;Iron Mine;;;;;;x
ct_iron_mine_3;Iron Mine;;;;;;x
ct_iron_mine_1_desc;This mine harvests iron, a strong, versatile metal, from a particularly large vein of high-quality ore.;;;;;;x
ct_magma_forge_1;Magma Forge;;;;;;x
ct_magma_forge_2;Magma Forge;;;;;;x
ct_magma_forge_3;Magma Forge;;;;;;x
ct_magma_forge_1_desc;This forge is furnaced by a chamber of magma found within the mountain. The consistent, high heat makes for quick, high quality metallurgical crafts.;;;;;;x
ct_copper_mine_1;Copper Mine;;;;;;x
ct_copper_mine_2;Copper Mine;;;;;;x
ct_copper_mine_3;Copper Mine;;;;;;x
ct_copper_mine_1_desc;This mine extracts large amounts of high-quality copper from the earth, to be used in a variety of civic and military applications.;;;;;;x
ct_tin_mine_1;Tin Mine;;;;;;x
ct_tin_mine_2;Tin Mine;;;;;;x
ct_tin_mine_3;Tin Mine;;;;;;x
ct_tin_mine_1_desc;This mine harvests a rare vein of Tin, an essential element in bronzemaking.;;;;;;x
ct_stone_quarry_1;Stone Quarry;;;;;;x
ct_stone_quarry_2;Stone Quarry;;;;;;x
ct_stone_quarry_3;Stone Quarry;;;;;;x
ct_stone_quarry_1_desc;This quarry harvests and cuts exceptionally smooth, sturdy stone for construction and trade.;;;;;;x
ct_gold_mine_1;Gold Mine;;;;;;x
ct_gold_mine_2;Gold Mine;;;;;;x
ct_gold_mine_3;Gold Mine;;;;;;x
ct_gold_mine_1_desc;This gold mine harvests the precious metal from a large, unusually pure vein in the earth. While this brings wealth to its lord, it devalues Dwarf-Road currency.;;;;;;x
ct_silver_mine_1;Silver Mine;;;;;;x
ct_silver_mine_2;Silver Mine;;;;;;x
ct_silver_mine_3;Silver Mine;;;;;;x
ct_silver_mine_1_desc;This silver mine harvests the precious metal from a large, unusually pure vein in the earth. While this brings wealth to its lord, it devalues Dwarf-Road currency.;;;;;;x
ct_gemstones_mine_1;Gemstone Mine;;;;;;x
ct_gemstones_mine_2;Gemstone Mine;;;;;;x
ct_gemstones_mine_3;Gemstone Mine;;;;;;x
ct_gemstones_mine_1_desc;Gemstones of impressive size and clarity are produced from this mine.;;;;;;x
ct_lapis_mine_1;Lapis Mine;;;;;;x
ct_lapis_mine_2;Lapis Mine;;;;;;x
ct_lapis_mine_3;Lapis Mine;;;;;;x
ct_lapis_mine_1_desc;This mine extracts rare blue pigment from the earth for trade.;;;;;;x
ct_salt_mine_1;Salt Mine;;;;;;x
ct_salt_mine_2;Salt Mine;;;;;;x
ct_salt_mine_3;Salt Mine;;;;;;x
ct_salt_mine_1_desc;This relatively shallow mine harvests a large salt deposit, sold as a preservative for wintering civilians and marching soldiers.;;;;;;x
ft_grandcamp;Camp Following;;;;;;x
ft_grandcamp_desc;The fort is host to a camp following, providing goods and services to the warriors housed within.;;;;;;x
ft_watchtower;Watchtower;;;;;;x
ft_watchtower_desc;Watchtowers allow more troops to defend the walls.;;;;;;x
ft_earthworks;Earthworks;;;;;;x
ft_earthworks_desc;The fort is surrounded by earthwork foritifications, improving its permanance and defensibility.;;;;;;x
tp_ruined_road_1;Ruined Roads;Route Abandonnée;;;Strade abbandonate;;x
tp_ruined_road_1_desc;Ruined Roads;Route Abandonnée;;;Strade abbandonate;;x
tp_dirt_road_2;Dirt Roads;Route de Terre;;;Strade sterrate;;x
tp_dirt_road_2_desc;Dirt Roads;Route de Terre;;;Strade sterrate;;x
tp_paved_road_3;Paved Roads;Route Pavée;;;Strade lastricate;;x
tp_paved_road_3_desc;Paved Roads;Route Pavée;;;Strade lastricate;;x
tp_great_route_4;Great Route;Grande Route;;;Grande Arteria;;x
tp_great_route_4_desc;Great Route;Grande Route;;;Grande Arteria;;x
ca_Vport_1;Merchant Port;Port marchand;Handelshafen;Puerto Mercante;;;;x
ca_Vport_2;Merchant Port;Port marchand;Handelshafen;Puerto Mercante;;;;x
ca_Vport_3;Merchant Port;Port marchand;Handelshafen;Puerto Mercante;;;;x
ca_Vport_4;Merchant Port;Port marchand;Handelshafen;Puerto Mercante;;;;x
ca_Vport_5;Merchant Port;Port marchand;Handelshafen;Puerto Mercante;;;;x
ca_Vport_1_desc;Merchant Port;Port marchand;Handelshafen;Puerto Mercante;;;;x
ca_Vport_2_desc;Merchant Port;Port marchand;Handelshafen;Puerto Mercante;;;;x
ca_Vport_3_desc;Merchant Port;Port marchand;Handelshafen;Puerto Mercante;;;;x
ca_Vport_4_desc;Merchant Port;Port marchand;Handelshafen;Puerto Mercante;;;;x
ca_Vport_5_desc;Merchant Port;Port marchand;Handelshafen;Puerto Mercante;;;;x
ct_telain_1;Telain;Telain;;;;;;;x
ct_telain_1_desc;Telain are the preferred living arrangement of many elf-lords, who construct halls high in the canopies of the realm's forests.;Les Telain sont des plates-formes construites dans les arbres -des mallorns- par les Galadhrims de la Lothlorien.;;;;;;;x
ct_telain_2;Dyrnath;Telain;;;;;;;x
ct_telain_2_desc;Dyrnath 'Oak-Towers' are the largest of the Telain, citadels of interconnected tree-forts hanging hig above the woodland realms of the Green-Elves.;Les Telain sont des plates-formes construites dans les arbres -des mallorns- par les Galadhrims de la Lothlorien.;;;;;;;x
ca_treehouses;Tree-Homes;;;;;;;x
ca_treehouses2;Tree-Mansions;;;;;;;x
ca_treehouses3;Telain;;;;;;;x
ca_treehouses4;Dyniath;;;;;;;x
ca_treehouses_desc;Green-Elves prefer to live in Tree-Homes, above the dangers of the forest floor and secluded from prying eyes.;;;;;;;x
ca_treehouses2_desc;The nobles of the forest build grand homes in the canopies, eschewing secrecy in favor of splendor.;;;;;;;x
ca_treehouses3_desc;In the later years of the First Age, the Green-Elves learned of the Mallorn and the architecture of Telain from the knowledge of High Elven refugees.;;;;;;;x
ca_treehouses4_desc;Dyrnath 'Oak-Towers' are the largest of the Telain, citadels of interconnected tree-forts hanging hig above the woodland realms of the Green-Elves.;;;;;;;x
ct_oakleather_tannery_1;Oak-Leather Tannery I;;;;;;;x
ct_oakleather_tannery_2;Oak-Leather Tannery II;;;;;;;x
ct_oakleather_tannery_3;Oak-Leather Tannery III;;;;;;;x
ct_oakleather_tannery_1_desc;Oak-Leather is a fabled material of exceeding quality and strength crafted solely by the Green-Elves of Ossiriand. It is tanned through secret procedures in the Oak-Leather Tanneries of their forest homes.;;;;;;;x
ct_oakleather_tannery_2_desc;Oak-Leather is a fabled material of exceeding quality and strength crafted solely by the Green-Elves of Ossiriand. It is tanned through secret procedures in the Oak-Leather Tanneries of their forest homes.;;;;;;;x
ct_oakleather_tannery_3_desc;Oak-Leather is a fabled material of exceeding quality and strength crafted solely by the Green-Elves of Ossiriand. It is tanned through secret procedures in the Oak-Leather Tanneries of their forest homes.;;;;;;;x
tb_oakleather_tannery_1;Oak-Leather Tannery I;;;;;;;x
tb_oakleather_tannery_2;Oak-Leather Tannery II;;;;;;;x
tb_oakleather_tannery_3;Oak-Leather Tannery III;;;;;;;x
tb_oakleather_tannery_1_desc;Oak-Leather is a fabled material of exceeding quality and strength crafted solely by the Green-Elves of Ossiriand. It is tanned through secret procedures in the Oak-Leather Tanneries of their forest homes.;;;;;;;x
tb_oakleather_tannery_2_desc;Oak-Leather is a fabled material of exceeding quality and strength crafted solely by the Green-Elves of Ossiriand. It is tanned through secret procedures in the Oak-Leather Tanneries of their forest homes.;;;;;;;x
tb_oakleather_tannery_3_desc;Oak-Leather is a fabled material of exceeding quality and strength crafted solely by the Green-Elves of Ossiriand. It is tanned through secret procedures in the Oak-Leather Tanneries of their forest homes.;;;;;;;x

