#CODE;ENGLISH;FRENCH;GERMAN;SPANISH;ITALIAN;x
#RELIGION GROUPS;x;x;x;x;x;x
CHURCH_NAME;$RELIGION$ ($GROUP$);$RELIGION$ ($GROUP$);;;$RELIGION$ ($GROUP$);;x
religion_group_eruhini;Ainur;Ainur;;;;;;x
religion_group_enyd;Onodrim;Onodrim;;;;;;x
religion_group_khazad;Khazâd;Khazâd;;;;;;x
religion_group_eldar;Eldar;Eldar;;;;;;x
religion_group_periannath;Periannath;Periannath;;;;;;x
religion_group_edain;Edain;Edain;;;;;;x
religion_group_hildor;Men of Darkness;Hommes de l'Ombre;;;Uomini dell'Oscurità;;;;;;x
religion_group_melkor;Creatures of Melkor;Créatures de Melkor;;;;;;x
religion_group_orkish;Orcs;Orques;;;;;;x
religion_group_olog;Olog;Olog;;;;;;x
religion_group_forodwaith;Mornerim;Eldar;;;;;;x
religion_group_wilderness;Wilderness;Vie sauvage;;;;;;x
#RELIGIONS#
religion_eruhini;Ainur;Ainur;;;;;;x
religion_umaiar;Ilainur;Ilainur;;;;;;x
religion_enyd;Onodrim;Onodrim;;;;;;x
religion_mahal;Dwarven;Nains;;;Nani;;x
religion_moriquendi;Dark Elven;Dark Elven;;;;;;x
religion_calaquendi;High Elven;High Elven;;;;;;x
religion_perian;Halfling;Halfling;;;Halfling;;x
religion_stoor;Stoor;Stoor;;;;;;x
religion_druedain;Drúedain;Drúedain;;;;;;x
religion_edain;Edain;Edain;;;;;;x
religion_dunedain;Dúnedain;Dúnedain;;;;;;x
religion_numenorean;Númenórean;Númenóreen;;;;;;x
religion_black_numenorean;Black Númenórean;Númenóreen Noir;;;;;;x
religion_rhovanion;Northmen;;;;Uomini del Nord;;;;;;x
religion_easterlings;Easterling;Easterling;;;Esterling;;;;;;x
religion_haldadian;Haldadian;Haldadian;;;;;;x
religion_southron;Southron;Hommes du Sud;;;Sudroni;;;;;;x
religion_ishmalogim;Ishmalogim;Ishmalogim;;;;;;x
religion_lossoth;Forodwaith;Lossoth;;;Lossoth;;;;;;x
religion_angmarim;Angmarim;Angmarim;;;;;;x
religion_melkor;Creature of Melkor;Créatures de Melkor;;;;;;x
religion_orkish;Orkish;Orques;;;;;;x
religion_uruk;Uruk;Uruk;;;;;;x
religion_olog;Troll;Troll;;;;;;x
religion_wilderness;Wilderness;Vie sauvage;;;Lande Selvagge;;;;;;x
religion_nurning;Núrnoth;Núrnoth;;;Núrnoth;;;;;;x
religion_wight;Wights;;;;Spettri;;x
religion_spider;Ungolian;Ungolian;;;Ungolia#
religion_dragons;Drakes;Drakes;;;Drakes;;;#
religion_anach;Anachrim;;;;;;;#
#RELIGIONS_DESC#
religion_eruhini_DESC;The heritage of this character.;Le groupe culturel de ce personnage.;;;;;;x
religion_umaiar_DESC;The heritage of this character.;Le groupe culturel de ce personnage.;;;;;;x
#Onodrim
religion_enyd_DESC;The Onodrim, also known as the Ents, were large sentient, humanoid beings created at the request of Yavanna to protect the trees from other creatures, particularly Dwarves, and thus were called "Shepherds of the Trees". They mainly protect the Huorns, creatures much like Ents although not truly sentient, as well as the normal trees of the forests they dwell in and wander. \n\nThey are found in Fangorn Forest, named after the oldest Ent left in Middle-Earth.;;;;;;x
#Dwarves
