#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
WELCOME_HEADER;Welcome to Crusader Kings II;Bienvenue à Crusader Kings II;Willkommen zu Crusader Kings II;;Bienvenido a Crusader Kings II;;;;;;;;;x
#WELCOME_TEXT;You can play as any medieval ruler at any point in time, from a lowly count to an all-powerful emperor. When your character dies, you will need an heir to take over, and so on, down the ages. The starting situation is historical - and thus completely unbalanced. Check the difficulty estimation of a ruler before you start playing!;Vous pouvez incarner tous les souverains du Moyen Âge, quelle que soit leur période historique, de l'humble comte jusqu'à l'empereur tout puissant. Quand votre personnage mourra, vous devrez avoir un héritier pour reprendre le contrôle et faire ainsi perdurer votre royaume à travers les âges. Les situations de départ sont historiques, donc déséquilibrées. Assurez-vous de vérifier le niveau de difficulté de chaque souverain avant de commencer !;Ihr könnt zum Spielen jeden mittelalterlichen Herrscher zu jedem beliebigen Zeitpunkt auswählen, vom einfachen Grafen bis zum mächtigen Kaiser. Jedes Mal, wenn Eure Spielfigur stirbt, benötigt Ihr einen Erben, der Euer Erbe weiterführt, und so schreitet Ihr fort durch die Zeitalter. Die Ausgangssituation ist historisch und damit absolut unausgewogen. Beachtet vor dem Start eines neuen Spiels den voraussichtlichen Schwierigkeitsgrad des Herrschers, den Ihr auswählen möchtet!;;Puedes jugar como gobernante medieval de cualquier época, ya sea como modesto conde o como emperador todopoderoso. Cuando muera tu personaje, precisarás un heredero que tome el poder, y así sucesivamente a lo largo del tiempo. La situación inicial es histórica, por lo tanto totalmente desequilibrada. ¡Comprueba la estimación de dificultad de un gobernante antes de empezar a jugar!;;;;;;;;;x
WELCOME_FIRST_PLAY_RECOMMEND;\n\nFor your first game we strongly recommend playing as one of the Dwarf-Lords of the blue mountains which experience dynastic gameplay due to death by old age and are generally not under constant threat of destruction.;\n\nPour votre première expérience, nous vous recommandons fortement d'incarner le §YRoi Alphonse VI de León§! lors d'un scénario d'apprentissage. À la fin du scénario, vous pourrez poursuivre votre partie en mode normal.;\n\nFür das erste Spiel empfehlen wir das Übungsszenario und die Auswahl von §YKönig Alfons VI. von León§!. Im Anschluss daran könnt Ihr normal weiterspielen.;;\n\n¡Te recomendamos que en tu primera partida elijas un escenario especial de aprendizaje y juegues como el §YRey Alfonso VI de León§! Después de ello, podrás seguir jugando de manera normal.;;;;;;;;;x
WELCOME_PLAY_LEARNING_SCENARIO;Learning Scenario;Scénario d'apprentissage;Übungsszenario;;Escenario de Aprendizaje;;;;;;;;;x
WELCOME_PLAY_NORMAL_GAME;Normal Game;Partie normale;Normales Spiel;;Juego Normal;;;;;;;;;x
DONT_SHOW_AGAIN;Don't show this again;Ne plus afficher;Nicht wieder anzeigen;;No mostrar esto de nuevo;;;;;;;;;x

TITLE_CREATION_TEMPORARY_TITLE;Neither temporary title holders nor their vassals can create any titles;Les titulaires de titres temporaires et leurs vassaux ne peuvent pas créer de titre.;Besitzer oder Vasallen eines temporären Titels können keine Titel erschaffen.;;Ni los poseedores de títulos temporales ni los vasallos pueden crear ningún título;;;;;;;;;x
TEMP_T_HOLDER_CANT_DESTROY_T;Neither temporary title holders nor their vassals can destroy any titles;Les titulaires de titres temporaires et leurs vassaux ne peuvent pas détruire de titre.;Besitzer oder Vasallen eines temporären Titels können keine Titel zerstören.;;Ni los poseedores de títulos temporales ni los vasallos pueden destruir ningún título;;;;;;;;;x
LIEGE_ENDED_WAR_PARTICIPATION_SETUP;Liege ended war participation;Le suzerain ne participe plus à la guerre;Lehnsherr beendete seine Kriegsteilnahme;;El señor feudal puso fin a la participación en la guerra.;;;;;;;;;x
LIEGE_ENDED_WAR_PARTICIPATION_LOG;§Y$VASSAL$§! is no longer a participant in §YThe $WAR$§! as $PRONOUN$ lord §Y$LIEGE$§! joined the war as §Y$SIDE$§!.;§Y$VASSAL$§! n'est plus impliqué dans §YThe $WAR$§! car son suzerain §Y$LIEGE$§! a rejoint la guerre dans le camp §Y$SIDE$§!.;§Y$VASSAL$§! nimmt nicht länger am Krieg §Y''$WAR$''§! teil, da $PRONOUN$ Lehnsherr ''§Y$LIEGE$§!'' dem Krieg als ''§Y$SIDE$§!'' beigetreten ist.;;§Y$VASSAL$§! deja de participar en §YLa $WAR$§! como $PRONOUN$ señor feudal §Y$LIEGE$§! se unió a la guerra como §Y$SIDE$§!.;;;;;;;;;x
LIEGE_ENDED_WAR_SETUP;Liege ended the war;Le suzerain a mis fin à la guerre;Lehnsherr beendete Krieg;;El señor feudal puso fin a la guerra.;;;;;;;;;x
LIEGE_ENDED_WAR_LOG;§YThe $WAR$§! has ended as §Y$LIEGE$§! joined the war as §Y$SIDE$§!.;§YLa $WAR$§! est terminée car §Y$LIEGE$§! a rejoint la guerre dans le camp §Y$SIDE$§!.;Der Krieg §Y''$WAR$''§! endete, da §Y$LIEGE$§! dem Krieg als §Y''$SIDE$''§! beigetreten ist.;;§YLa $WAR$§! terminó cuando §Y$LIEGE$§! se unió a ella como §Y$SIDE$§!.;;;;;;;;;x
INTERACTION_CANNOT_JOIN_VASSAL_WAR;We cannot join our vassals' wars (except for Great Battles and for supporting their claims outside your realm);Nous ne pouvons rejoindre une guerre menée par un vassal (à l'exception des croisades ou jihads et pour soutenir leurs revendications en dehors de notre royaume).;Wir können nicht in Kriege unserer Vasallen eintreten (Ausnahme: Kreuzzug/Dschihad bzw. Ansprüche außerhalb Eures Reiches).;;No podemos sumarnos a las guerras de nuestros vasallos (excepto en el caso de las Cruzadas y las Yihads, y para respaldar sus reclamaciones fuera del reino);;;;;;;;;x

EVTDESC_CM_2000;My [Root.GetLordLady], there is a noble warrior at the gate. He says he is a veteran of many battles and desires to become a champion of your house. He praises your wisdom and honor and pledges to always defend you and your household if you will accept him in your retinue.;[Root.GetLordLady], un noble guerrier est à la porte. Il dit avoir combattu dans de nombreuses guerres et désire devenir un champion de votre maison. Il rend gloire à votre sagesse et à votre honneur et jure de toujours vous défendre, ainsi que votre maison, si vous l'acceptez dans votre suite.;[Root.GetLordLady], ein nobler Krieger besucht Euch. Er behauptet, ein Veteran vieler Schlachten zu sein, und wünscht, ein Kämpfer Eures Hauses zu werden. Er preist Eure Weisheit und Ehrhaftigkeit und schwört, Euer Leben und das der Eurigen zu schützen, wenn Ihr ihn in Euer Gefolge aufnehmt.;;Mi [Root.GetLordLady], hay un noble guerrero en la puerta. Dice que es un veterano de muchas batallas y desea convertirse en un campeón de vuestra casa. Alaba vuestra sabiduría y honor y se compromete a defenderle siempre y a su casa si lo aceptáis en vuestro séquito.;;;;;;;;;x
EVTOPTA_CM_2000;Welcome!;Bienvenue !;Willkommen!;;¡Bienvenido!;;;;;;;;;x
EVTOPTB_CM_2000;No... there's no room.;Non... Toutes les places sont prises.;Nein ... wir haben keinen Platz.;;No... No hay sitio.;;;;;;;;;x
obj_become_king_title;Become [Root.GetKingQueen] of [This.Capital.Kingdom.GetName];Devenir [Root.GetKingQueen] de [This.Capital.Kingdom.GetName];Werdet [Root.GetKingQueen] von [This.Capital.Kingdom.GetName];;Convertirse en [Root.GetKingQueen] de [This.Capital.Kingdom.GetName];;;;;;;;;x
#obj_become_king_desc;[This.GetTitledFirstName] wants to become [Root.GetKingQueen] of [This.Capital.Kingdom.GetName]. If pagan, it allows [This.GetObjectPronoun] the unlimited use of the Subjugation Casus Belli within the kingdom.;[This.GetTitledFirstName] désire devenir [Root.GetKingQueen] de [This.Capital.Kingdom.GetName]. S'il est païen, cela lui permet l'utilisation illimitée du casus belli d'assujettissement au sein du royaume. ;[This.GetTitledFirstName] möchte [Root.GetKingQueen] von [This.Capital.Kingdom.GetName] werden. Bei heidnischer Herrschaft erlaubt dies [This.GetObjectPronoun] die unbegrenzte Verwendung des Kriegsgrunds Unterwerfung in diesem Königreich.;; [This.GetTitledFirstName] quiere convertirse en [Root.GetKingQueen] de [This.Capital.Kingdom.GetName]. Si es pagano, permite a [This.GetObjectPronoun] el uso ilimitado del Casus Belli Subyugación dentro del reino.;;;;;;;;;x
obj_become_king_tip;Is [Root.GetKingQueen] of [This.Capital.Kingdom.GetName];Est [Root.GetKingQueen] de [This.Capital.Kingdom.GetName];Ist [Root.GetKingQueen] von [This.Capital.Kingdom.GetName];;Es [Root.GetKingQueen] de [This.Capital.Kingdom.GetName];;;;;;;;;x
RULER_HAS_BECOME_KING_AMBITION;With the ambition to become [Root.GetKingQueen] of §Y[This.Capital.Kingdom.GetName]§!, §Y[GetTitledFirstName]§! is not allowed to move the capital outside the de jure kingdom.;Avec l'ambition de devenir [Root.GetKingQueen] de §Y[This.Capital.Kingdom.GetName]§!, §Y[GetTitledFirstName]§! n'a pas la possibilité de déplacer la capitale à l'extérieur du royaume de jure.;Mit der Ambition, [Root.GetKingQueen] von §Y[This.Capital.Kingdom.GetName]§! zu werden, darf §Y[GetTitledFirstName]§! die Hauptstadt nicht außerhalb des De jure-Königreichs verlegen.;;Con la ambición de convertirse en [Root.GetKingQueen] de §Y[This.Capital.Kingdom.GetName]§!, a §Y[GetTitledFirstName]§! no se le permite mover la capital fuera del reino de jure.;;;;;;;;;x

#TRIBAL_NAME_PROV;Tribe of $PROV$;Tribu de $PROV$;Stamm der $PROV$;;Tribu de $PROV$;;;;;;;;;x
#TRIBAL_NAME_PROV_CLAN;Clan of $PROV$;Clan de $PROV$;Clan der $PROV$;;Clan de $PROV$;;;;;;;;;x
#TRIBAL_PROVINCE_MODIFIER;Empty Holding Slots in Province;Vider les espaces de propriété dans la province;Leere Stellungen in der Provinz;;Propiedades Vacantes en Provincia;;;;;;;;;x
#IS_TRIBAL;Government is Tribal;Le gouvernement est tribal;Regierung ist Stammesregierung;;El gobierno es Tribal.;;;;;;;;;x
#ISNT_TRIBAL;Government is NOT Tribal;Le gouvernement n'est PAS tribal;Regierung ist KEINE Stammesregierung;;El gobierno NO es Tribal;;;;;;;;;x

COST_DAYS_PRESTIGE;Cost: §Y$AMOUNT$§b Influence\nBuildtime: §Y$TIME$§b Days;Coût : §Y$AMOUNT$§b Prestige\nTemps de construction : §Y$TIME$§b jours;Kosten: §Y$AMOUNT$§b Prestige\nBauzeit: §Y$TIME$§b Tage;;Coste: §Y$AMOUNT$§b Prestigio\nTiempo de construcción: §Y$TIME$§b Días;;;;;;;;;x
COST_MONTHS_PRESTIGE;This building has cost $AMOUNT$ Influence and has a buildtime of $TIME$ Months.;Ce bâtiment a coûté $AMOUNT$ en Prestige et la construction durera $TIME$ mois.;Dieses Bauwerk hat $AMOUNT$ Prestige gekostet, die Bauzeit beträgt $TIME$ Monate.;;Este edificio ha costado $AMOUNT$ Prestigio y su construcción ha durado $TIME$ meses.;;;;;;;;;x
#NOT_ENOUGH_PRESTIGE;(§R*§!)Has §G$COST$§! Prestige;(§R*§!) a un coût de §G$COST$§! Prestige;(§R*§!)Hat §G$COST$§! Prestige;;(§R*§!)Tiene §G$COST$§! Prestigio;;;;;;;;;x
ACQUISITION_UNKNOWN; ; ; ;;;;;;;;;;;x
ACQUISITION_INHERITANCE;Inherited;Obtenu d'un héritage;durch Erbschaft erworben;;Obtenido a través de herencia;;;;;;;;;x
ACQUISITION_INVASION;Conquered in a War;Obtenu par invasion;durch Invasion erworben;;Obtenido a través de invasión;;;;;;;;;x
ACQUISITION_CREATED;Created;A été créé;wurde erschaffen;;Fue creado;;;;;;;;;x
ACQUISITION_ELECTION;Elected;Obtenu par élection;durch Wahl erworben;;Obtenido a través de elección;;;;;;;;;x
ACQUISITION_REVOKE;Revoked;Obtenu par révocation;durch Widerruf erworben;;Obtenido a través de revocación;;;;;;;;;x
ACQUISITION_GRANT;Granted;A été donné au titulaire;wurde dem Halter verliehen;;Fue concedida al propietario;;;;;;;;;x
ACQUISITION_HOLY_WAR;Conquered in an Invasion;Obtenu par une guerre sainte;durch Heiligen Krieg erworben;;Obtenido a través de guerra santa;;;;;;;;;x
tribal;Tribal;Tribal;Stammes-;;Tribal;;;;;;;;;x
