#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;x;
;;;;;;;;x;

#GLOBAL;;x;;;;;;;x
empire;High Kingdom;Empire;Reich;;Imperio;;;;;;;;;;x
kingdom;Kingdom;Royaume;Königreich;;Reino;;;;;;;;;;x
duchy;High Lordship;Duché;Herzogtum;;Ducado;;;;;;;;;;x
county;Lordship;Comté;Grafschaft;;Condado;;;;;;;;;;x
barony;Holding;Baronnie;Baronie;;Baronía;;;;;;;;;;x
empire_of;High Kingdom of;Empire de;Reich von;;Imperio de;;;;;;;;;;x
kingdom_of;Kingdom of;Royaume de;Königreich;;Reino de;;;;;;;;;;x
duchy_of;High Lordship of;Duché de;Herzogtum;;Ducado de;;;;;;;;;;x
county_of;Lordship of;Comté de;Grafschaft;;Condado de;;;;;;;;;;x
barony_of;Holding of;Baronnie de;Baronie;;Baronía de;;;;;;;;;;x
empires;High Kingdoms;Empires;Reiche;;Imperios;;;;;;;;;;x
kingdoms;Kingdoms;Royaumes;Königreiche;;Reinos;;;;;;;;;;x
duchies;High Lordships;Duchés;Herzogtümer;;Ducados;;;;;;;;;;x
counties;Lordships;Comtés;Grafschaften;;Condados;;;;;;;;;;x
baronies;Holdings;Baronnies;Baronien;;Baronías;;;;;;;;;;x
city_county_of;Haven of;République Sérénissime de;Höchst Durchlauchte Republik;;La Serenísima república de;;;;;;;;;;x
city_duchy_of;Havens of;République de;Republik;;República de;;;;;;;;;;x
city_kingdom_of;Great Havens of;;;;;;;;;;x
city_empire_of;Grand Havens of;;;;;;;;;x
vice_royalty_duke;Lord Steward;;;;;;;x;
vice_royalty_duchy_of;High Lordship of;;;;;;;x
vice_royalty_king;High Steward;;;;;;;x;
vice_royalty_kingdom_of;Kingdom of;;;;;;;x

#BALROG;;x;;;;;;;x
emperor_culture_balrog;Dark Lord;;;;;;;x;
king_culture_balrog;Overlord;;;;;;;x;
duke_culture_balrog;High Lord;;;;;;;x;
count_culture_balrog;Lord;;;;;;;x;
city_baron_culture_balrog;Master;;;;;;;x;
city_count_culture_balrog;Lord Master;;;;;;;x;
city_duke_culture_balrog;High Master;;;;;;;x;
city_king_culture_balrog;Great Master;;;;;;;x;
baron_culture_balrog;Captain;;;;;;;x;
temple_baron_culture_balrog;Sorceror;;;;;;;x;
temple_count_culture_balrog;Sorceror Lord;;;;;;;x;
city_barony_of_culture_balrog;Pits of;;;;;;;x
barony_of_culture_balrog;Fortress of;;;;;;x
temple_barony_of_culture_balrog;Temple of;;;;;;;x
empire_of_culture_balrog;Land of;;;;;;;x
kingdom_of_culture_balrog;Dominion of;;;;;;;x
duchy_of_culture_balrog;High Lordship of;;;;;;;x
county_of_culture_balrog;Lordship of;;;;;;;x
city_baron_female_culture_balrog;Mistress;;;;;;;x;
baron_female_culture_balrog;Captainess;;;;;;;x;
temple_baron_female_culture_balrog;Sorceress;;;;;;;x;
king_female_culture_balrog;Overlord;;;;;;;x;
duke_female_culture_balrog;High Lady;;;;;;;x;
count_female_culture_balrog;Lady;;;;;;;x;
;;;;;;;;x;

#UMAIAR;;x;;;;;;;x
emperor_culture_umaiar;Dark Lord;;;;;;;x;
