#CODE;ENGLISH;FRENCH;GERMAN;SPANISH;ITALIAN;x
ct_Vwatchtower_1;Watchtower;Tour de garde;;;;;;x
ct_Vwatchtower_2;Watchtower;Tour de garde;;;;;;x
ct_Vwatchtower_3;Watchtower;Tour de garde;;;;;;x
ct_Vwatchtower_4;Watchtower;Tour de garde;;;;;;x
ct_Vwatchtower_5;Watchtower;Tour de garde;;;;;;x
ct_Vwatchtower_6;Watchtower;Tour de garde;;;;;;x
ct_Vwatchtower_1_desc;Watchtowers allow more troops to defend the walls.;Des tour de guet permettent à plus de troupe de protéger les murs d'enceinte.;Watchtower;Tour de garde;;;;;;x
ct_Vport_1;Falathrim Shipwright;Port;Hafen;Puerto;;;;;;x
ct_Vport_2;Falathrim Shipwright;Port;Hafen;Puerto;;;;;;x
ct_Vport_3;Falathrim Shipwright;Port;Hafen;Puerto;;;;;;x
ct_Vport_4;Falathrim Shipwright;Port;Hafen;Puerto;;;;;;x
ct_Vport_5;Falathrim Shipwright;Port;Hafen;Puerto;;;;;;x
ct_Vport_1_desc;The shipwrights among the Falathrim are renowned even by the Falmari in Aman for their craftsmanship.;Un port qui dessert les bateaux qui viennent charger ou décharger leurs marchandises.;Ein Hafen, der Schiffen, die ihn anlaufen dazu dient, ihre Fracht zu be- oder entladen.;Puerto mercantil, utilizado para la carga y descarga de mercancías.;;;;;;x
tb_elvenherborist_1;Elven Herborists;Herboristes Elfiques;;;;;;x
tb_elvenherborist_2;Elven Herborists;Herboristes Elfiques;;;;;;x
tb_elvenherborist_3;Elven Herborists;Herboristes Elfiques;;;;;;x
tb_elvenherborist_desc;From spices to medicinal herbs, Elves know how to use Yavanna's gifts in many ways.;Des épèces aux herbes médicinales, les Elfes savent utiliser les dons de la nature de nombreuses façons.;;;;;;x
ct_elvenherborist_1;Elven Herborists;Herboristes Elfiques;;;;;;x
ct_elvenherborist_2;Elven Herborists;Herboristes Elfiques;;;;;;x
ct_elvenherborist_3;Elven Herborists;Herboristes Elfiques;;;;;;x
ct_elvenherborist_desc;From spices to medicinal herbs, Elves know how to use Yavanna's gifts in many ways.;Des épèces aux herbes médicinales, les Elfes savent utiliser les dons de la nature de nombreuses façons.;;;;;;x
ct_grey_havens;The Havens of the Falas;Les Havres Gris;;;;;;x
ct_grey_havens_desc;Founded after the War for the Sake of the Elves by Cirdan the Shipwright, the Havens of the Falas were the first of their kind in the world and remain the oldest and grandest of the Grey-Elven cities in Middle-Earth.;;;;;;;x
ct_menegroth;The Thousand Caves;Les Havres Gris;;;;;;x
ct_menegroth_desc;Built by Thingol Greymantle with the aid of the Dwarves of Belegost millenia before the first age, the Thousand Caves of Menegroth are an unparalled engineering marvel built into the stone beneath the forests of Doriath, home to the self-proclaimed lord of all Beleriand and his city of Doriathrim.;;;;;;;x
ct_nevrathrim_farmlands_1;Nevrathrim Farmlands;Les Havres Gris;;;;;;x
ct_nevrathrim_farmlands_2;Nevrathrim Farmlands;Les Havres Gris;;;;;;x
ct_nevrathrim_farmlands_3;Nevrathrim Farmlands;Les Havres Gris;;;;;;x
ct_nevrathrim_farmlands_4;Nevrathrim Farmlands;Les Havres Gris;;;;;;x
ct_nevrathrim_farmlands_desc;The lands of Nevrast receive ample rain from the Belegaer, and serve as a breadbasket for much of Beleriand.;;;;;;x
ct_mithrim_1;Mithrim Cavehomes;Les Havres Gris;;;;;;x
ct_mithrim_2;Mithrim Cavehomes;Les Havres Gris;;;;;;x
ct_mithrim_3;Mithrim Cavehomes;Les Havres Gris;;;;;;x
ct_mithrim_4;Mithrim Cavehomes;Les Havres Gris;;;;;;x
ct_mithrim_desc;The traditional manors of the Mithrim elves are built into great caverns, common in the cool but fair land.  Here the grey folk can weather any storm, from the cold winds of Ossë to the foul invasions of Melkor.;;;;;;x
