#CODE;ENGLISH;FRENCH;GERMAN;SPANISH;ITALIAN;x
ca_Dwatchtower_1;Fortified Doors;Portes Fortifiées;;;;;x
ca_Dwatchtower_2;Bronze Doors;Portes en Bronze;;;;;x
ca_Dwatchtower_3;Iron Doors;Portes en Fer;;;;;x
ca_Dwatchtower_4;Stone Doors;Portes en Pierre;;;;;x
ca_Dwatchtower_5;Great Doors;Portes Naines;;;;;x
ca_Dwatchtower_6;Runic Doors;Portes Runiques;;;;;x
ca_Dwatchtower_1_desc;These small doors will allow the dwarves to protect their keep. A Small garrison is posted behind the doors, to guard them.;Ces petites portes permettront à vos hommes de protéger la forteresse. Une petite garnison est installée derrière les portes afin de les protéger.;;;;;x
ca_Dwatchtower_2_desc;These bronze doors, fairly simple, allow better protection of the citadel. A small garrison guard this door.;Ces Portes en Bronze, assez simple, apportent une protection supplémentaire à la citadelle. Une petite garnison garde cette porte.;;;;;x
ca_Dwatchtower_3_desc;These Iron Doors provides significant protection to the fortress. A garrison guard the doors.;Ces Portes en Fer, lourdes, apportent une protection importante à la forteresse. Une garnison garde les portes.;;;;;x
ca_Dwatchtower_4_desc;These Stone Doors provide significant protection to the city. They were made with the ancient knowledge of the dwarves. An important garrison guard these doors.;Ces lourdes Portes en pierre apportent une protection importante à la cité. Elles ont été fabriquées avec l'antique savoir des nains. Une importante garnison protège ces portes.;;;;;x
ca_Dwatchtower_5_desc;These Great dwarven doors were made with all the skill of the best dwarven craftsmen. They're powerful and can withstand most siege weapons. A huge garrison is posted near to the doors to guard them.;Ces Portes Naines ont été réalisées avec toute l'habileté des meilleurs artisans nains. Elles sont puissantes, et peuvent résister à la plupart des armes de siège. Une grande garnison est postée près de ces portes afin de les protéger.;;;;;x
ca_Dwatchtower_6_desc;These doors were made with all the knowledge of the dwarves of yore. Protected by powerful runes, they are invisible to enemy eyes. No weapon can break them, and only powerful creatures can destroy them. A huge garrison is posted near to the doors to guard them.;Ces Portes ont été réalisées grâce au savoir des nains de jadis. Protégées par de puissantes runes, elles sont invisibles aux yeux ennemis. Aucune arme ne peut les briser, et seules de puissantes créatures peuvent les détruire. Une grande garnison est postée près de ces portes afin de les protéger.;;;;;x
ca_Dtown_1;Small Dwelling Galleries;Petites Galeries d'Habitations;;;;;x
ca_Dtown_2;Large Dwelling Galleries;Grandes Galeries d'Habitations;;;;;x
ca_Dtown_3;Small Halls;Petites Salles;;;;;x
ca_Dtown_4;Great Halls;Grandes Salles;;;;;x
ca_Dtown_5;Large Halls;Grandes Salles;;;;;x
ca_Dtown_6;Legendary Halls;Salles des Nains;;;;;x
ca_Dtown_1_desc;The Small Dwelling Galleries of this fortress provide housing to some families of soldiers.;Les Petites galeries d'habitations de la forteresse apporte logement à certaines familles des soldats.;;;;;x
ca_Dtown_2_desc;The Large Dwelling Galleries of the fortress provide housing to all the families of soldiers.;Les Grandes Galeries d'habitations de la forteresse apporte logement aux familles des soldats.;;;;;x
ca_Dtown_3_desc;The Small Halls of the fortress provides housing to some merchants.;Les Petites Salles de la forteresse apporte un espace pour quelques marchands.;;;;;x
ca_Dtown_4_desc;The Great Halls of the fortress provides more space for merchants, and for some rich families.;Les Grandes Salles de la forteresse apportent plus d'espace pour les marchants, mais aussi pour quelques familles aisées.;;;;;x
ca_Dtown_5_desc;The Large Halls of the fortress provides more space to merchants, artisans, and for some rich families.;Les Larges Salles de la forteresse apportent plus d'espaces pour les marchants, les artisans, et pour de nombreuses riches familles.;;;;;x
ca_Dtown_6_desc;The Legendary Halls of the Fortress, finely chiseled in stone, are the wonder of your territory. Many merchants come from all dwarves territories to sell their products, and many noble families settled there. The best dwarven craftsmen participated in the creation of this place.;Les Salles Naines de la Forteresse, finement ciselées dans la pierre, sont la merveille de votre territoire. De nombreux marchants viennent de tout les territoires nains pour y vendre leurs produits, et de nombreuses familles nobles s'y sont installées. Les meilleurs artisans nains ont participé à la création de cet endroit.;;;;;x
ca_dwarvenforges_1;Small Forges;Petites Forges;;;;;x
ca_dwarvenforges_2;Forges;Forges;;;;;x
ca_dwarvenforges_3;Dwarven Forges;Forges Naines;;;;;x
ca_dwarvenforges_4;Great Dwarven Forges;Grandes Forges Naines;;;;;x
ca_dwarvenforges_5;Runic Forges;Forges Funiques;;;;;x
ca_dwarvenforges_desc;Dwarven smiths make strong weapons and armor here;Les Forgerons Nains vont réaliser de puissantes armes et armures ici.;;;;;x
ca_dwarvenforges_6;Legendary Forges;Grandes Forges de Khazad-Dûm;;;;;x
ca_dwarvenforges_6_desc;The best of all dwarven smiths use these forges to make wondrous weapons and armor.;Les meilleurs Forgerons Nains utilisent des forges pour fabriquer de merveilleuses armes et armures.;;;;;x
ca_azanulimbardum;Mine-Fortress of Geiloth;Azanulimbar-dûm;;;;;;;;;;;;;x
ca_azanulimbardum1;Mine-Fortress of Geiloth;Azanulimbar-dûm;;;;;;;;;;;;;x
