#CODE;ENGLISH;FRENCH;GERMAN;SPANISH;ITALIAN;x
ct_Dwatchtower_1;Fortified Doors;Portes Fortifiées;;;;;x
ct_Dwatchtower_2;Bronze Doors;Portes en Bronze;;;;;x
ct_Dwatchtower_3;Iron Doors;Portes en Fer;;;;;x
ct_Dwatchtower_4;Stone Doors;Portes en Pierre;;;;;x
ct_Dwatchtower_5;Dwarven Doors;Portes Naines;;;;;x
ct_Dwatchtower_6;Runic Doors;Portes Runiques;;;;;x
ct_Dwatchtower_1_desc;These small doors will allow your men to protect this castle. A Small garrison is posted behind the doors, to guard them.;Ces petites portes permettront à vos hommes de protéger la forteresse. Une petite garnison est installée derrière les portes afin de les protéger.;;;;;x
ct_Dwatchtower_2_desc;These bronze doors, fairly simple, allow better protection of the citadel. A small garrison guard this door.;Ces Portes en Bronze, assez simple, apportent une protection supplémentaire à la citadelle. Une petite garnison garde cette porte.;;;;;x
ct_Dwatchtower_3_desc;These Iron Doors provides significant protection to the fortress. A garrison guard the doors.;Ces Portes en Fer, lourdes, apportent une protection importante à la forteresse. Une garnison garde les portes.;;;;;x
ct_Dwatchtower_4_desc;These Stone Doors provide significant protection to the city. They were made with the ancient knowledge of the dwarves. An important garrison guard these doors.;Ces lourdes Portes en pierre apportent une protection importante à la cité. Elles ont été fabriquées avec l'antique savoir des nains. Une importante garnison protège ces portes.;;;;;x
ct_Dwatchtower_5_desc;These dwarven doors were made with all the skill of the best dwarven craftsmen. They're powerful and can withstand most of the siege weapons. An huge garrison is posted near to the doors, to guard them.;Ces Portes Naines ont été réalisées avec toute l'habileté des meilleurs artisans nains. Elles sont puissantes, et peuvent résister à la plupart des armes de siège. Une grande garnison est postée près de ces portes afin de les protéger.;;;;;x
ct_Dwatchtower_6_desc;These doors were made with all the knowledge of the dwarves of yore. Protected by powerful runes, they are invisible to enemy eyes. No weapon can break them, and only powerful creatures can destroy them. An huge garrison is posted near to the doors, to guard them.;Ces Portes ont été réalisées grâce au savoir des nains de jadis. Protégées par de puissantes runes, elles sont invisibles aux yeux ennemis. Aucune arme ne peut les briser, et seules de puissantes créatures peuvent les détruire. Une grande garnison est postée près de ces portes afin de les protéger.;;;;;x
ct_dwarfmines_1;Dwarven Mines;Mines des Nains;;;;;x
ct_dwarfmines_2;Dwarven Iron Mines;Mines de Fer des Nains;;;;;x
ct_dwarfmines_3;Dwarven Copper Mines;Mines de Cuivre des Nains;;;;;x
ct_dwarfmines_4;Dwarven Silver Mines;Mines d'Argent des Nains;;;;;x
ct_dwarfmines_5;Dwarven Gold Mines;Mines d'Or des Nains;;;;;x
ct_dwarfmines_1_desc;Expert dwarven miners work here.;Les Mineurs Nains vont extraire de nombreuses richesses de ces mines.;;;;;x
ct_dwarfmines_6;Great Mines of Moria;Grandes Mines de la Moria;;;;;x
ct_dwarfmines_6_desc;The wondrous mines of Moria are a miner's dream : richests metal deposits, gems, and sometimes more...;Les fabuleuses mines de la Moria sont un rêve de mineur : des gisements de métaux précieux d'une grande pureté, des pierres précieuses, et parfois autre chose...;;;;;x
ct_azanulimbardum;Great Mine of Zirakbhund;Azanulimbar-dûm;;;;;;;;;;;;;x
ct_azanulimbardum1;Great Mine of Zirakbhund;Azanulimbar-dûm;;;;;;;;;;;;;x
ct_azanulimbardum2;Great Mine of Zirakbhund;Azanulimbar-dûm;;;;;;;;;;;;;x
ct_azanulimbardum3;Great Mine of Zirakbhund;Azanulimbar-dûm;;;;;;;;;;;;;x
ct_azanulimbardum_desc;The Dwarf-hold of Zirakbhund, known to the Sindar as Mallost, was host to the deepest Mine in the Ered Luin.  Legend says that the lords of Zirakbund discovered a vein of Mithril at the roots of mount Rerir, but were unable to profit from the discovery as their city did not survive the War of Wrath.;Bien que moins célèbres que la Moria ou Erebor, les grandes salles des nains Poings de Fer n'en sont pas moins imposantes.;;;;;;;;;;;;x
ct_khazadzahar;Colonies of Khazad-zahar;Azanulimbar-dûm;;;;;;;;;;;;;x
ct_khazadzahar1;Colonies of Khazad-zahar;Azanulimbar-dûm;;;;;;;;;;;;;x
ct_khazadzahar2;Colonies of Khazad-zahar;Azanulimbar-dûm;;;;;;;;;;;;;x
ct_khazadzahar3;Colonies of Khazad-zahar;Azanulimbar-dûm;;;;;;;;;;;;;x
ct_khazadzahar_desc;The many colonies of Khazad-zahar, known as Nornhabar or New Belegost, were lucrative ventures by the industrious Dwarves of the Vale to find better ore veins in the seemingly exhausted deeps of the Blue Mountains.  Mostly a success, the colonies managed to fill the pockets of dwarven noblemen in the later years of the First Age.;Bien que moins célèbres que la Moria ou Erebor, les grandes salles des nains Poings de Fer n'en sont pas moins imposantes.;;;;;;;;;;;;x
ct_nurunkhizdin;Buzdûm-Mazar;Nurunkhizdin;;;;;;;;;;;;;x
ct_nurunkhizdin1;Buzdûm-Mazar;Nurunkhizdin;;;;;;;;;;;;;x
ct_nurunkhizdin2;Buzdûm-Mazar;Nurunkhizdin;;;;;;;;;;;;;x
ct_nurunkhizdin3;Buzdûm-Mazar;Nurunkhizdin;;;;;;;;;;;;;x
ct_nurunkhizdin_desc;A great city-within-a-city, the great Broadbeam citadel of Buzdûm-Mazar survived the war of wrath and grew to become the capital of the former Belegostrim in the Second Age.;Bien que moins célèbres que la Moria ou Erebor, les grandes salles des nains Boucles Noires n'en sont pas moins imposantes.;;;;;;;;;;;;x
ct_tamnogoth;Toy-Guild of Nogrod;Tamnogoth;;;;;;;;;;;;;x
ct_tamnogoth1;Toy-Guild of Nogrod;Tamnogoth;;;;;;;;;;;;;x
ct_tamnogoth2;Toy-Guild of Nogrod;Tamnogoth;;;;;;;;;;;;;x
ct_tamnogoth3;Toy-Guild of Nogrod;Tamnogoth;;;;;;;;;;;;;x
ct_tamnogoth_desc;Many older dwarves of Nogord abandoned their traditional craft of weapon and armor smithing for the creation of more peaceful works.  Hundreds of master artisans fill the Dwarf-Roads with beautifully crafted toys, which can quickly be found bringing joy to children of all races in every corner of Middle-Earth.;Sans rivaliser avec la cité perdue de Nogrod, les grandes salles des nains Barbes de Feu restent impressionnantes.;;;;;;;;;;;;x
