#CODE;ENGLISH;FRENCH;GERMAN;SPANISH;ITALIAN;x
#ELDAR;;;;;;;x
title_masterbow;Master of the Bow;Maître des Archers;;;Mastro Arciere;;;;;;;x
title_masterbow_desc;This character has been recognized as the finest archer in the realm.;;;;;;x
title_admiral;Admiral;Amiral;;;Ammiraglio;;;;;;;x
title_admiral_desc;This character has been appointed a commander of fleets.;;;;;;x
title_astrologer;Astrologer;Astrologue;;;Astrologo;;;;;;;x
title_astrologer_desc;;;;;;;x

#ANGBAND
title_lieutenantofangband;Lieutenant of Angband;;;;;;x
title_lieutenantofangband_desc;The Lieutenant of Angband is Morgoth's chief servant, and holds the highest authority in Dor Deadeloth beneath the Dark Lord himself.;;;;;;x
title_heirofmorgoth;Heir of Morgoth;;;;;;x
title_heirofmorgoth_desc;The Heir of Morgoth is designated to continue the work of the Dark Lord if ever he falls.;;;;;;x
title_masterofslaves;Master of Slaves;;;;;;x
title_masterofslaves_desc;This character is in charge of the distribution of slaves to the court.;;;;;;x

#DORIATH
title_marchwarden;Marchwarden;;;;;;x
title_marchwarden_desc;Marchwardens are skilled elf warriors tasked with defending the borders of the realm.;;;;;;x

#FROM VANILLA
title_court_architect;Court Architect;Architecte de la Cour;Hofarchitekt;;Arquitecto de la corte;;;;;;;;;x
title_court_architect_desc;As 'the Grand Axe of Craftsmanship', the position of Court Architect holds much prestige.;En tant que « Grande Hache de l'Artisanat », le poste d'Architecte de la Cour a beaucoup de prestige.;Als "große Axt der Handwerkskunst" bringt die Position des Hofarchitekten viel Prestige mit sich.;;El puesto de arquitecto de la corte, como "Gran hacha de la artesanía", tiene mucho prestigio.;;;;;;;;;x
