#CODE;ENGLISH;FENCH;GERMAN;;SPANISH;ITALIAN;X
# MERP items from 'Treasures of Middle-Earth' published by I.C.E.

# Canonical items

nauglamir;The Nauglamir;Le Nauglamir;;;;;;;;;;;;x
nauglamir_desc;The Nauglamír or Necklace of the Dwarves is a piece of jewelry forged by the dwarves of Nogrod for Finrod Felagund. Thingol set in the Silmaril of Lúthien and Beren.;Le Nauglamír ou Collier des Nains est une pièce de joaillierie forgée par les Nains de Nogrod, et offert à Finrod Felagund. Thingol y fera sertir le Silmaril de Beren et Luthien.;;;;;;;;;;;;x
belthronding;Belthronding;Belthronding;;;;;;;;;;;;x
belthronding_desc;Belthronding was a mighty bow, made of black yew-wood, that was carried by the most famous archer of Middle-Earth, Beleg Cúthalion, Strongbow of Doriath;Belthronding est un arc puissant, fait d'if noir, et porté par le plus grand archer de la Terre du Milieu, Beleg Cúthalion, Maitre des Archers de Doriath.;;;;;;;;;;;;x
dagmor;Dagmor;Dagmor;;;;;;;;;;;;x
dagmor_desc;The ancestral sword Dagmor was mostly known for being weilded by Beren Erchamion during the quest for the Silmaril.;Dagmor était l'épée de Beren Erchamion.;;;;;;;;;;;;x
aeglos;Aeglos;Aeglos;;;;;;;;;;;;x
aeglos_desc;Aeglos was best known as the spear of Gil-galad, greatly feared by the enemy. It was broken when Gil-galad fell in combat against Sauron himself, on the slopes of Mount Doom.;Aeglos était le nom de la lance de Gil-Galad, crainte par l'Ennemi. Elle fut brisée lorsque Gil-Galad tomba au combat contre Sauron lui-même, sur les pentes de la Montagne du Destin.;;;;;;;;;;;;x
angrist;Angrist;Angrist;;;;;;;;;;;;x
angrist_desc;Angrist was a knife made by the dwarf-smith Telchar for the Elf-lord Curufin in the First Age. Beren used it to cut through the Iron Crown of Morgoth and free a Silmaril.;Angrist est un poignard forgé par le célèbre forgeron Nain Telchar, à Nogrod, pour le Seigneur Elfe Curufin au Premier Age. Beren le prendra et s'en servira pour desceller un Silmaril de la couronne de Morgoth.;;;;;;;;;;;;x
aranruth;Aranrúth;Aranrúth;;;;;;;;;;;;x
aranruth_desc;Aranrúth, "The King's Wrath", was the sword of Elu Thingol of Doriath.;Aranrúth était l'épée du Roi Elu Thingol de Doriath. Plus tard, cette épée faisait partie du Trésor de Numénor.;;;;;;;;;;;;x
dramborleg;Dramborleg;Dramborleg;;;;;;;;;;;;x
dramborleg_desc;Dramborleg was the great axe that Tuor favoured over any sword.;Dramborleg est la Grande Hache de Tuor, qu'il préférait à toutes épées.;;;;;;;;;;;;x
ringil;Ringil;Ringil;;;;;;;;;;;;x
ringil_desc;Ringil was the name of the sword of Fingolfin, said to have glittered like ice. With it he wounded Morgoth seven times in single combat after the Dagor Bragollach;Ringil était le nom de l'épée de Fingolfin qui, dit-on, brillait comme de la glace. Avec elle, il blessa Morgoth sept fois en combat singulier après Dagor Bragollach;;;;;;;;;;;;x
angainor;Angainor;Angainor;;;;;;;;;;;;x
angainor_desc;Angainor was the chain used to contain Melkor in the Halls of Mandos. At the end of the First Age, Melkor was again bound by Angainor, and his iron crown was made into a collar.;Angainor était la chaîne utilisée pour contenir Melkor dans les Halls de Mandos. A la fin du Premier Âge, Melkor a de nouveau été enchainé par Angainor, et sa couronne de fer a été transformé en collier.;;;;;;;;;;;;x
valaroma;Valaróma;Valaróma;;;;;;;;;;;;x
valaroma;Valaróma was the fabled hunting-horn of Oromë, the Huntsman of the Valar. It could be heard above all other horns, for its sound was like lightning cleaving the clouds, and its echoes made even Melkor quail in Utumno.;Valaróma était le cor de chasse légendaire de Oromë, le chasseur des Valar, dont l'appel est comme un lever de soleil écarlate, un éclair déchirant les nuages qu'on entendait au-dessus de toutes les autres dans les forêts que Yavanna avait fait lever sur Valinor.;;;;;;;;;;;;x
vingilot;The Vingilótë;Vingilótë;;;;;;;;;;;;x
vingilot_desc;Vingilótë was the ship in which Eärendil and Elwing sailed to Aman to seek pardon and assistance from the Valar.;Vingilótë est le navire avec lequel Eärendil et Elwing ont fait voile vers Aman pour demander le Pardon et l'Aide des Valar.;;;;;;;;;;;;x
staff_of_doom;Staff of Doom;Le Baton du Destin;;;;;;;;;;;;x
staff_of_doom_desc;The Staff of Doom was a staff carried by Turgon, King of Gondolin.;Le Baton du Destin était la propriété de Turgon, le roi de Gondolin.;;;;;;;;;;;;x
nimphelos;Nimphelos;Nimphelos;;;;;;;;;;;;x
nimphelos_desc;Nimphelos is an huge pearl, found along the shores of the Isle of Balar during First Age. Thingol of Doriath offered it to the Dwarves of Belegost, to aid in the building of Menegroth.;Nimphelos est une perle gigantesque, trouvée au Premier Age par les Elfes, sur les rivages de l'île de Balar. Le Roi Thingol l'offrit aux Nains de Belegost, après leur aide lors de la construction de Menegroth.;;;;;;;;;;;;x
gurthang;Gurthang;Gurthang;;;;;;;;;;;;x
gurthang_desc;Gurthang was the sword of Túrin Turambar, reforged from Anglachel the sword wielded by Beleg Cúthalion when Túrin slew him in a tragic turn of events. Its name means ""Iron of Death"".;"Gurthang était l'épée de Túrin Turambar, reforgée à partir d'Anglachel, l'épée brandie par Beleg Cúthalion quand Túrin le tua. Son nom signifie ""fer de mort"".";;;;;;;;;;;;x
anguirel;Anguirel;Anguirel;;;;;;;;;;;;x
anguirel_desc;Anguirel was one of a pair of iron-cutting swords forged by Eöl, the Dark Elf, from an iron meteorite.;Anguirel était l'une des épées en fer forgé par Eöl, l'Elfe Noir, à partir d'une météorite.;;;;;;;;;;;;x
shards_anglachel;Shards of Anglachel;Anglachel;;;;;;;;;;;;x
shards_anglachel_desc;Anglachel was one of a pair of iron-cutting swords forged by Eöl, the Dark Elf, from a meteorite. The blade glowed and could easily slice through iron. Eöl gave Anglachel to his lord, King Thingol of Doriath, as payment for letting him dwell in the Forest of Nan Elmoth. Thingol would not bear it, declaring that there was malice in the blade. It is now broken, and requires reforging by a smith with enough talent to work the exotic metal.;Anglachel était l'une des épées en fer forgée par Eöl, l'Elfe Noir, à partir d'une météorite. La lame brillait et pouvait facilement couper à travers le fer. Eöl a offert Anglachel à son seigneur, le roi Thingol de Doriath, à titre de paiement pour l'avoir laissé habiter dans la forêt de Nan Elmoth. Thingol ne pouvait la supporter, déclarant qu'il y avait malice dans la lame.;;;;;;;;;;;;x
anglachel;Anglachel;Anglachel;;;;;;;;;;;;x
anglachel_desc;Anglachel was one of a pair of iron-cutting swords forged by Eöl, the Dark Elf, from a meteorite. The blade glowed and could easily slice through iron. Eöl gave Anglachel to his lord, King Thingol of Doriath, as payment for letting him dwell in the Forest of Nan Elmoth. Thingol would not bear it, declaring that there was malice in the blade.;Anglachel était l'une des épées en fer forgée par Eöl, l'Elfe Noir, à partir d'une météorite. La lame brillait et pouvait facilement couper à travers le fer. Eöl a offert Anglachel à son seigneur, le roi Thingol de Doriath, à titre de paiement pour l'avoir laissé habiter dans la forêt de Nan Elmoth. Thingol ne pouvait la supporter, déclarant qu'il y avait malice dans la lame.;;;;;;;;;;;;x
dragon_helm;The Dragon-Helm;L'Heaume du Dragon;;;;;;;;;;;;x
dragon_helm_desc;The Dragon-helm of Dor-lómin, also known as the Helm of Hador, was a visored steel helm, embossed and embellished with gold and runes, that bore as its crest an image of the head of Glaurung. It was forged by Telchar in Nogrond, and strikes fear into the hearts of its enemies.;Le Heaume du Dragon de Dor-lómin, également connu sous le Heaume de Hador, était une barre d'acier à visière, de relief et rehaussé d'or et runes, qui portait comme sa crête une image de la tête de Glaurung. Il a été forgée par Telchar à Nogrond, mais a été détenu par Maedhros, Fingon, Hador, Hurin et Turin.;;;;;;;;;;;;x
angnaith;Angnaith;;;;;;;;;;;;;x
angnaith_desc;This great iron spear was weilded by Boldog in his invasion of Doriath. It was later taken by Mablung and used in the Great Hunt against the wolves of angband.;;;;;;;;;;;;;x
narsil;Narsil;Narsil;Narsil;Narsil;;;;;;;;;x
narsil_desc;This is Narsil, a legendary longsword forged by Telchar. In later ages it is known as the ancestral blade of the Dúnedain.;Narsil était l'épée du Roi Elendil. Elle fut brisée lors de la Guerre de la Dernière Alliance, Isildur se servant de la garde pour trancher le doigt de Sauron, lui faisant perdre ainsi l'Anneau Unique. Les fragments de l'épée sont conservés à Fondcombe, mais restent la propriété des héritiers d'Isildur.;V;V;;;;;;;;;x
glamdring;Glamdring;Glamdring;Glamdring;Glamdring;;;;;;;;;x
glamdring_desc;This is Glamdring, a longsword forged by the Gondolindrim for Turgon. Like all gondolindrim blades, it glows when enemies are nearby.;"Ce personnage possède Glamdring, une antique et puissante épée, forgée par les Elfes du Premier Age, et qui a appartenue jadis à Turgon, roi de Gondolin. Elle a été trouvée par Gandalf dans l'antre de trolls. Son nom signifie ""Marteau à Ennemis""";E;E;;;;;;;;;x
sting;Sting;Dard;Sting;Sting;;;;;;;;;x
sting_desc;This is Sting, a knife forged by the Gondolindrim, later named and weilded by Bilbo Baggins. Like all gondolindrim blades, it glows when enemies are nearby.;Ce personnage possède Dard, dague forgée par les Elfes du Premier Age, à Gondolin, et trouvée par Bilbo dans l'antre de trolls.;T;T;;;;;;;;;x
orcrist;Orcrist;Orcrist;Orcrist;Orcrist;;;;;;;;;x
orcrist_desc;This is Orcrist, a shortsword forged by the Gondolindrim and later weilded by Thorin Oakenshield. Like all gondolindrim blades, it glows when enemies are nearby.;"Ce personnage possède Orcrist, une antique et puissante épée, forgée par les Elfes du Premier Age, à Gondolin. Son nom signifie ""Fendoir à Orques"", et elle inspire la terreur parmi les Gobelins et les Orques.";C;C;;;;;;;;;x
grond;Grond;;;;;;;;;x
grond_desc;Grond, the hammer of the underworld, the unholy mace of morgoth. The earth erupts with flame-spouting fissures when struck by this divine weapon.;;;;;;;;;x
palantir;Palantír;;;;;;;;;x
palantir_desc;This is one of the palantíri, enigmatic seeing-stones crafted in Valinor by Fëanor.  Their owners can communicate across vast distances and scry through space and time.;;;;;;;;;x
ring_of_barahir;Ring of Finarfin;;;;;;;;;x
ring_of_barahir_desc;The Ring of Finarfin was crafted in the years of the trees for Finrod as a personal signet ring of his father's house. It was later known as the Ring of Barahir, and became an heirloom of the men of the west.;;;;;;;;;x

# MERP unique weapons

spear_of_air;Spear of Air;;;;;;;;;;;;x
spear_of_air_desc;The spear of Ilmare, handmaiden of Varda.  The ethereal lance is imbued with the power of the heavens.;;;;;;;;;;;;x
dugorhath;Dûgorhath;;;;;;;;;;;x
dugorhath_desc;The Axe of Black Dread, weilded by Gothmog since the First War for Arda.;;;;;;;;;;;x
celeg_aithorn;Celeg Aithorn;;;;;;;;;;;x
celeg_aithorn_desc;The sword of Manwë Súlimo. A divine weapon of war and a symbol of authority, it was lent to Eönwë in its owners stead during the War of Wrath.;;;;;;;;;;;x
demon_hammer;Rakhâzabkhazu;;;;;;;;;;;x
demon_hammer_desc;The Demon-Hammer of the Firebeards is a legendary weapon crafted by Úri I, weilded in countless battles against the Umaiar. It was thought to be lost in the distant past, but is now found again.;;;;;;;;;;;x
stone_hammer;Bekhzar'aban;;;;;;;;;;;x
stone_hammer_desc;The Great Stone Hammer of the Broadbeams is a legendary item of war and craft created by Dwálin I soon after his awakening.  Thought to be lost in the distant past, it has now been found again.;;;;;;;;;;;x
aeglin;Aeglin;;;;;;;;;;;x
aeglin_desc;A noble sword of the Gondolindrim, Aeglin was ornately engraved and masterfully crafted for Salgant. It glows when enemies are nearby, much like other Gondolindrim blades.;;;;;;;;;;;x
aedring;Aedring;;;;;;;;;;;x
aedring_desc;"Fell Hammer", the enchanted bastard sword of Beren Erchamion, gifted to him in Valinor on his return to Middle-Earth.;;;;;;;;;;;x
ainacrist;Ainacrist;;;;;;;;;;;x
ainacrist_desc;The "Holy Sword" of Finarfin, a great shining blade of white eog, visible from leagues away.;;;;;;;;;;;x
ancaruin;Ancaruin;;;;;;;;;;;x
ancaruin_desc;The "Jaws of Red Flame", weilded by Fëanor in the War of the Great Jewels. It was a two-handed sword with hilts of golden mithril and adamant ruby and a blade of mithril and red eog.;;;;;;;;;;;x
aracu;Aracu;;;;;;;;;;;x
aracu_desc;The "Noble Bow" of Celegorm was weilded in the hunt as well as the battlefield.  Masterfully crafted with techniques learned from Oromë, the bow's material is of the finest Valian quality.;;;;;;;;;;;x
ar_sil;Ar-sil;;;;;;;;;;;x
ar_sil_desc;A mithril blade crafted in Valinor, this blade cuts with dire cold, sapping the air of warmth from whether it is drawn.;;;;;;;;;;;x
long_axe;Long-Axe;;;;;;;;;;;x
long_axe_desc;The magical longaxe of Azaghâl is one of the mightest dwarven weapons ever made.  Forged with a reddish cast and silvery edge, it rends enemies apart with ease.;;;;;;;;;;;x
night_axe;Night-Axe;;;;;;;;;;;x
night_axe_desc;The companion battleaxe of Azaghâl was inlaid by runesmiths with Ithildin runes, visible only under moonlight and starlight.;;;;;;;;;;;x
stone_axe;Stone-Axe;;;;;;;;;;;x
stone_axe_desc;The Stone-Axe of Azaghâl was crafted by its weilder to resemble slate grey stone, but is inlaid with Ithildin runes much as its companion, Night-Axe.;;;;;;;;;;;x
burning_blade;The Burning Blade;;;;;;;;;;;x
burning_blade_desc;The Burning Blade is an Angband-forged Demon weapon, possessed by a Norrog fire-demon.  It survived the War of Wrath, and was weilded by a Nazgûl in the Third Age.;;;;;;;;;;;x
calninque;Calninquë;;;;;;;;;;;x
calninque_desc;An inscripted greatsword of clear laen crafted for Glorfindel in Gondolin. Like many Gondolindrim blades, it glows when enemies are near.;;;;;;;;;;;x
calris;Calris;;;;;;;;;;;x
calris_desc;The "Light-Cleaver", a flaming sword weilded by Felagrog, who become known as Durin's Bane when this blade slew Durin I in Moria.;;;;;;;;;;;x
caranlhach;Caranlhach;;;;;;;;;;;x
caranlhach_desc;The "Red Leaping Flame" is a mighty broadsword of red laen crafted for Caranthir the Dark.;;;;;;;;;;;x
cirmegil;Círmegil;;;;;;;;;;;x
cirmegil_desc;The "Cleaver of Swords" is an evil black blade inhabited by a warrior-demon.  It is adept at destroying other blades, and was crafted in the pits of Angband to counter the Fell-Blades of the Noldor.;;;;;;;;;;;x
cubeleg;Cubeleg;;;;;;;;;;;x
cubeleg_desc;The "Sudden Bow" is an ornate, collapsable one-handed crossbow crafted by Fëanor for his son Caranthir.;;;;;;;;;;;x
cuiviegurth;Cuiviegurth;;;;;;;;;;;x
cuiviegurth_desc;The "Awakening Death" is the dreaded flaming lash of Helegrog, weilded by his hand since the First War.;;;;;;;;;;;x
cuthalion;Cuthalion;;;;;;;;;;;x
cuthalion_desc;The "Strong Bow" was Eärendil's enchanted Mallorn bow.  It was gifted to him in Valinor, and was later used in the War of Wrath against the Dragons of Angband to great effect.;;;;;;;;;;;x
dagger_of_the_dancer;The Dagger of the Dancer;;;;;;;;;;;x
dagger_of_the_dancer_desc;Fëanor crafted this beautiful blue mithril dagger as a gift for Lúthien Tinúviel, the Doriathrim princess of famed beauty.;;;;;;;;;;;x
orc_slayer_dagger;The Orc-Slayer;;;;;;;;;;;x
orc_slayer_dagger_desc;This plain dagger was gifted by Boromir of Ladros to his son, and eventually became owned by Beren. It was imbued by its many owners with a vicious hatred of orcs.;;;;;;;;;;;x
dagger_of_sleep;The Dagger of Sleep;;;;;;;;;;;x
dagger_of_sleep_desc;This ornate dagger is enchanted to shroud nearby enemies in a drowsy mist.;;;;;;;;;;;x
death_mace;The Death-Mace;;;;;;;;;;;x
death_mace_desc;This ragged bronze and iron weapon is host to a warrior-demon who imbues the mace with an unholy strength.;;;;;;;;;;;x
distant_fists;The Distant Fists;;;;;;;;;;;x
distant_fists_desc;These exquisitely ornate throwing maces are a bewildering mix of curves, flanges, and spikes, almost suggestive of a bird of prey in flight.  They are crafted of a wide variety of materials.;;;;;;;;;;;x
durcarak;Durcarak;;;;;;;;;;;x
durcarak_desc;The "Dark Fang", an iron-cutting black eog longknife.  It is a poor substitute for Angrist, but quite powerful in its own right.;;;;;;;;;;;x
elenruth;Elenrûth;;;;;;;;;;;x
elenruth_desc;This ancient, silvery Valian blade of the Noldor was enchanted with a storm spirit, and can actually be used to call down lightning from any sky.;;;;;;;;;;;x
foam_cleaver;Foam-Cleaver;;;;;;;;;;;x
foam_cleaver_desc;This clear laen sword was crafted by Falathrim smiths after the fashion of the Noldor.  It was gifted to Elros, and used thereafter as a hereditary sword of kings of Númenor.;;;;;;;;;;;x
fonhrad;Fonhrad;;;;;;;;;;;x
fonhrad_desc;The "Quick Fang" is a sturdy spear of Dyr-wood tipped with enchanted golden laen.  It is a mysterious weapon whose simple form belies its deadliness in war.;;;;;;;;;;;x
fuinrauko;Fuinrauko;;;;;;;;;;;x
fuinrauko_desc;The "Gloomy Demon" of Eöl, this sword was crafted for use as the personal weapon of its creator.  The two-handed broadsword is forged of black eog with edges, hilt-guard, and decor of galvorn.;;;;;;;;;;;x
quick_bow;The Quick Bow;;;;;;;;;;;x
quick_bow_desc;A long hunting bow with a belligerent spirit.  It was crafted by the Noldor and later used by the lady Galadriel in the wars of Beleriand.;;;;;;;;;;;x
gersebroc;Gersebroc;;;;;;;;;;;x
gersebroc_desc;This legendary blade was supposedly forged and weilded by Gerse, the Forodwaith folk hero.  A 7' long blade of silver and iron, it is counterweighted with a heavy ball pommel and foot-long pommel spikes extending from either side.;;;;;;;;;;;x
gift_of_tulkas;The Gift of Tulkas;;;;;;;;;;;x
gift_of_tulkas_desc;Gifted to the High King Ingwë by the Valar it is named for, this divine two-handed sword is forged of beautiful clear white adamant.  It is perfectly balanced for use by any Eldar, although proves useless in the hands of any other race.;;;;;;;;;;;x
gildagor;Gildagor;;;;;;;;;;;x
gildagor_desc;The ancient, dwarf-made "Star of Battle" is an enchanted broadsword of surpassing beauty, forged of purest mithril with a ruby imbedded in its pommel.  It was weilded by many famous swordsmen, including Oropher and Isildur.;;;;;;;;;;;x
helkaluin;Helkaluin;;;;;;;;;;;x
helkaluin_desc;The "Shining Blue Ice" of the Sindar is a sword forged by unkown (but clearly skilled) moriquendi smiths of Beleriand.  It is made of ithilnaur with a gleaming edge of clear blue laen.;;;;;;;;;;;x
iron_bow;The Iron Bow;;;;;;;;;;;x
iron_bow_desc;This resilliant bow of treated oak and iron was crafted by Maglor for war and hunting.  It would later be used by his foster-son Elrond in the wars of later ages.;;;;;;;;;;;x
kirlhach;Kirlhach;;;;;;;;;;;x
kirlhach_desc;The "Cleaving Leaping-flame" is an exquisite clear laen longsword with gold and mithril hilts.  Its spirit harbors a burning hatred for the demons of Utumno.;;;;;;;;;;;x
kirrauko;Kirrauko;;;;;;;;;;;x
kirrauko_desc;The prophetically named "Demon Cleaver" is a greataxe of black laen with a haft of the same material.  It glows with faint silver fire when opposing minions of Morgoth.;;;;;;;;;;;x
mace_of_waterskipping;The Mace of Waterskipping;;;;;;;;;;;x
mace_of_waterskipping_desc;This simple, lightweight mace of oak and steel was crated by Eldar smiths for a lord of Khazad-dûm.;;;;;;;;;;;x
maikarama;Maikarama;;;;;;;;;;;x
maikarama_desc;This ornate spear was crafted in Aman for Angrod of the house of Finarfin.  It is weilded both as a staff of command and a mighty weapon of war.;;;;;;;;;;;x
morgurth;Morgurth;;;;;;;;;;;x
morgurth_desc;Named "Black Death" for its obsidian appearance, this superb broadsword was forged by Aegnor of Nargothrond.  The hilt wrapping is alternating brown and blue-violet, its blade, guard and pommel made of galvorn.;;;;;;;;;;;x
morlhach;Morlhach;;;;;;;;;;;x
morlhach_desc;The "Black Leaping Flame" of Sauron Gorthaur, forged by his own hand for the First War.  The blade is of black steel edged with red laen, the hilt decorated with mithril and ruby flowers.  It is host to a powerful fire-demon and can move of its own accord.;;;;;;;;;;;x
mundwine;Mundwine;;;;;;;;;;;x
mundwine_desc;A kingly steel longsword of ancient Dwarven make, this blade serves as an heirloom of the house of Anîr.  It was later recovered from a Dragon-hoard in the third age.;;;;;;;;;;;x
nallagurth;Nallagurth;;;;;;;;;;;x
nallagurth_desc;Forged in the fires of Utumno by Sauron Gorthaur, "Death's Proclaimer" is a mace of black eog, subtly inlaid with veins of fused diamonds, its inset black tip inscribed with a rune of death.  It was later gifted by its creator to the Witch-King of Angmar.;;;;;;;;;;;x
nightfang;Nightfang;;;;;;;;;;;x
nightfang_desc;This black needle-thin longsword is crafted with a hilt of bone and a bommel of bronze.  It weilds a mysterious, malevolent power.;;;;;;;;;;;x
ongrum;Ongrum;;;;;;;;;;;x
ongrum_desc;The "Iron Skull" is a crude orkish mace topped with the frightening visage of a skull with blazing ruby eyes.;;;;;;;;;;;x
orcring;Orcring;;;;;;;;;;;x
