#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTTITbuildings.102;The Ruins of Iant Iaur;Les Ruines d'Iant Iaur;;;;;;;;;;;;x
EVTDESCbuildings.102;You tried to install a few buildings inside the ruins of the Haven of Iant Iaur, but as the land was abandonned since a long time, the city is regularly flooded by the sea or the surrounding rivers. You're quickly forced to abandon this new construction to the waves, and you'll have to rebuild the dikes of the Havens before to install yourself there.;Vous avez tenté d'installer quelques batiments à l'intérieur des ruines d'Iant Iaur, mais, ce territoire ayant été abandonné depuis longtemps, vous êtes à la merci des inondations, venant de la mer comme des rivières environnantes. Vous êtes rapidement obligés d'abandonner cette nouvelle construction aux flots, et vous devrez reconstruire les digues avant de pouvoir vous installer ici.;;;;;;;;;;;;x
rebuild_iant_iaur;Rebuild Iant Iaur;Reconstruire Iant Iaur;;;;;;;;;;;;x
rebuild_iant_iaur_desc;Recognizing its symbolic and practical importance, you get to work organizing an effort to rebuilt the old dwarven bridge and fortify the surrounding land once more.; Havres d'Iant Iaur ont été fondé à la fin du premier Âge par des Sindar. Pendant de longs siècles, les navires des Sindar partaient de ce port vers l'Ouest. Mais depuis la mort d'Amroth, le Roi de la Lorien, les havres ont été abandonnés, et sont finalement tombés dans l'oubli.;;;;;;;;;;;;x
EVTTITbuildings.20;Iant Iaur;Les Ruines d'Iant Iaur;;;;;;;;;;;;x
EVTDESCbuildings.20;The mighty bridge of Egaliant was built by the Dwarves of the Ered Luin in the ages before the exile of the Noldor. For centuries, travellers and merchants brought goods across the great stone bridge over the mighty Esgalduin. But since the passage of Ungoliant and the return of Morgoth, the great bridge has been abandoned and taken by decay.;Les Havres d'Iant Iaur ont été fondé à la fin du premier Âge par des Sindar. Pendant de longs siècles, les navires des Sindar partaient de ce port vers l'Ouest. Mais depuis la mort d'Amroth, le Roi de la Lorien, les havres ont été abandonnés, et sont finalement tombés dans l'oubli.;;;;;;;;;;;;x
EVTOPTAbuildings.20;This old bridge shall bear travellers once more!;Je vais reconstruire ces Havres !;;;;;;;;;;;;x
EVTOPTBbuildings.20;I don't have any time to waste on this…;Je n'ai pas de temps à perdre à ça…;;;;;;;;;;;;x
EVTTITbuildings.21;Iant Iaur;Les Ruines d'Iant Iaur;;;;;;;;;;;;x
EVTDESCbuildings.21;While your workers start the work at the ruins of Esgaliant, the foreman comes back with bad news. The towers and fortifications are not only in a much worse condition than expected, their interiors are infested by the spawn of Ungoliant! Before you can rebuild the bridge, we must drive these terrible creatures from the site.;Alors que vous envoyez vos ouvriers commencer les travaux à Iant Iaur, le contremaitre revient avec une mauvaise nouvelle. Toute la cité est inondée, les digues qui la protégeait ayant cédées depuis longtemps. Avant de pouvoir nettoyer la cité, il faudra commencer par construire de nouvelles digues de protection.;;;;;;;;;;;;x
EVTOPTAbuildings.21;Send for my wardens at once!;Bien, allez-y!;;;;;;;;;;;;x
EVTOPTBbuildings.21;I have no men-at-arms to spare.;Non, c'est trop de travail.;;;;;;;;;;;;x
EVTTITbuildings.22;Iant Iaur;Les Ruines d'Iant Iaur;;;;;;;;;;;;x
EVTDESCbuildings.22;Your brave wardens managed to slay the dark terrors infesting the Esgaliant with acceptable losses, and now it's time to continue the work by clearing the rubble and surveying the state of the bridge. You'll need the eye of a dwarven architect.;Vous avez réussi à reconstruire les digues et les barrages qui protégeaient la cité, et il est maintenant temps de continuer le travail, en déblayant les gravas qui encombrent les rues. Il faudra également réussir à retirer les épaves qui bloquent l'entrée du port.;;;;;;;;;;;;x
EVTOPTAbuildings.22;Send messengers to the east with a generous offer!;Il est temps de nettoyer toute cette terre!;;;;;;;;;;;;x
EVTOPTBbuildings.22;No… I can't afford to hire one of those greedy creatures.;Non, c'est trop de travail.;;;;;;;;;;;;x
EVTTITbuildings.25;Iant Iaur;Les Ruines d'Iant Iaur;;;;;;;;;;;;x
EVTDESCbuildings.25;Despite the skill of your naugrim architect and the sweat of your workers, the repairs were not enough to rectify the extensive damage and the bridge will not hold their weight. Demoralized, you give up the job for now.;Malgré le travail de vos ouvriers, les digues n'arrivent pas à contenir les flots, et la cité reste inondée. Démoralisé, vous abandonnez le travail, pour le moment.;;;;;;;;;;;;x
EVTOPTAbuildings.25;Such toil, and yet alas…;C'est trop de travail…;;;;;;;;;;;;x
EVTTITbuildings.24;Iant Iaur;Les Ruines d'Iant Iaur;;;;;;;;;;;;x
EVTDESCbuildings.24;After several weeks of intensive work, your workers have finally finished repairs and opened the bridge to travellers. You can now rebuild the fortifications and towns surrounding the bridge, and restore it to its former glory.;Après plusieurs semaines de travail intensif, vos ouvriers ont enfin nettoyé la ville, et débloqué l'entrée du port. Vous pouvez maintenant reconstruire le port d'Iant Iaur, et lui redonner sa gloire d'antan.;;;;;;;;;;;;x
EVTOPTAbuildings.24;Grand news!;C'est une Grande Nouvelle !;;;;;;;;;;;;x
EVTTITbuildings.23;Iant Iaur;;;;;;;;;;;;;x
EVTDESCbuildings.23;Your brave wardens campaign in the dark ruins of Esgaliant, slaying many of the spider-demons within.  It is in vain, however.  The spiders are too numerous and intelligent, and they rout the wardens that they do not eat.  It seems that the true masters of Iant Iaur will not release their dread grip from the bridge anytime soon.;Après plusieurs semaines de travail intensif, vos ouvriers ont réussi à nettoyer une grande partie de la ville, mais n'arrivent pas à enlever les nombreuses épaves qui bloquent le port. Sans le port, cette cité n'a pas de raisons d'être, et vous abandonnez le travail pour le moment.;;;;;;;;;;;;x
EVTOPTAbuildings.23;So many lives lost, and nothing accomplished…;Iant Iaur reste en ruine…;;;;;;;;;;;;x
iant_iaur_rebuilt_tt;Iant Iaur is restored!;;;;;;;;;;;;;x
iant_iaur_rebuilt_failure_tt;Your efforts to rebuild Iant Iaur are in vain...;;;;;;;;;;;;;x
dark_terrors_slain_tt;The ruin is cleansed of dark terrors!;;;;;;;;;;;;;x
dark_terrors_slain_failure_tt;The children of Ungoliant are victorious...;;;;;;;;;;;;;x
