#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTsailedtowest.3;Sail to West?;Partir à l'Ouest?;;;;;;;;;;;;x
EVTDESCsailedtowest.3;You are tired of life in Middle-Earth. The wars and pains are not how you would like to live. You are looking to the West, and you have heard the call of the Sea. Will you leave Middle-Earth and go to the Undying Lands of Valinor?;Vous êtes fatigué de la vie sur les Terres du Milieu. Les guerres, les peines, les souffrances ont eu raison de votre volonté. Votre regard se porte maintenant vers l'Ouest, et vous entendez l'appel de la Mer. Allez-vous quitter les Terres du Milieu pour partir vers les Terres Immortelles?;;;;;;;;;;;;x
EVTOPTAsailedwest.3;Yes, it is the Time of Men, we must leave.;Oui, le temps des Hommes est venu.;;;;;;;;;;;;x
EVTOPTBsailedwest.3;Not yet, Middle-Earth needs us!;Les Terres du Milieu ont encore besoin de moi !;;;;;;;;;;;;x
elveninfertility_de1;You can feel that this will be your last child.;Vous pouvez sentir que vous ne pourrez plus avoir d'enfants.;;;;;;;;;;;;x
EVTsailedtowest.4;@FIXME@ Sail to West;@FIXME@ Partir à l'Ouest;;;;;;;;;;;;x
EVTDESCsailedtowest.4;@FIXME@ The character sailed to Valinor;@FIXME@ The character sailed to Valinor;;;;;;;;;;;;x
EVTOPTAsailedwest.4;@FIXME@ OK;@FIXME@ OK;;;;;;;;;;;;x
sail_to_west;Sail to West;Partir à l'Ouest;;;;;;;;;;;;x
sail_to_west_desc;@FIXME@ Sail to West;@FIXME@ Partir à l'Ouest;;;;;;;;;;;;x
#
### ELVEN SUBJUGATION ###
elf_diplomacy_annex_realm;Offer Protection;;;;;;;;;;;;;x
elf_diplomacy_annex_realm_desc;The realm led by [Root.GetTitledFirstNameWithNick] can be offered protection under the leadership of [From.GetTitledFirstNameWithNick].;;;;;;;;;;;;;x
TOOLTIPelf_diplomacy_annex_realmASKING;[From.GetTitledFirstName] is NOT already negotiating with another realm\n;;;;;;;;;;;;;x
TOOLTIPelf_diplomacy_annex_realmNEIGHBOUR;[Root.GetTitledFirstName]'s lands neighbor the lands of [From.GetTitledFirstName]\n;;;;;;;;;;;;;x
TOOLTIPelf_diplomacy_annex_realmCLAN;Each of [Root.GetTitledFirstName]'s vassals' opinions of [From.GetTitledFirstName] is at least 0\n;;;;;;;;;;;;;x
opinion_rejected_elf_diplomacy_annex_realm;Rejected Protection;;;;;;;;;;;;;x
TOOLTIPelf_diplomacy.2;will respond to your offer of protection.;;;;;;;;;;;;;x
EVTDESCelf_diplomacy.2;Envoys representing [FromFrom.GetTitledFirstNameWithNick] have arrived in [Root.Capital.GetName]. They want to offer you and your vassals protection under the leadership of their [FromFrom.GetTitle]. We would lose our status as an independent realm, but would surely be safer as part of a greater union of elven peoples.;;;;;;;;;;;;;x
EVTOPTAelf_diplomacy.2;I accept the [FromFrom.GetTitle]'s offer;;;;;;;;;;;;;x
EVTOPTBelf_diplomacy.2;I will not bow to that [GetRootFromInsult]!;;;;;;;;;;;;;x
EVTDESCelf_diplomacy.3;The talks with [From.GetTitledFirstNameWithNick] were fruitful. Your envoys managed to convince [From.GetHerHim] and [From.GetHerHis] vassal lords to submit to your leadership.;;;;;;;;;;;;;x
EVTOPTAelf_diplomacy.3;My power is growing;;;;;;;;;;;;;x
EVTDESCelf_diplomacy.4;The envoys you sent to [From.Capital.GetName] to talk with [From.GetTitledFirstNameWithNick] failed. [From.GetSheHeCap] and [From.GetHerHis] vassal lords apparently did not see why they should accept your leadership.;;;;;;;;;;;;;x
EVTOPTAelf_diplomacy.4;We would surely be stronger together!;;;;;;;;;;;;;x
TOOLTIPELFWARPROHIBITION;[Root.GetTitledFirstName] and [From.GetTitledFirstName] are NOT both of the elven race (The firstborn only shed the blood of their own race in extraordinary circumstances)\n;;;;;;;;;;;;;x
