#CODE;ENGLISH;FRENCH;GERMAN;SPANISH;x

# introduction - the burning of the ships

EVTTITfeanor.2;The Burning of the Ships;;;;;;x
EVTDESCfeanor.2;You have disembarked upon the lands of your birthright at last.  The vast ocean of the Belegaer lies at your back, as do Fingolfin, Ingwë, and the remainder of your kin in Eldamar.\n\nThose Ñoldor brave enough to join this quest for vengeance, or those personally loyal to the House of Fëanor, have accompanied you with strength of arms, ready and willing to shed blood for the Oath.  Their first taste of war with the Falmari was a grisly affair, as the Sea-Elves parted with their lives before their ships.  The war to follow will be far worse.\n\nThere can be no turning back now, no temptation for cowardice.  The fair ships bore you well, but their role in this tale is at an end.;;;;;;x
# 100 prestige, -100 piety
EVTOPTAfeanor.2;Let the ships burn!;;;;;;x
EVTOPTATOOLTIPfeanor.2;Destroy the Teleri's beloved ships, and with them any chance for retreat or reinforcement from Fingolfin.;;;;;;x

# Feanor meets the first lord of the Sindar

EVTTITfeanor.1;The Feast of Cirith Ninniach;;;;;;x
EVTDESCfeanor.1;My Lord Ñoldor, I am called Palancund, prince of Nevrast. It gladdens my heart to see the return of our lost kin, particularily in such dark times.  I invite you and your bannermen to my halls in the fair cleft of Cirith Ninniach, where my brother and I shall host a great feast in your honor.\n\nÊl síla erin lû e-govaned vîn,\nPalancund Nos Malgalad;;;;;;x
EVTOPTAfeanor.1;A welcome respite!;;;;;;x
EVTOPTBfeanor.1;I will not fraternize with savages.;;;;;;x
EVTDESCfeanor.1b;You and your vassal lords enter Palancund's dwelling in the rainbow cleft to much fanfare.  Many of your host's kin greet you in their Sindarin tongue with tales of Eglador and beyond, and the Ñoldor in turn tell of the wonders of Eldamar.  The feast, although simple by Valian standards, is sufficient and the wine flows.;;;;;;x
EVTOPTAfeanor.1b;Perhaps these Sindar are not so brutish after all.;;;;;;x
EVTDESCfeanor.1c;While discussing your quest and the lands nearby, Palancund's eyes light up as you express need for a defensible, cultivable land of encampment.  "The northern shores of Lake Mithrim lie uninhabited, my Lord. It lies in sight of the Ered Engrin, and yet Hithlum is as tranquil and fertile a land as one could imagine.";;;;;;x
EVTOPTAfeanor.1c;Mithrim, you say?;;;;;;x
EVTOPTBfeanor.1c;Fantastic, we will encamp there.;;;;;;x
EVTDESCfeanor.1d;After the feast, Palancund surprises you by offering fealty to the crown of the Ñoldor. The Dark Lord has returned, he explains, and the kins of Elwë and Finwë must unite against him.;;;;;;x
EVTOPTAfeanor.1d;I can always use more good elves.;;;;;;x
EVTOPTBfeanor.1d;I have no time for such opportunistic subservience.;;;;;;x
EVTDESCfeanor.1e;As you and your entourage depart, you reflect on the wealth and learnedness of Palancund, realizing that you should revise all of your preconceived notions on the Dark Elves.;;;;;;x
EVTOPTAfeanor.1e;Truly our kin indeed.;;;;;;x
EVTOPTBfeanor.1e;Devious for such simple creatures.;;;;;;x

# Feanor debates the burning of the ships with maedhros, friend of Fingon

EVTDESCfeanor.3;Atanya, you are quite familiar with the friendship between Fingon and myself.  I fear for him now that you have burned the ships, as he and the Ñoldor of his house are implacable.  They will attempt to cross the Helcaraxë, and many will perish.  If my friend pays for your vainglory with his life I may not forgive you.\n\nYour son,\nMaedhros;;;;;;x
EVTOPTAfeanor.3;The Helcaraxë? Do not be ridiculous.;;;;;;x
EVTOPTBfeanor.3;If the fools wish to die, I will not blame myself.;;;;;;x
EVTOPTCfeanor.3;I am sorry, my son. I should have taken your counsel.;;;;;;x

# The Battle Under the Stars

EVTTITfeanor.4;Dagor-nuin-Giliath;;;;;;x
