#CODE;ENGLISH;FRENCH;GERMAN;SPANISH;x

# Morgoth feigns truce
EVTTITmaedhros.1;The Emissary;;;;;;x
EVTDESCmaedhros.1;It has been some time now since you were crowned High King. The situation seems bleak, and many of your host express discontent at camping near Mithrim with the Dark Elves without much assured plan for defeating Morgoth. After one such frustrating meeting with the Noldor, you hear of an Emissary from the North approaching your settlements. This fair agent of Morgoth claims that the Dark Lord wishes to end hostilities, suing for peace in exchange for one of the Silmarils. He knows, apparently, how much you and your brothers long for their return, and considers surrendering one of the three a small price for a prolonged peace in these lands. We need only come to the emissary's party to receive the tribute.\n\nYou know this is a trap, yet The Oath drives you to do something to turn this situation to your advantage...;;;;;;x
EVTOPTAmaedhros.1;We shall set a trap of our own.;;;;;;x
EVTOPTBmaedhros.1;Perhaps I can demand an audience with Morgoth...;;;;;;x
EVTOPTATOOLTIPmaedhros.1;You travel to the meeting with a hidden force.;;;;;;x
EVTOPTBTOOLTIPmaedhros.1;You travel to the meeting with a hidden knife.;;;;;;x

# Your counter-ambush is foiled, your force is destroyed and you are captured
EVTTITmaedhros.2;The Ambush;;;;;;x
EVTDESCmaedhros.2;The evening light dims as you approach the emissary and his entourage of armored orcs and trolls. The majority of your host follows unseen from the trees and hills, waiting on your signal to attack. The black-clad, elfish courtier of Angband smiles as you approach, his arms opened in welcome.\n\n"Your royal majesty," He exclaims, "We have with us now a Silmaril granted by the Dark Lord himself in exchange for peace. Lay down your arms, as we have done, and come forward to claim the tribute of the most gracious Lord of Arda.";;;;;;x
EVTOPTAmaedhros.2;(give the signal);;;;;;x

EVTDESCmaedhros.3;You give the signal, rushing the party with blades in hand. From the trees, your elf-host emerges, felling the emissary and the orcs as you rush to search for signs of the Great Jewel.  Just then, the true guards of the emissary arrive - balrogs, emerging from the earth behind your host. Your host is cut down before your eyes, and before you can react, you are bound and dragged away by orcs. As you felled many of their brethren under guise of truce, the orcs make a point to be very unkind to your battered body.;;;;;;x
EVTOPTAmaedhros.3;I should have known this would happen!;;;;;;x

# You are taken to morgoth, in chains.
EVTTITmaedhros.4;The Meeting;;;;;;x
EVTDESCmaedhros.4;The evening light dims as you approach the emissary and his entourage of armored orcs and trolls. You come with a small honor guard, surrounded by orcs. There's clearly no chance that you or your warriors will attempt to join battle, and yet the black-clad emissary gives you a most suspicious look. The armored troll-guard at his side loom over you as you are brought before the elf-shaped apparition astride a black horse. "I expected some kind of attack, but you come as a supplicant in truth - do you perhaps wish to treat with me in earnest?";;;;;;;;x
EVTOPTAmaedhros.4;I will make no deal with a slave of Morgoth. Bring me to your lord.;;;;;;x

EVTDESCmaedhros.5;You are uncertain if the emissary is pleased with your request or not, for he smirks and dismisses your honor guard. "Send your elves back to Mithrim. I will take you to the King of the World."\n\nHe escorts you to Angband, but not before restraining you in chains with the aid of Balrogs.;;;;;;x
EVTOPTAmaedhros.5;I should have expected this.;;;;;;x

EVTTITmaedhros.6;The Dark Lord;;;;;;x
