#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTTITcharacterkiller.1;Your Court;@FIXME@ Your Court;;;;;;;;;;;;x
EVTDESCcharacterkiller.1;In Barad-Dur, many of your most capable lieutenants reside. They handle the daily tasks of running your realm, and keep your unruly legions under control.;@FIXME@ In Barad-Dur, many of your most capable lieutenants reside. They handle the daily tasks of running your realm, and keep your unruly legions under control.;;;;;;;;;;;;x
EVTOPTAcharacterkiller.1;It's good to have servants.;@FIXME@ It's good to have servants.;;;;;;;;;;;;x
EVTTITcharacterkiller.2;Your Court;@FIXME@ Your Court;;;;;;;;;;;;x
EVTDESCcharacterkiller.2;You have gathered to yourself an inner circle, loyal only to yourself. These include orcs, Uruk-Hai, Half-Orcs, and Dunlendings. They take care of all the drudgery associated with ruling a realm and building armies.;@FIXME@ You have gathered to yourself an inner circle, loyal only to yourself. These include orcs, Uruk-Hai, Half-Orcs, and Dunlendings. They take care of all the drudgery associated with ruling a realm and building armies.;;;;;;;;;;;;x
EVTOPTAcharacterkiller.2;It's good to have servants.;@FIXME@ It's good to have servants.;;;;;;;;;;;;x
EVTTITcharacterkiller.3;You are orcish;@FIXME@ You are orcish;;;;;;;;;;;;x
EVTDESCcharacterkiller.3;Maiar characters are not supposed to be randomly spawned.;@FIXME@ Maiar characters are not supposed to be randomly spawned.;;;;;;;;;;;;x
EVTOPTAcharacterkiller.3;Goodbye, cruel world!;@FIXME@ Goodbye, cruel world!;;;;;;;;;;;;x
EVTTITcharacterkiller.31;You are dunlending;@FIXME@ You are dunlending;;;;;;;;;;;;x
EVTDESCcharacterkiller.31;Maiar characters are not supposed to be randomly spawned.;@FIXME@ Maiar characters are not supposed to be randomly spawned.;;;;;;;;;;;;x
EVTOPTAcharacterkiller.31;Goodbye, cruel world!;@FIXME@ Goodbye, cruel world!;;;;;;;;;;;;x
EVTTITcharacterkiller.4;You are orcish;@FIXME@ You are orcish;;;;;;;;;;;;x
EVTDESCcharacterkiller.4;Wight characters are not supposed to be randomly spawned.;@FIXME@ Wight characters are not supposed to be randomly spawned.;;;;;;;;;;;;x
EVTOPTAcharacterkiller.4;Goodbye, cruel world!;@FIXME@ Goodbye, cruel world!;;;;;;;;;;;;x
EVTTITcharacterkiller.5;You are orcish;@FIXME@ You are orcish;;;;;;;;;;;;x
EVTDESCcharacterkiller.5;Wight characters are not supposed to be randomly spawned.;@FIXME@ Wight characters are not supposed to be randomly spawned.;;;;;;;;;;;;x
EVTOPTAcharacterkiller.5;Goodbye, cruel world!;@FIXME@ Goodbye, cruel world!;;;;;;;;;;;;x
