#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#
### VISITING A RELATIVE/FRIEND/ALLY/NEIGHBOR ###
visit_character_decision;Visit Court;;;;;;;;;;;;;x
visit_character_decision_desc;Request to be hosted at the court of [Root.GetTitledFirstName] in [Root.Location.GetName].  There you may improve (or worsen) your relationship with one another.  The travel away from court will require an approximately month-long absence.;;;;;;;;;;;;;x
TOOLTIPvisit_character.2;Your request to visit will be sent.  We expect a reply in about 10 days.;;;;;;;;;;;;;x
opinion_accepted_visitation;Accepted my visit;;;;;;;;;;;;;x
opinion_rejected_visitation;Rejected my visit;;;;;;;;;;;;;x
opinion_had_fun;Had a great time;;;;;;;;;;;;;x
opinion_good_relationship;Relaxed relationship;;;;;;;;;;;;;x
opinion_bad_relationship;Strained relationship;;;;;;;;;;;;;x
EVTDESCvisit_character.14;Your offer of visitation was rejected by [From.GetTitledFirstName]. It would seem that [From.GetSheHe] does not have time to entertain guests.;;;;;;;;;;;;;x
EVTOPTAvisit_character.14;Oh... how unfortunate.;;;;;;;;;;;;;x
EVTDESCvisit_character.2;Messengers from [From.PrimaryTitle.GetFullBaseName] have arrived in [Root.Location.GetName].  Their lord, [From.GetTitledFirstName], wishes to make a journey to your court for friendship and recreation.  Surely, this would be a valuable diplomatic opportunity as well.;;;;;;;;;;;;;x
EVTOPTAvisit_character.2;It would be an honor to host the [From.GetTitle].;;;;;;;;;;;;;x
EVTOPTBvisit_character.2;I have more important things to do than entertain [From.GetFirstName].;;;;;;;;;;;;;x
EVTDESCvisit_character.3;[From.GetTitledFirstName] has left [Root.Location.GetName] with [From.GetHerHis] entourage.  Their visit was brief, pleasant, and productive.  You expect greater cooperation and familiarity from [From.GetHerHim] hence.;;;;;;;;;;;;;x
EVTOPTAvisit_character.3;The minstrels already sing of [Root.GetFirstName] and the [GetRootFromCompliment] [From.GetFirstName].;;;;;;;;;;;;;x
EVTDESCvisit_character.4;[From.GetTitledFirstName] has left [Root.Location.GetName] with [From.GetHerHis] entourage.  [From.GetHerHis] visit was unproductive, recent events straining cooperation between the two of you.  You and [From.GetFirstName] clearly have some conflicting interests that stand in the way of friendship.;;;;;;;;;;;;;x
EVTOPTAvisit_character.4;Another day, another difficulty.;;;;;;;;;;;;;x
EVTDESCvisit_character.5;[From.GetTitledFirstName] has left [Root.Location.GetName] with [From.GetHerHis] entourage to great fanfare.  [From.GetSheHe] is a fascinating person and most noble [From.GetLordLady] - a pleasure to host in [Root.Location.GetName].  The cordiality and respect between you and [From.GetFirstName] have clearly developed into a new friendship.;;;;;;;;;;;;;x
EVTOPTAvisit_character.5;I can hardly wait to converse with [From.GetHerHim] again!;;;;;;;;;;;;;x
EVTDESCvisit_character.6;[From.GetTitledFirstName] has left [Root.Location.GetName] with [From.GetHerHis] entourage abruptly.  That insufferable [From.GetLordLady] insulted and challenged you in your own court!  After a shouting match which ended in a drawing of blades, [From.GetFirstName] fled in a rage.  It is clear that the two of you are worse than strangers -  you are rivals.;;;;;;;;;;;;;x
