#CODE;ENGLISH;FRENCH;GERMAN;SPANISH;ITALIAN;x
Captain;Captain;;;;;;x
mycaptain;My Captain;;;;;;x
Lord;Lord;;;;;;x
mylord;My Lord;;;;;;x
Warden;Warden;;;;;;x
Chieftain;Chieftain;;;;;;x
HighPriest;High Priest;;;;;;x
Admiral;Admiral;;;;;;x
Head;Head;;;;;;x
myhead;My Lord;;;;;;x
Master;Master;;;;;;x
mymaster;Master;;;;;;x
Houseof;The House of;;;;;;x
Mineof;The Mines of;;;;;;x
d_the_iron_vabundhur;Iron Vabundhur;;;;;;x
d_the_iron_vabundhur_adj;Iron Vabundhur;;;;;;x
d_the_khazad_vabundhur;Khazâd Vabundhur;;;;;;x
d_the_khazad_vabundhur_adj;Khazâd Vabundhur;;;;;;x
d_vault_wardens;Vault Wardens;;;;;;x
d_vault_wardens_adj;Vault Warden;;;;;;x
d_petty_dwarf_outlaws;Petty-Dwarf Outlaws;;;;;;x
d_petty_dwarf_outlaws_adj;Petty-Dwarf Outlaw;;;;;;x
d_harn_balandul_company;Harn Balandul Company;;;;;;x
d_harn_balandul_company_adj;Harn Balandul Company;;;;;;x
d_dwarf_road_company;Dwarf-Road Company;;;;;;x
d_dwarf_road_company_adj;Dwarf-Road Company;;;;;;x
d_host_of_the_dispossessed;Host of the Dispossessed;;;;;;x
d_host_of_the_dispossessed_adj;Host of the Dispossessed;;;;;;x
d_knights_of_the_crown;Knights of the Crown;;;;;;x
d_knights_of_the_crown_adj;Knights of the Crown;;;;;;x
d_knights_of_nevrast;Knights of Nevrast;;;;;;x
d_knights_of_nevrast_adj;Knights of Nevrast;;;;;;x
d_knights_of_faenor;Knights of Formenos;;;;;;x
d_knights_of_faenor_adj;Knights of Formenos;;;;;;x
d_knights_of_tirion;Knights of Tirion;;;;;;x
d_knights_of_tirion_adj;Knights of Tirion;;;;;;x
d_gondolindrim_company;Gondolindrim Company;;;;;;x
d_gondolindrim_company_adj;Gondolindrim Company;;;;;;x
d_vinyamarin_company;Vinyamarin Company;;;;;;x
d_vinyamarin_company_adj;Vinyamarin Company;;;;;;x
d_himlad_rangers;Himlad Rangers;;;;;;x
d_himlad_rangers_adj;Himlad Ranger;;;;;;x
d_amon_ethir_rangers;Rangers of Amon Ethir;;;;;;x
d_amon_ethir_rangers_adj;Amon Ethir Ranger;;;;;;x
d_dorthonion_rangers;Dorthonion Rangers;;;;;;x
d_dorthonion_rangers_adj;Dorthonion Ranger;;;;;;x
d_house_of_the_heavenly_arch;House of the Heavenly Arch;;;;;;x
d_house_of_the_heavenly_arch_adj;House of the Heavenly Arch;;;;;;x
d_house_of_the_tree;House of the Tree;;;;;;x
d_house_of_the_tree_adj;House of the Tree;;;;;;x
d_house_of_the_golden_flower;House of the Golden Flower;;;;;;x
d_house_of_the_golden_flower_adj;House of the Golden Flower;;;;;;x
d_house_of_the_fountain;House of the Fountain;;;;;;x
d_house_of_the_fountain_adj;House of the Fountain;;;;;;x
d_house_of_the_swallow;House of the Swallow;;;;;;x
d_house_of_the_swallow_adj;House of the Swallow;;;;;;x
d_house_of_the_harp;House of the Harp;;;;;;x
d_house_of_the_harp_adj;House of the Harp;;;;;;x
d_house_of_the_mole;House of the Mole;;;;;;x
d_house_of_the_mole_adj;House of the Mole;;;;;;x
d_house_of_the_pillar;House of the Pillar;;;;;;x
d_house_of_the_pillar_adj;House of the Pillar;;;;;;x
