#CODE;ENGLISH;FRENCH;GERMAN;SPANISH;x
DYN1_DESC;With a score of $SCORE$ you$FAILED$ surpass the House of Fëanor, the greatest of the Children of Iluvatar. Fëanor was the greatest craftsman in history, creating the Silmarils, jewels containing the light of the Trees of Valinor. After the destruction of the Trees and the theft of the Silmarils by Melkor, Fëanor and his sons vowed that every living thing that would keep the jewels from them would perish by their hands. The Sons of Fëanor were among the most powerful of the Lords of Middle Earth throughout the whole First Age, and were the only ones who would directly oppose Melkor. Routed first in the Dagor Bragollach and then in the Nirnaeth Arnoediad, they met their final fates during the subsequent kinslayings of Doriath and Sirion during attempts to find the Silmarils. Only Maglor survived to wander the earth past the First Age, a broken soul. Their sole descendant Celebrimbor crafted the rings of power in the Second Age.;Avec un score de $SCORE$, vous surpassez la Maison de Fëanor, le plus grand des Enfants d'Iluvatar. Fëanor était le plus grand artisan de l'Histoire, et a notamment fabriqué les Silmarils, joyaux qui renfermaient la lumière des Arbres de Valinor. Après la destruction des Deux Arbres et le vol des Silmarils par Melkor, Fëanor et ses fils firent le serment que tout être vivant qui mettrait la main sur ces joyaux périrait de leurs mains. Les Fils de Fëanor furent les Seigneurs les plus puissants de la Terre du Milieu, hormis Melkor, durant tout le Premier Âge, et étaient les seuls à pouvoir tenir tête au Vala.;;;;;x
DYN2_DESC;With a score of $SCORE$, you$FAILED$ surpass the House of Fingolfin. Fingolfin was the second son of Finwë, the High King of the Noldor in Valinor. After the death of Fëanor, the title of High King of the Noldor in Middle-earth was given to Fingolfin and his descendants: Fingon, Turgon of Gondolin, and ultimately Gil-Galad. Fingolfin is one of the few who dared to defy Morgoth in single combat, but died during the fight.;Avec un score de $SCORE$, vous surpassez la Maison de Fingolfin. Fingolfin était le deuxième fils de Finwë, le Haut-Roi des Noldor en Valinor. Après la mort de Fëanor, le titre de Haut-Roi des Noldor en Terre du Milieu fut donné à Fingolfin et ses descendants : Fingon et Turgon de Gondolin. Fingolfin est l'un des rares à avoir osé défier Morgoth en combat singulier, mais mourut durant le combat.;;;;;x
DYN3_DESC;With a score of $SCORE$, you$FAILED$ surpass the house of Finarfin. Finarfin was the last child of Finwë, the High King of the Noldor in Valinor. Although Finarfin didn't follow his brother Fëanor in his war against Morgoth until the War of Wrath, his children Finrod, Angrod, Aegnor and Galadriel went to the Middle-Earth with the Flight of the Noldor. Finrod ruled the mighty kingdom of Nargothrond in the First Age, befriending the Edain and vassalizing his kin Aegnor and Angrod in Dorthonion. Galadriel later ruled the forest of Lothlorien with her husband Celeborn in the Third Age, and bore one of the Three Elven Rings. Galadriel was the stepmother of Elrond, and thus the grandmother of Arwen Undomiel.;Avec un score de $SCORE$, vous surpassez la Maison de Finarfin. Finarfin est le dernier des enfants de Finwë, le Haut-Roi des Noldor en Valinor. Si Finarfin n'a pas suivi son frère Fëanor dans sa guerre contre Morgoth, ses enfants Finrod, Angrod, Aegnor et Galadriel partirent à l'Est. Galadriel règnera plus tard sur la forêt de Lothlorien, en compagnie de son époux Celeborn, et possède l'un des Trois Anneaux des Elfes : Nenya. Galadriel sera également la belle-mère d'Elrond, et donc la grand-mère d'Arwen Undomiel. Ereinion Gil-Galad, le dernier Haut-Roi des Noldor en Terre du Milieu, était un membre de cette dynastie, en tant que petit-fils d'Angrod.;;;;;x
DYN4_DESC;With a score of $SCORE$, you$FAILED$ surpass the house of Ingwë; Ingwë, the lord of the Vanyar, was reckoned in Aman as the High King of all the Elves. Ruling from Tirion in Valinor over the golden-haired High Elves, he remained in Aman from the time of the Great Journey until, presumably, the Fourth Age and beyond. His son, Ingwion, led the Host of Valinor alongside Finarfin in the War of Wrath, overthrowing Morgoth and returning him to Aman in chains.;;;;;;
DYN5_DESC;With a score of $SCORE$, you$FAILED$ surpass the House of Durin. Durin the Deathless was the most famous of the Seven Fathers of the Dwarves, who awoke before any of the others on Mount Gundabad. He founded the clan of the Longbeards, builders of the largest and most powerful city of the Dwarves: Khazad-Dum. The Heirs of Durin were later the most powerful of the Dwarf-lords in Middle-Earth, and were among the only ones able to gather the seven clans around them for unified purpose.;Avec un score de $SCORE$, vous surpassez la Maison de Durin. Durin Trompe-la-Mort est l'un des Sept Pères des Nains, et s'éveilla en même temps que les Elfes, sur le Mont Gundabad. Il fonda le clan des Longues-Barbes, qui fondèrent les plus grandes et puissantes cités des Nains : Khazad-Dûm et Erebor. Les Héritiers de Durin sont les plus puissants des Seigneurs Nains, et sont parmi les seuls capables de rassembler les sept clans autour d'eux. ;;;;;x
DYN6_DESC;With a score of $SCORE$, you$FAILED$ surpass the House of Dwálin. The Father of the Broadbeams awoke with Úri in Dolmed in the early days of the world, founding the clan of the Dwarves of Belegost, the northern of the two great Dwarf-realms in Beleriand. The kings of Belegost played important roles in the events of the First Age, lending their knowledge and skills in craft to the elves and marching against Morgoth. Their greatest king, Azaghâl, renowned for wounding Glaurung the Father of Dragons, was slain in the Nirnaeth Arnoediad. Belegost was ruined in the War of Wrath, but the Broadbeams survived to rule lesser realms in subsequent ages.;;;;;;;
DYN7_DESC;With a score of $SCORE$, you$FAILED$ surpass the House of Elwë. Elwë, known later as Elu Thingol, was born by the waters of Cuiviénen during the years of the elves' awakening, and became a great leader of the Teleri tribe. After falling in love with the maia Melian in the woods of Nan Elmoth, Thingol's people elected to remain behind with him in the forests of Eglador rather than leaving for Aman as the folk of Olwë did. Many thousands of years later, Thingol ruled a mighty realm from his hidden capital in Menegroth, the Thousand Caves delved for Thingol by the hands of the dwarves. Shielded from discovery by Melian's veil of enchantment and defended by his Marchwardens, Thingol was slain through treachery. His realm was destroyed by the Sons of Fëanor, but his people, the Sindar, lived on.;;;;;;;
DYN8_DESC;With a score of $SCORE$, you$FAILED$ surpass the House of Úri. The Father of the Firebeards awoke with the father of the Broadbeams in Dolmed, going south to found the kingdom of Nogrod. Nogrod was one of the greatest of all Dwarf-realms, home to the famed smiths Gamil Zirak and Telchar and the accursed king Naugladur. The dwarves of Nogrod were instrumental in the destruction of Doriath near the end of the First Age, bringing the Dwarves of the blue mountains into conflict with Ents and the Green-elves of Lindon. Nogrod was destroyed during the War of Wrath, but the Firebeards lived on to rule lesser realms in the later ages of Middle-Earth.;;;;;;;
DYN9_DESC;With a score of $SCORE$, you$FAILED$ surpass the house of Nowë. Nowë Cirdan was a shepard to the Sindar for many thousands of years. He accompanied Elu Thingol on the Great Journey from the place of awakening, became lord of the Falathrim during the First Age, and would wear one of the Three Elven Rings before giving it to Gandalf. The shipwright of the elven vessels, he lived to rule several great realms in Brithombar, Sirion, and Mithlond, and became one of the few elves to enter the final stage of life, growing a beard.;Avec un score de $SCORE$, vous surpassez la Maison de Cirdan. Cirdan est l'un des plus vieux elfes vivant sur la Terre-du-Milieu. Seigneur des Falathrim durant le Premier Âge, il porte l'un des Trois Anneaux des Elfes avant d'en faire cadeau à Gandalf : Narya. Il est le charpentier des navires elfes, résidant à Mithlond, les Havres Gris, et est l'un des rares elfes à avoir une barbe.;;;;;x
DYN10_DESC;With a score of $SCORE$, you$FAILED$ surpass the house of Olwë. The white-haired Olwë was the younger brother of Elu Thingol, serving together as the lords of the Teleri. After the Teleri were sundered into those of Middle-Earth and those in Aman, Olwë became the king of those in the West, named the Falmari. Crafting great fleets and cities on the isle of Tol Eressëa, his seat of power was at the swan-haven Alqualondë. He resisted Fëanor's theft of the white ships, and his people were thus the victims of the First Kinslaying. Afterwards Olwë refused to aid the Noldor in the war of wrath, but continued to rule in Valinor for millenia afterwards.;;;;;;;
DYN11_DESC;With a score of $SCORE$, you$FAILED$ surpass the house of Hador. The host of Marach was the third of the Edain to enter Beleriand, where they settled lands in southern Estolad and around Ivirin and Amon Darthir. A descendant of Marach named Hador eventually settled in Dor-lómin as a vassal to Fingolfin, where a new realm of elf-friends helped bolster the Noldorin effort against Morgoth. The great firstborn heroes Húrin, Túrin, and Tuor all descended from the line of Hador. Húrin's host fought valliantly in the Dagor Bragollach, his son Túrin became an infamous outlaw, lord of Nargothrond, and dragon-slayer, and Túrin's nephew Tuor became a high lord of Gondolin and progenitor of the kings of Númenor.;;;;;;;
DYN12_DESC;With a score of $SCORE$, you$FAILED$ surpass the house of Bëor. The folk of Bëor were the oldest and most powerful of the Edain, first to settle in Estolad and first to ally themselves with the Eldar. Bëor himself was the first secondborn to meet one of the Eldar when he became friends with Finrod Felagund, and his descendant Beren Erchamion was the first mortal man to wed an elf. The Realm of of Bëorlings encompassed northern Estolad, eastern Dorthonion, and a part of the Marches of Maedhros, wherein the lords of the house of Bëor served the house of Fëanor faithfully until their destruction in the Nirnaeth Arnoediad.;;;;;;;
DYN13_DESC;With a score of $SCORE$, you$FAILED$ surpass the house of Haldad. The Halethrim were the second host of Edain to enter Beleriand from the East, and were beleaguered from the onset. Their Lord Haldad was slain in Thargelion by orkish raiders, leaving the chiefdom to his daughter Haleth, who led her people in battle across Beleriand to the forest of Brethil. In Brethil she reached an accord with King Thingol of Doriath, and guarded the fords of Brithiach in exchange for the right to settle on the hill of Amon Obel.  For over a century, the Halethrim kept a watch upon the crossings of Brethil until kinstrife and the War of Wrath drove them hence. The folk of Haleth survived the drowning of Beleriand, and their descendants peopled lands in Eriador into the Fourth Age.;;;;;;
