#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
avariroyalguard;Avarin Royal Guard;;;;;;;;;;;;;x
avarihousearchers;Avarin Horse Archers;;;;;;;;;;;;;x
avaritribalguard;Avarin Tribal Guard;;;;;;;;;;;;;x
avarishadowwarriors;Shadow Warriors;;;;;;;;;;;;;x
sindarroyalguard;Sindar Royal Guard;;;;;;;;;;;;;x
greyphalanx;Grey Phalanx;;;;;;;;;;;;;x
sindarveteranrangers;Ranger Veterans;;;;;;;;;;;;;x
snowelfreavers;Snow-Elf Reavers;;;;;;;;;;;;;x
mithrimriders;Mithrim Riders;;;;;;;;;;;;x
realmguard;Doriathrim Realm Guard;;;;;;;;;;;;x
forsakenknights;Forsaken Knights;;;;;;;;;;;;x
eglathcompanions;Eglath Companions;;;;;;;;;;;;x
dwarven_dum_garal;Dûm-garal;;;;;;;;;;;;;x
dwarven_gehil_vindhur;Gehil-vindhur;;;;;;;;;;;;;x
dwarven_tharkarul;Tharkarul;;;;;;;;;;;;;x
dwarven_huval_vindhur;Huval-Vindhur;;;;;;;;;;;;;x
dwarvengrimhammers;Grimhammers;;;;;;;;;;;;;x
dwarvengatewardens;Gate-Warden Guard;;;;;;;;;;;;;x
dwarvenphalanx;Dwarven Phalanx;;;;;;;;;;;;;x
noldorroyalguard;Noldorin Royal Guard;;;;;;;;;;;;;x
feanorianretainers;Fëanorian Retainers;;;;;;;;;;;;;x
noldorknights;Noldorin Knights;;;;;;;;;;;;;x
noldoreliteguard;Noldor Elite Guard;;;;;;;;;;;;;x
noldorhorsearchers;Noldor Horse Archers;;;;;;;;;;;;;x
orcshoerk;Hoerk;;;;;;;;;;;;;x
orcspikes;Orc Pikemen;;;;;;;;;;;;;x
orcsarchers;Orc Archers;;;;;;;;;;;;;x
wargriders;Elite Warg Riders;;;;;;;;;;;;;x
mumakil;Mûmakil;;;;;;;;;;;;;x
trollguard;Troll-Guard;;;;;;;;;;;;;x
boldogguard;Orc-Demon Guard;;;;;;;;;;;;;x
werewolfguard;Werewolf Guard;;;;;;;;;;;;;x
vampireguard;Vampire Guard;;;;;;;;;;;;;x
drakebrood;Drake Brood;;;;;;;;;;;;;x
flying_drakebrood;Winged Drake Brood;;;;;;;;;;;;;x
great_eagles;Great Eagles;;;;;;;;;;;;;x
ents;Ents;;;;;;;;;;;;;x
brethilwoodmen;Woodmen Axebearers;;;;;;;;;;;;;x
birchwoodwardens;Birchwood Wardens;;;;;;;;;;;;;x
outlawraiders;Outlaw Raiders;;;;;;;;;;;;;x
estoladrimriders;Riders of Estolad;;;;;;;;;;;;;x
HORDE_RETTYPE_ARCHERS;Archer Band;;;;;;;;;;;;x
HORDE_RETTYPE_INF1;Light Infantry Band;;;;;;;;;;;;x
HORDE_RETTYPE_INF2;Infantry Band I;;;;;;;;;;;;x
HORDE_RETTYPE_INF3;Infantry Band II;;;;;;;;;;;;x
HORDE_RETTYPE_INF4;Infantry Band III;;;;;;;;;;;;x
HORDE_RETTYPE_INF5;Elite Infantry Band I;;;;;;;;;;;;x
HORDE_RETTYPE_INF6;Elite Infantry Band II;;;;;;;;;;;;x
HORDE_RETTYPE_INF7;Heavy Infantry Band;;;;;;;;;;;;x
HORDE_RETTYPE_CAV1;Light Cavalry Band;;;;;;;;;;;;x
HORDE_RETTYPE_CAV2;Mounted Skirmisher Band I;;;;;;;;;;;;x
HORDE_RETTYPE_CAV3;Mounted Skirmisher Band II;;;;;;;;;;;;x
HORDE_RETTYPE_CAV4;Mounted Skirmisher Band III;;;;;;;;;;;;x
HORDE_RETTYPE_CAV5;Cavalry Band I;;;;;;;;;;;;x
HORDE_RETTYPE_CAV6;Cavalry Band II;;;;;;;;;;;;x
HORDE_RETTYPE_CAV7;Horse Archer Band;;;;;;;;;;;;x
