#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
monster_infantry;Monster Infantry;;;;;;;;;;;;;x
monster_infantry_offensive;Monster Infantry Offensive;Attaque des ;;;;;;;;;;;;x
monster_infantry_defensive;Monster Infantry Defensive;Défense des ;;;;;;;;;;;;x
monster_infantry_morale;Monster Infantry Morale;Moral des ;;;;;;;;;;;;x
monster_infantry_modifier;Combat Modifier boost to Monster Infantry: $PERC$;Bonus de combat pour les  $PERC$;;;;;;;;;;;;x
monster_cavalry;Monster Cavalry;;;;;;;;;;;;;x
monster_cavalry_offensive;Monster Cavalry Offensive;Attaque des ;;;;;;;;;;;;x
monster_cavalry_defensive;Monster Cavalry Defensive;Défense des ;;;;;;;;;;;;x
monster_cavalry_morale;Monster Cavalry Morale;Moral des ;;;;;;;;;;;;x
monster_cavalry_modifier;Combat Modifier boost to Monster Cavalry: $PERC$;Bonus de combat pour les  $PERC$;;;;;;;;;;;;x
flying_monsters;Flying Monsters;;;;;;;;;;;;;x
flying_monsters_offensive;Flying Monster Offensive;Attaque des ;;;;;;;;;;;;x
flying_monsters_defensive;Flying Monster Defensive;Défense des ;;;;;;;;;;;;x
flying_monsters_morale;Flying Monster Morale;Moral des ;;;;;;;;;;;;x
flying_monsters_modifier;Combat Modifier boost to Flying Monsters: $PERC$;Bonus de combat pour les  $PERC$;;;;;;;;;;;;x
