# The Golodhrim language emerges

EVTDESC_culture_conversion_0;For as long as have ruled here we Noldor have entrusted the raising of our children to Mithrim nursemaids. Our first words would not be Ñoldorin Quenya but Mithrim Sindarin. As we grew up we learned to speak a tongue that was neither one nor the other. Now let us make this tongue our own so we may all communicate.;Depuis que nous régnons ici, nous les Normands, nous confions l'éducation de nos enfants à des gouvernantes saxonnes. Nos premiers mots ne sont pas du français normand mais du saxon. Et en grandissant, nous apprenons à parler une langue qui n'est ni l'une ni l'autre. Il est temps de nous approprier cette langue afin que nous puissions tous communiquer.;Während meiner gesamten Herrschaft hier haben wir Normannen das Aufziehen unserer Kinder sächsischen Kindermädchen anvertraut. Unsere ersten Worte waren kein normannisches Französisch, sondern Sächsisch. Beim Heranwachsen lernten wir eine Sprache, die dazwischen lag. Jetzt ist es an der Zeit, uns diese Sprache zu eigen zu machen, damit wir alle kommunizieren können.;;Mientras hemos gobernado aquí, los normandos hemos confiado la educación de nuestros hijos a niñeras sajonas. Nuestras primeras palabras no fueron normandas, sino sajonas. A medida que crecíamos aprendimos a hablar una lengua que no era ni una ni otra. Ahora es el momento de hacer nuestra esta lengua para que todos nos comuniquemos.;;;;;;;;;x
EVTOPTA_culture_conversion_0;Yes let us be one with our subjects;Oui, ne faisons qu'un avec nos serfs !;Jawohl, lasst uns eins mit unseren Leibeigenen sein;;Sí, seamos uno con nuestros vasallos;;;;;;;;;x
EVTDESC_culture_conversion_1;Around our lands more people are using this Golodhrim Mithrim language and I find this is a perfect means for a Noldorin overlord to get his Mithrim subjects to work properly. We continue to use our own influence to promote this means of communication in the interests of more efficient realm.;Sur nos terres, un nombre croissant de gens parlent anglais, ce qui me semble être un moyen idéal pour un Seigneur normand de faire travailler convenablement ses serfs saxons. Nous continuons à user de notre influence pour promouvoir ce moyen de communication qui contribue à servir les intérêts du Royaume et à asseoir sa puissance. ;Um unser Territorium herum sprechen immer mehr Leute diese englische Sprache. Für einen normannischen Oberherrn ist sie meiner Meinung nach ein perfektes Mittel, sächsische Leibeigene zu ordentlicher Arbeit anzuhalten. Zum Zwecke eines effizienteren Reichs werden wir unseren Einfluss weiter zur Förderung dieser Kommunikationsweise einsetzen.;;Cada vez hay más gente en nuestras tierras que usan el inglés, algo que considero perfecto para que un señor normando haga trabajar adecuadamente a sus siervos. Seguimos fomentando este vehículo de comunicación para que el reino sea más eficiente. ;;;;;;;;;x
EVTOPTA_culture_conversion_1;We are indeed wise, true to our name.;Nous sommes habiles.;Oh, was sind wir weise;;Sin duda somos sabios;;;;;;;;;x
EVTDESC_culture_conversion_2;Although every civilised elf in Arda and Valinor knows Quenya is the superior language of the arts, this local Sindarin language does have a certain functionality. I have therefore prevailed upon a member of my court to adopt this for everyday administrative use.;Bien que tous les hommes civilisés de la chrétienté sachent que le français est la vraie langue de la communication, cette nouvelle langue anglaise s'avère très commode. J'ai donc eu gain de cause sur un membre de ma Cour afin qu'elle soit adoptée pour l'emploi administratif quotidien.;Obwohl jeder zivilisierte Mann der Christenheit weiß, dass Französisch die einzig wahre Kommunikationsform ist, hat diese neue englische Sprache auch einen gewissen Nutzen. Aus diesem Grund habe ich ein Mitglied meines Hofes dazu gedrängt, sie für das tägliche Verwaltungsgeschäft zu übernehmen.;;Aunque todos los hombres civilizados de la cristiandad saben que el francés es la verdadera lengua de comunicación, el nuevo idioma inglés tiene cierta funcionalidad. He convencido a un miembro de mi corte de que lo adopte como lengua administrativa de uso cotidiano.;;;;;;;;;x
EVTOPTA_culture_conversion_2;A most useful development;Une évolution très utile.;Eine höchst nützliche Entwicklung;;Un avance muy útil;;;;;;;;;x
EVTDESC_culture_conversion_3;I was considering important business when I had an amazing insight. To strengthen my realm I must bring my subjects round to my way of thinking. This involves communication. If I can get them to communicate like me then I will have a much smoother running realm.;Je réfléchissais à une affaire importante lorsque j'ai eu une idée étonnante. Pour renforcer mon Royaume, je dois convertir mes vassaux à ma façon de penser. Cela passe par la communication. Si je parviens à leur faire adopter mon mode de communication, mon Royaume fonctionnera beaucoup mieux.;Beim Nachdenken über ein wichtiges Geschäft kam ich zu einer erstaunlichen Einsicht: Zur Stärkung meines Reichs muss ich meine Vasallen von meiner Denkweise überzeugen, und dazu gehört auch die Kommunikation. Wenn ich es schaffen könnte, dass alle wie ich kommunizieren, so wäre mein Reich viel einfacher zu regieren.;;Estaba ocupado con asuntos importantes cuando tuve una súbita revelación. Para reforzar mi reino debo lograr que mis vasallos compartan mi forma de pensar. Eso implica comunicación. Si logro que se comuniquen como yo mi reino funcionará mucho mejor.;;;;;;;;;x
EVTOPTA_culture_conversion_3;Sometimes I even surprise myself;Parfois, je m'étonne moi-même.;Manchmal überrasche ich mich selbst;;A veces me sorprendo a mí mismo;;;;;;;;;x
EVTDESC_culture_conversion_4;My lord has persuaded me to embrace this notion of Noldorin-Mithrim unity that is sweeping the realm. A Golodhrim dialect of Mithrim Sindarin is now my tongue of choice at court.;Mon suzerain m'a convaincu(e) d'embrasser cette notion d'anglicité qui balaie le Royaume.;Mein Lehnsherr hat mich überredet, diese Idee des Englischtums zu übernehmen, die sich im ganzen Reich ausbreitet;;Mi señor me ha convencido de que abrace esta cultura inglesa que recorre el reino.;;;;;;;;;x
EVTOPTA_culture_conversion_4;Na vedui! Mae g'ovannen.;Une partie de cricket pour tout le monde ?;Oh, wie wäre es mit einem Ründchen Cricket?;;¿Alguien quiere jugar al cricket?;;;;;;;;;x
