#CODE;ENGLISH;FRENCH;GERMAN;SPANISH;x
#Good/Evil
good_side;Guardian of Middle-Earth;Gardien de la Terre du Milieu;;;;;;;;;;;;x
good_side_desc;This character is part of and working to aid the free peoples of Middle-Earth.;Ce personnage fait tout son possible pour aider les Peuples Libres de la Terre du Milieu.;;;;;;;;;;;;x
evil_side;Corrupted by Darkness;Corrompu par les Ténèbres;;;;;;;;;;;;x
evil_side_desc;This character has been corrupted by the darkness of Morgoth.;Ce personnage a été corrompu par les mensonges de Sauron.;;;;;;;;;;;;x

#Pilgrimages/Journeys/Awayness
journey_to_valinor;Journey to Valinor;A Navigué vers Valinor;;;;;x
journey_to_valinor_desc;This character left Middle-Earth and sailed to Valinor, the realm of the Valar in Aman, also known as the Undying Lands.;Ce personnage a quitté la Terre du Milieu pour rejoindre Valinor, le royaume des Valar en Aman, connu également sous le nom de Terres Immortelles.;;;;;x
sailed_west;In Valinor;;;;;;x
sailed_west_desc;This character resides in Valinor, the realm of the Valar in Aman.;;;;;;x

#First Age Quests
in_helcaraxe;Crossing Helcaraxë;;;;;;x
in_helcaraxe_desc;This character is crossing Helcaraxë, the Grinding Ice, on the way to Middle-Earth.;;;;;;x
gundabad_pilgrimage;At Gundabad;;;;;;x
gundabad_pilgrimage_desc;This character is visiting Gundabad, the awakening place of Durin.;;;;;;x
at_khazad_dum;at Khazad-Dum;;;;;;x
at_khazad_dum_desc;This character is visiting Khazad-Dum, the great Halls of Durin.;;;;;;x
at_helcarth;at Helcarth;;;;;;x
at_helcarth_desc;This character is visiting Helcarth, the land of awakening, in search of the waters of Cuiviénen.;;;;;;x
eastern_trade_expedition;On Trade Expedition;;;;;;x
eastern_trade_expedition_desc;This character seeks riches in the dwarf realms east of the Blue Mountains.;;;;;;x
