#CODE;ENGLISH;FRENCH;GERMAN;SPANISH;ITALIAN;;x

#Deck the Halls
deck_the_halls;Go Caroling;;;;;;;;;;;;;x
deck_the_halls_desc;You can gather your court and vassals to head out and bring Merry Christmas to the Realm.;;;;;;;;;;;;;x
join_hall_deck_small;Going Caroling;;;;;;;;;;;;;x
join_hall_deck_med;Going Caroling;;;;;;;;;;;;;x
join_hall_deck_large;Going Caroling;;;;;;;;;;;;;x
EVTDESCdeck_halls_events.1;You are nearly ready for your Merry caroling through the realm, save for invites and provisions. How many are you wishing to join you in the endeavor?;;;;;;;;;;;;;x
EVTOPTAdeck_halls_events.1;A Small Gathering;;;;;;;;;;;;;x
EVTOPTBdeck_halls_events.1;A Chorus;;;;;;;;;;;;;x
EVTOPTCdeck_halls_events.1;A Full Choir;;;;;;;;;;;;;x
EVTDESCdeck_halls_events.11;[From.GetBestName] has called upon you to join in a Great Caroling through the Realm.;;;;;;;;;;;;;x
EVTOPTAdeck_halls_events.11;Very Well, I'll Join;;;;;;;;;;;;;x
EVTOPTBdeck_halls_events.11;Bah Humbug;;;;;;;;;;;;;x
EVTDESCdeck_halls_events.12;[From.GetBestName] has declined your call for a Caroling.;;;;;;;;;;;;;x
EVTOPTAdeck_halls_events.12;Disappointing;;;;;;;;;;;;;x
EVTDESCAdeck_halls_events.10;Your vassals who joined you for this great caroling have decided to end the festivities with a snowball fight followed by a round of hot mead at your provision. It seems a memorable event for everyone involved.;;;;;;;;;;;;;x
EVTDESCBdeck_halls_events.10;You and all the others who join [FromFrom.GetBestName] have a joyous time on the Caroling and as the festivities draw to a close, someone hurls a snowball that hits you in the face. Soon everyone joins in followed by a round of hot mead from [FromFrom.GetBestName]'s stock.;;;;;;;;;;;;;x
EVTOPTAdeck_halls_events.10;It was fun;;;;;;;;;;;;;x
EVTOPTBdeck_halls_events.10;I had a great time;;;;;;;;;;;;;x
EVTOPTCdeck_halls_events.10;Incredible!;;;;;;;;;;;;;x
EVTOPTDdeck_halls_events.10;My face still hurts from the snowball...;;;;;;;;;;;;;x
EVTOPTEdeck_halls_events.10;I'm glad!;;;;;;;;;;;;;x
