#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
##################
#	Titles
##################
k_breeding_pits;Breeding Pits;;;;;;;;;;;;;x
k_breeding_pits_adj;Spawnmare;;;;;;;;;;;;;x
SPAWNMARE;Spawnmare;;;;;;;;;;;;;x
SPAWNMARE_FOA;The Spawnmare;;;;;;;;;;;;;x
##################
#	Decisions
##################
visit_breeding_pits;Visit the Pits;;;;;;;;;;;;;x
visit_breeding_pits_desc;Make a journey to the pits to spread your seed;;;;;;;;;;;;;x
pull_from_pits;Pull from Pits;;;;;;;;;;;;;x
pull_from_pits_desc;Pull an Orc from the pits;;;;;;;;;;;;;x
ship_to_pits;Ship to Pits;;;;;;;;;;;;;x
ship_to_pits_desc;You can ship [Root.GetFirstName] to the Breeding Pits to be breed with;;;;;;;;;;;;;x
##################
#	Events
##################
EVTDESCAmep_breeding_events.2;You journey to the Breeding Pits and spy [mare.GetFirstName] among the women there. You grab her up and take her among the mob writhing about the pit. She bites your shoulder as you gyrate, blood spurts forth from the wound and you finish.;;;;;;;;;;;;;x
EVTDESCBmep_breeding_events.2;You journey to the Breeding Pits and spy and exotic form among the females, [mare.GetFirstName] appears to be of the [mare.Culture.GetName]. As you take her roughly, she screams and lashes at you. But you overpower her, pushing her face into the dirt, you begin to thrust. The dirt is turned to mud as you finish and she curls up into a ball.;;;;;;;;;;;;;x
EVTOPTAmep_breeding_events.2;RAWR;;;;;;;;;;;;;x
EVTDESCmep_breeding_events.121;[From.GetFirstName] is fresh from the Pits and eager to join your horde.;;;;;;;;;;;;;x
EVTOPTAmep_breeding_events.121;Grr;;;;;;;;;;;;;x
