#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESCmep_childhood_events.1;While running through the halls of the castle, you find an open door and decide to investigate. As you enter you see one of the courtiers in a state of nature.;;;;;;;;;;;;;x
EVTOPTAmep_childhood_events.1;Oooo;;;;;;;;;;;;;x
EVTOPTBmep_childhood_events.1;Icky;;;;;;;;;;;;;x
EVTDESCAmep_childhood_events.11;You hear a screech from the hall. Racing towards it, you find [From.GetFirstName] and a courtier in the nude. Fascination plain on [From.GetHerHis] face.;;;;;;;;;;;;;x
EVTDESCBmep_childhood_events.11;You hear a screech from the hall. Racing towards it, you find [From.GetFirstName] and a courtier in the nude. [From.GetHerHis] face is averted and [From.GetSheHe] is clearly uncomfortable.;;;;;;;;;;;;;x
EVTOPTAmep_childhood_events.11;Let's go;;;;;;;;;;;;;x
EVTOPTBmep_childhood_events.11;That's enough of that!;;;;;;;;;;;;;x
EVTOPTCmep_childhood_events.11;Stop that!;;;;;;;;;;;;;x
EVTDESCmep_childhood_events.2;You enter the kitchen to find a magnificent layout of foods, as you look over it your mouth begins to water at the thought of it.;;;;;;;;;;;;;x
EVTOPTAmep_childhood_events.2;FOOD!;;;;;;;;;;;;;x
EVTOPTBmep_childhood_events.2;I better not.;;;;;;;;;;;;;x
EVTDESCAmep_childhood_events.21;You find [From.GetFirstName] in the kitchen, [From.GetHerHis] face covered in fat and cream.;;;;;;;;;;;;;x
EVTDESCBmep_childhood_events.21;You find [From.GetFirstName] in the kitchen, [From.GetHerHis] eyes fixed on the food platters.;;;;;;;;;;;;;x
EVTOPTAmep_childhood_events.21;We've got lessons soon.;;;;;;;;;;;;;x
EVTOPTBmep_childhood_events.21;Stop eating, right now!;;;;;;;;;;;;;x
EVTOPTCmep_childhood_events.21;Have some.;;;;;;;;;;;;;x
EVTDESCmep_childhood_events.3;While walking through the castle halls, you find a ring on the ground and slip it on your finger. After court later one of the courtiers approaches you about it.;;;;;;;;;;;;;x
EVTOPTAmep_childhood_events.3;No, this is mine.;;;;;;;;;;;;;x
EVTOPTBmep_childhood_events.3;Oh yes, I found it. Here.;;;;;;;;;;;;;x
EVTDESCAmep_childhood_events.31;You happen upon [From.GetFirstName] in an argument with a courtier, the latter is raging about a stolen ring.;;;;;;;;;;;;;x
EVTDESCBmep_childhood_events.31;You happen upon [From.GetFirstName] who is giving a ring to one of the courtiers.;;;;;;;;;;;;;x
EVTOPTAmep_childhood_events.31;Hurry up, we need to begin today's lesson.;;;;;;;;;;;;;x
EVTOPTBmep_childhood_events.31;Well, give it back.;;;;;;;;;;;;;x
EVTOPTCmep_childhood_events.31;Take it back, keep what's yours.;;;;;;;;;;;;;x
EVTDESCmep_childhood_events.4;The dawn's light just barely cracking in the east sees you awake much earlier than usual.;;;;;;;;;;;;;x
EVTOPTAmep_childhood_events.4;Moorre Sleep...;;;;;;;;;;;;;x
EVTOPTBmep_childhood_events.4;Perfect chance to study!;;;;;;;;;;;;;x
EVTDESCAmep_childhood_events.41;Morning's business sees you knock at [From.GetFirstName]'s door then enter. You find [From.GetHerHim] asleep in bed.;;;;;;;;;;;;;x
EVTDESCBmep_childhood_events.41;Morning's business sees you knock at [From.GetFirsName]'s door, then enter. There you find [From.GetHerHim] at the table, today's books open.;;;;;;;;;;;;;x
EVTOPTAmep_childhood_events.41;Lesson will begin shortly.;;;;;;;;;;;;;x
EVTOPTBmep_childhood_events.41;Out of Bed!;;;;;;;;;;;;;x
EVTOPTCmep_childhood_events.41;You can go back to bed.;;;;;;;;;;;;;x
EVTDESCmep_childhood_events.5;While in court one day, [Liege.GetFirstName] announces that one of  the courtiers will be receiving a prestigious new title.;;;;;;;;;;;;;x
EVTOPTAmep_childhood_events.5;I want a title too!;;;;;;;;;;;;;x
EVTOPTBmep_childhood_events.5;Good for them,;;;;;;;;;;;;;x
EVTDESCAmep_childhood_events.51;You find [From.GetFirstName] is complaining loudly and often about not having an honorific.;;;;;;;;;;;;;x
EVTDESCBmep_childhood_events.51;After a recent court meeting, [From.GetFirstName] is speaking carefreely with a recently honored opposition courtier.;;;;;;;;;;;;;x
EVTOPTAmep_childhood_events.51;Alright.;;;;;;;;;;;;;x
EVTOPTBmep_childhood_events.51;You need to move past it.;;;;;;;;;;;;;x
EVTOPTCmep_childhood_events.51;You need to avoid them.;;;;;;;;;;;;;x
EVTDESCmep_childhood_events.6;A;;;;;;;;;;;;;x
EVTOPTAmep_childhood_events.6;A;;;;;;;;;;;;;x
EVTOPTBmep_childhood_events.6;B;;;;;;;;;;;;;x
EVTDESCAmep_childhood_events.61;A;;;;;;;;;;;;;x
EVTDESCBmep_childhood_events.61;B;;;;;;;;;;;;;x
EVTOPTAmep_childhood_events.61;A;;;;;;;;;;;;;x
EVTOPTBmep_childhood_events.61;B;;;;;;;;;;;;;x
EVTOPTCmep_childhood_events.61;C;;;;;;;;;;;;;x
EVTDESCmep_childhood_events.7;A;;;;;;;;;;;;;x
EVTOPTAmep_childhood_events.7;A;;;;;;;;;;;;;x
EVTOPTBmep_childhood_events.7;B;;;;;;;;;;;;;x
EVTDESCAmep_childhood_events.71;A;;;;;;;;;;;;;x
EVTDESCBmep_childhood_events.71;B;;;;;;;;;;;;;x
EVTOPTAmep_childhood_events.71;A;;;;;;;;;;;;;x
EVTOPTBmep_childhood_events.71;B;;;;;;;;;;;;;x
EVTOPTCmep_childhood_events.71;C;;;;;;;;;;;;;x
EVTDESCmep_childhood_events.8;A;;;;;;;;;;;;;x
EVTOPTAmep_childhood_events.8;A;;;;;;;;;;;;;x
EVTOPTBmep_childhood_events.8;B;;;;;;;;;;;;;x
EVTDESCAmep_childhood_events.81;A;;;;;;;;;;;;;x
EVTDESCBmep_childhood_events.81;B;;;;;;;;;;;;;x
EVTOPTAmep_childhood_events.81;A;;;;;;;;;;;;;x
EVTOPTBmep_childhood_events.81;B;;;;;;;;;;;;;x
EVTOPTCmep_childhood_events.81;C;;;;;;;;;;;;;x
EVTDESCmep_childhood_events.9;A;;;;;;;;;;;;;x
EVTOPTAmep_childhood_events.9;A;;;;;;;;;;;;;x
EVTOPTBmep_childhood_events.9;B;;;;;;;;;;;;;x
EVTDESCAmep_childhood_events.91;A;;;;;;;;;;;;;x
EVTDESCBmep_childhood_events.91;B;;;;;;;;;;;;;x
EVTOPTAmep_childhood_events.91;A;;;;;;;;;;;;;x
EVTOPTBmep_childhood_events.91;B;;;;;;;;;;;;;x
EVTOPTCmep_childhood_events.91;C;;;;;;;;;;;;;x
EVTDESCmep_childhood_events.10;A;;;;;;;;;;;;;x
EVTOPTAmep_childhood_events.10;A;;;;;;;;;;;;;x
EVTOPTBmep_childhood_events.10;B;;;;;;;;;;;;;x
EVTDESCAmep_childhood_events.101;A;;;;;;;;;;;;;x
EVTDESCBmep_childhood_events.101;B;;;;;;;;;;;;;x
EVTOPTAmep_childhood_events.101;A;;;;;;;;;;;;;x
EVTOPTBmep_childhood_events.101;B;;;;;;;;;;;;;x
EVTOPTCmep_childhood_events.101;C;;;;;;;;;;;;;x
EVTDESCmep_childhood_events.12;A;;;;;;;;;;;;;x
EVTOPTAmep_childhood_events.12;A;;;;;;;;;;;;;x
EVTOPTBmep_childhood_events.12;B;;;;;;;;;;;;;x
EVTDESCAmep_childhood_events.121;A;;;;;;;;;;;;;x
