#CODE;ENGLISH;FRENCH;GERMAN;SPANISH;ITALIAN;;x
#Tooltips
COLONIZERTP;Colonization is available to Dukes, Kings, and Emperors without a liege, have at least 500 gold, and 1500 population in their capital. Mountain provinces can only be colonized by Orcs, Trolls, Dwarves, and Dragons. Dwarves and Dragons can only colonize Mountain provinces.;;;;;;;;;;;;;x
#Decision
clear_realm;Purge the Realm;;;;;;;;;;;;;x
clear_realm_desc;There are enemy populations in the realm, as liege-lord you can purge them.;;;;;;;;;;;;;x
start_colony;Colonize [Root.GetName];;;;;;;;;;;;;x
start_colony_desc;You can begin colonization efforts in [Root.GetName];;;;;;;;;;;;;x
MEP_cull;Culling;;;;;;;;;;;;;x
MEP_cull_desc;Cull unique character groups;;;;;;;;;;;;;x
MEP_cull_convert;Culling - Convert;;;;;;;;;;;;;x
MEP_cull_convert_desc;Convert Unique Culture Barons;;;;;;;;;;;;;x

#Events
EVTDESCcolonisation.1;Efforts at colonizing [Root.GetName] have failed, the region has returned to the wilderness.;;;;;;;;;;;;;x
EVTOPTAcolonisation.1;Damn;;;;;;;;;;;;;x
EVTDESCcolonisation.2;Efforts at colonizing [Root.GetName] have succeed, the realm now has a prosperous new region.;;;;;;;;;;;;;x
EVTOPTAcolonisation.2;Excellent;;;;;;;;;;;;;x
EVTDESCcolonisation.3;Word has spread of [Root.GetName] numerous new oppurtunies, the province has seen a increase in eager immigrants.;;;;;;;;;;;;;x
EVTOPTAcolonisation.3;Excellent;;;;;;;;;;;;;x
EVTDESCAcolonisation.41;Forces of Darkness have raided [From.GetName], thankfully local forces manage to repel them, resulting in minimal damage.;;;;;;;;;;;;;x
EVTDESCBcolonisation.41;Forces of Darkness have raided [From.GetName], thankfully local forces manage to repel them eventually, resulting in moderate damage.;;;;;;;;;;;;;x
EVTDESCCcolonisation.41;Forces of Darkness have raided [From.GetName], unfortunately local forces were overrun, resulting in severe damage.;;;;;;;;;;;;;x
EVTDESCDcolonisation.41;A group of Draut-flith have raided [From.GetName], thankfully local forces manage to repel them, resulting in minimal damage.;;;;;;;;;;;;;x
EVTDESCEcolonisation.41;A group of Draut-flith have raided [From.GetName], thankfully local forces manage to repel them eventually, resulting in moderate damage.;;;;;;;;;;;;;x
EVTDESCFcolonisation.41;A group of Draut-flith have raided [From.GetName], unfortunately local forces were overrun, resulting in severe damage.;;;;;;;;;;;;;x
EVTOPTAcolonisation.41;Damn them!;;;;;;;;;;;;;x
EVTDESCcolonisation.5;You have raised ires against opposing forces in the realm, your people now stand ready and willing to purge the realm.;;;;;;;;;;;;;x
EVTOPTAcolonisation.5;Begin the slaughter!;;;;;;;;;;;;;x
EVTDESCcolonisation.52;[From.GetName] has been the target of great slaughter and now stands cleansed of foreign flith, immigration has begun.;;;;;;;;;;;;;x
EVTOPTAcolonisation.52;Excellent;;;;;;;;;;;;;x
EVTDESCcolonisation.6;You have gained control of a province in the midst of a purge of your fellow [Root.Culture.GetName].;;;;;;;;;;;;;x
EVTOPTAcolonisation.6;End it now!;;;;;;;;;;;;;x
