#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
########################
#	Modifiers
########################
mod_boromirdeath;Boromir has Died;;;;;;;;;;;;;x

######################
#	Events
######################

	#Deaths
EVTTTLmep_flavor_events.11;Fall of Boromir;;;;;;;;;;;;;x
EVTDESCmep_flavor_events.11aragorn;You race through the woods towards the Horn blasts to find Boromir pinned with arrows amidst a litter of Orcish bodies. You hear him repeating, "I've failed you all" as you approach him. "It is over," he says, "the White City will fall.";;;;;;;;;;;;;x
EVTDESCAmep_flavor_events.11;[From.GetFirstName] has fallen, they will look for his coming from the White Tower, but he will not return. A strong blow has been struck, dashing the strength of Man.;;;;;;;;;;;;;x
EVTDESCBmep_flavor_events.11;The Forces of Sauron and Saruman have struck down the famed commander of Man, Boromir. The armies of Men and Elves are sure to reel from this blow. The Dark Lord Rises!;;;;;;;;;;;;;x
EVTOPTAmep_flavor_events.11;Be at peace, Son of Gondor;;;;;;;;;;;;;x
EVTOPTBmep_flavor_events.11;I swear to you I will not let the Great City fall. Nor our people fail.;;;;;;;;;;;;;x
EVTOPTCmep_flavor_events.11;It is a good day to Kill;;;;;;;;;;;;;x
#EVTOPTCmep_flavor_events.11;Mirdautas vras;;;;;;;;;;;;;x
EVTTTLmep_flavor_events.12;Death of Thorin;;;;;;;;;;;;;x
EVTDESCAmep_flavor_events.12;This is a grim day for the Dwarves.[From.GetTitledFirstName] led an assault that proved his strength as a leader. He struck out from the mountain, providing vital aid as the goblins threatened to overwhelm the Armies. He fought courageously, but, woefully, was struck down in the battle.;;;;;;;;;;;;;x
EVTDESCBmep_flavor_events.12;The foolish Dwarf-king, Thorin, has fallen to the forces of Dol Guldur after a failed sally from the mountain. The Elves and Man will no doubt soon fall as well.;;;;;;;;;;;;;x
EVTOPTAmep_flavor_events.12;He will be remembered as the greatest Warrior King of Durin's Folk.;;;;;;;;;;;;;x
EVTOPTBmep_flavor_events.12;I swear to you I will not let the Great City fall. Nor our people fail;;;;;;;;;;;;;x
EVTOPTCmep_flavor_events.12;Death to Men and Elfsons!;;;;;;;;;;;;;x

	#Battles
EVTTTLmep_flavor_events.21;Battle of Dagorlad;;;;;;;;;;;;;x
EVTDESCAmep_flavor_events.21;Elendil has lead the Allied armies of Men and Elves onto the marshy fields of Dagorlad in the hopes of ending the Reign of Sauron.;;;;;;;;;;;;;x
EVTDESCBmep_flavor_events.21;Sauron has moved to crush the forces of Men and Elves on the fields of Dagorlad. If he succeeds, no force will have the strength to stand against the Darkness.;;;;;;;;;;;;;x
EVTOPTAmep_flavor_events.21;We must drive back this Evil;;;;;;;;;;;;;x
EVTOPTBmep_flavor_events.21;Crush the Dogs!;;;;;;;;;;;;;x

	#Reclamations
EVTTTLmep_flavor_events.51;Osgiliath Reclaimed by Gondor;;;;;;;;;;;;;x
EVTDESCAmep_flavor_events.51;Osgiliath, the city that was once the jewel of our kingdom! A place of light, and beauty, and music. And so it shall be once more! Let the armies of Mordor know this: Never again will the land of our people fall into enemy hands! The city of Osgiliath, has been reclaimed!;;;;;;;;;;;;;x
EVTDESCBmep_flavor_events.51;The man-swine have retaken the ruins on the river, Osgiliath. Our hordes, Flowers in their blood, have scurried back across the river and scattered. But no doubt, it shall be retaken soon enough.;;;;;;;;;;;;;x
EVTOPTAmep_flavor_events.51;For Gondor!;;;;;;;;;;;;;x
EVTOPTBmep_flavor_events.51;A minor thing;;;;;;;;;;;;;x

	######################
	#	Special Flavor
	######################
	#Love or Ambition?
EVTTTLmep_flavor_events.3;Aragorn's Mettle Proven - Theoden;;;;;;;;;;;;;x
EVTDESCmep_flavor_events.3;The forces of Saruman are broken, Helm's Deep is held, and Rohan is saved. It is all thanks to Aragorn and the White Wizard. Perhaps he's the man to rule?;;;;;;;;;;;;;x
EVTOPTAmep_flavor_events.3;Aye, and with Eowyn at his side...;;;;;;;;;;;;;x
EVTOPTBmep_flavor_events.3;Neh, but still he's a good lad;;;;;;;;;;;;;x
EVTTTLmep_flavor_events.31;Love or Ambition? - Theoden;;;;;;;;;;;;;x
EVTDESCmep_flavor_events.31;King Theoden finds you after the battle and cheers you on the hard fought victory today. After a time, the conversation circles round to Eowyn and Rohan...;;;;;;;;;;;;;x
EVTOPTAmep_flavor_events.31;Such a match would be a Boon. "My Lady, Eowyn...";;;;;;;;;;;;;x
EVTOPTBmep_flavor_events.31;My heart belongs to another...;;;;;;;;;;;;;x
EVTTTLmep_flavor_events.4;Aragorn's Mettle Proven - Eowyn;;;;;;;;;;;;;x
EVTDESCmep_flavor_events.4;Aragorn has shown his Valor and skill and the people are safe. You watch him in camp today, seeing to the wounded. Can there by another more worthy of your heart?;;;;;;;;;;;;;x
EVTOPTAmep_flavor_events.4;No, only him... Is he hungry?;;;;;;;;;;;;;x
EVTOPTBmep_flavor_events.4;Away you silly thought;;;;;;;;;;;;;x
EVTTTLmep_flavor_events.41;Love or Ambition? - Eowyn;;;;;;;;;;;;;x
EVTDESCmep_flavor_events.41;As you tend to those wounded in battle and patrol the camp, Lady Eowyn approaches you with a pot of stew. She quickly strikes up conversation before beginning to fumble with her words.;;;;;;;;;;;;;x
EVTOPTAmep_flavor_events.41;"My Lady your beauty is beyond compare";;;;;;;;;;;;;x
EVTOPTBmep_flavor_events.41;"It is but a shadow and a thought that you love.";;;;;;;;;;;;;x
