#CODE;ENGLISH;FRENCH;GERMAN;SPANISH;ITALIAN;;x
#Ambitions
obj_ring_hunt_title;Hunt for the Ring;;;;;;;;;;;;;x
obj_ring_hunt_desc;The One Ring is lost, now is the time to find it.;;;;;;;;;;;;;x

#Events
EVTDESCring_hunt_events.0;You stop on the shore of the Anduin and take in its pristine image and laze about in it's melodic flow for but a moment. As you turn to leave, a glimmer from under the water catches your eye. You reach into the cool depths and lift out the shimmer. A ring.;;;;;;;;;;;;;x
EVTOPTAring_hunt_events.0;It is Precious.;;;;;;;;;;;;;x
EVTDESCring_hunt_events.1;Rumors of the of the Ring of Rings' location reach your court. You command the doors barred and gather your closest advisors for discussion. After arguments for and against its collection, you come to a decision.;;;;;;;;;;;;;x
EVTOPTAring_hunt_events.1;Only my most trusted can know.;;;;;;;;;;;;;x
EVTOPTBring_hunt_events.1;Send word to the whole Realm.;;;;;;;;;;;;;x
EVTOPTCring_hunt_events.1;The Nazgul shall find it.;;;;;;;;;;;;;x
EVTOPTDring_hunt_events.1;It will turn up, I'm sure.;;;;;;;;;;;;;x
EVTOPTEring_hunt_events.1;This is pointless.;;;;;;;;;;;;;x
EVTDESCAring_hunt_events.10;Your people have scoured the Realm from the Marshes to the Misties with naught to show for the years of search. Then one day you recieve word that A Ring has been discovered. You collect a steed and ride night and day. You arrive at dusk and finally take hold of A Simple Gold Ring.;;;;;;;;;;;;;x
EVTDESCBring_hunt_events.10;You've scoured the Realm from the Marshes to the Misties with naught to show. Then one day as you rest in the shade beside the Anduin, you catch sight of the sun's light reflecting from the nearby inlet. You cross over to it and enter the cool waters. Scrounging about in the muck, you take hold of the glistening Ring.,;;;;;;;;;;;;;x
EVTDESCCring_hunt_events.10;The Dark Lord bid you find the One ring. For the last few years you have scoured the Realms of men and elves in vainless search. But finally, in Bree, you discover it's location and race with allspeed to the Anduins. As you arrive, the Ring calls to you from its slumber and you soon have it in hand.;;;;;;;;;;;;;x
EVTOPTAring_hunt_events.10;It's mine!;;;;;;;;;;;;;x
EVTOPTBring_hunt_events.10;This proves my worth.;;;;;;;;;;;;;x
EVTOPTCring_hunt_events.10;It belongs to my Lord.;;;;;;;;;;;;;x
EVTDESCAring_hunt_events.101;Your people have scoured the Realm from the Marshes to the Misties with naught to show for the years of search. Then one day [From.GetFirstName] races into your court and falls down before your seat. "My Lord, I found it!" [From.GetSheHe] declares and presents to you a Ring.;;;;;;;;;;;;;x
EVTDESCBring_hunt_events.101;You long ago bid the Nine to scour the Realm from the Marshes to the Misties with naught to show for the years of search. Then one day you feel the Ring's presence, [From.GetFirstName] lands and kneels before you.[From.GetHerHis] hand unclaspes, "my Lord, the Ring returns.";;;;;;;;;;;;;x
EVTOPTAring_hunt_events.101;Finally, it's mine!;;;;;;;;;;;;;x
EVTOPTBring_hunt_events.101;Could this be the Ring of Power??.;;;;;;;;;;;;;x
EVTOPTCring_hunt_events.101;Finally, I am whole once again.;;;;;;;;;;;;;x
EVTDESCring_hunt_events.20;You steal away into the libraries of the White City, scouring ancient books for anything on the One Ring to aid you in your searches. One night in the lowest levels you uncover an ancient diary, faded runes on its cover reveal it as belonging to Isildur himself. Within its worn pages you find a description of the One Ring.;;;;;;;;;;;;;x
EVTOPTAring_hunt_events.20;This is what I needed.;;;;;;;;;;;;;x
EVTDESCring_hunt_events.21;You have gained extensive knowledge of the One Ring through your studies and finally you test your Ring. You pull the Ring from it's store and put it to flame.;;;;;;;;;;;;;x
EVTOPTAring_hunt_events.21;Finally, it's mine! I rule the Ring of Power.;;;;;;;;;;;;;x
EVTOPTBring_hunt_events.21;Damn, it's not the one.;;;;;;;;;;;;;x
