#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
####################
#	Traits
####################
trait_old_age;Old Age;;;;;;;;;;;;;x
trait_old_age_desc;This character is long-lived;;;;;;;;;;;;;x

################
#	Events
################
EVTTTLmep_on_actions_mt.11;Old Age Death;;;;;;;;;;;;;x
EVTDESCmep_on_actions_mt.11;You have lived a long life, but it has come to an end.;;;;;;;;;;;;;x
EVTOPTAmep_on_actions_mt.11;Oh Cruel World!;;;;;;;;;;;;;x
EVTTTLmep_on_actions_mt.12;Old Age Death;;;;;;;;;;;;;x
EVTDESCmep_on_actions_mt.12;You have lived a long life, but it has come to an end.;;;;;;;;;;;;;x
EVTOPTAmep_on_actions_mt.12;Oh Cruel World!;;;;;;;;;;;;;x
