#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
devil_worshipers_summon_familiar_cd_tooltip;§Y[Root.GetTitledFirstName]§! has not selected a familiar in the past 5 years\n;[Root.Get_Le_Title]§Y[Root.GetTitledFirstName]§! n'a pas choisi d'animal familier depuis 5 ans\n;§Y[Root.GetTitledFirstName]§! hat seit 5 Jahren keinen Vertrauten gewählt.\n;;§Y[Root.GetTitledFirstName]§! no ha elegido un espectro en 5 años.;;;;;;;;;x
devil_worshipers_summon_familiar;Summon Familiar;Invoquer un animal familier;Vertrauten beschwören;;Invocar espectro;;;;;;;;;x
the_devil_worshipers_tainted_touch_allow_tt;§Y[Root.GetTitledFirstName]§! is not already sick.;[Root.Get_Le_Title]§Y[Root.GetTitledFirstName]§! n'est pas déjà malade.;§Y[Root.GetTitledFirstName]§! ist noch nicht krank.;;§Y[Root.GetTitledFirstName]§! no tiene dolencias.;;;;;;;;;x
the_devil_worshipers_tainted_touch_tooltip;§Y[Root.GetTitledFirstName]§! mysteriously contracts a disease\n;[Root.Get_Le_Title]§Y[Root.GetTitledFirstName]§! tombe mystérieusement malade\n;§Y[Root.GetTitledFirstName]§! hat sich auf mysteriöse Weise eine Krankheit zugezogen.\n;;§Y[Root.GetTitledFirstName]§! contrae una enfermedad en extrañas circunstancias.\n;;;;;;;;;x
the_devil_worshipers_tainted_touch;Tainted Touch;Atteindre par le Mal;Unreine Berührung;;Toque viciado;;;;;;;;;x
the_devil_worshipers_tainted_touch_desc;§Y[From.GetTitledFirstName]§! can use [From.GetDWDarkMagic] to taint §Y[Root.GetTitledFirstName]'s§! health. This will cause severe discomfort and possibly even death.;[From.Get_Le_Title]§Y[From.GetTitledFirstName]§! peut utiliser [From.GetDWDarkMagic] pour détériorer la santé [Root.Get_du_Title]§Y[Root.GetTitledFirstName]§!. Cela peut causer un sérieux désagrément, et même la mort.;§Y[From.GetTitledFirstName]§! kann [From.GetDWDarkMagic] nutzen, um die Gesundheit von §Y[Root.GetTitledFirstName]§! zu beeinträchtigen. Das wird extremes Unbehagen und möglicherweise den Tod nach sich ziehen.;;§Y[From.GetTitledFirstName]§! puede usar [From.GetDWDarkMagic] para dañar la salud de §Y[Root.GetTitledFirstName]§!. La víctima padecerá malestar y es posible que muera.;;;;;;;;;x
devil_worshipers_dark_divorce;Dark Divorce;Divorce maléfique;Dunkle Trennung;;Divorcio oscuro;;;;;;;;;x
devil_worshipers_dark_divorce_desc;Annul your marriage to §Y[Root.GetTitledFirstName]§! by death, using dark rituals and magic. This may have repercussions upon your soul!;Annulez votre mariage avec [Root.Get_le_Title]§Y[Root.GetTitledFirstName]§! via son décès, en usant d'un rituel de magie noire. Ceci pourrait avoir des répercussions sur votre âme !;Macht Eure Ehe mit §Y[Root.GetTitledFirstName]§! durch den Tod null und nichtig, indem Ihr dunkle Rituale und Magie verwendet. Das kann Folgen für Eure Seele haben!;;Causa la muerte de §Y[Root.GetTitledFirstName]§! con rituales y magia negra para obtener la nulidad matrimonial. ¡Esta acción podría afectar a tu alma!;;;;;;;;;x
devil_worshipers_dark_healing_desc;By using their dark magic devil worshipers can heal themselves, sometimes from the most grievous injuries.;En usant de leur magie noire, les adorateurs du démon peuvent se soigner eux-mêmes, quelques fois de blessures graves.;Mithilfe ihrer dunklen Magie können Teufelsanbeter manchmal sogar die schwersten Verletzungen heilen.;;Los adoradores del diablo son capaces de curarse, a veces incluso de dolencias muy grandes, mediante la magia negra.;;;;;;;;;x
devil_worshipers_desecrate_temple;Desecrate a temple.;Profaner un temple;Schändet einen Tempel.;;Profanar un templo;;;;;;;;;x
devil_worshipers_desecrate_temple_desc;Desecrate the temple assigned by the society.;Profaner le lieu de culte désigné par la société secrète.;Schändet den Tempel, der vom Zirkel ausgewählt wurde.;;Profana un templo asignado por la orden.;;;;;;;;;x
devil_worshipers_induction;Induct into [From.Society.GetName];Endoctriner;In "[From.Society.GetName]"-Zirkel aufnehmen;;Iniciar en [From.Society.GetName];;;;;;;;;x
devil_worshipers_dark_healing_tooltip;Need to be wounded, maimed, have a disease or severe medical condition.;Doit être blessé, infirme, avoir une maladie ou un état de santé grave.;Muss verwundet, verstümmelt bzw. erkrankt sein oder schwere gesundheitliche Probleme haben.;;Es necesario padecer lesiones, mutilaciones, una enfermedad o una dolencia grave.;;;;;;;;;x
devil_worshipers_desecrate_temple_decision;Desecrate Temple;Profaner le temple;Schändung beginnen;;Iniciar profanación;;;;;;;;;x
devil_worshipers_desecrate_temple_decision_desc;Desecrate the temple as ordered by §Y[From.Society.GetName]§!.;Profaner le temple comme ordonné par [From.Get_le_Society]§Y[From.Society.GetName]§!.;Schändet den Tempel, wie Euch der "§Y[From.Society.GetName]§!"-Zirkel befohlen hat.;;Sigue las órdenes de §Y[From.Society.GetName]§! y profana el templo.;;;;;;;;;x
devil_worshipers_dark_healing;Dark Healing;Guérison démoniaque;Dunkle Heilung;;Curación oscura;;;;;;;;;x
devil_worshipers_corrupt_priest;Corrupt [Root.Religion.GetPriestTitle];Corrompre un [Root.Religion.GetPriestTitle];[Root.Religion.GetPriestTitle] korrumpieren;;Corrompe a [Root.Religion.GetPriestTitle];;;;;;;;;x
devil_worshipers_corrupt_priest_desc;Corrupt §Y[Root.GetTitledFirstName]§! for material gains and [From.GetDWDevil]'s appreciation. This might have repercussions upon your soul!;Corrompre [Root.Get_le_Title]§Y[Root.GetTitledFirstName]§! pour des gains matériels, ainsi que pour la reconnaissance [From.GetDWDevilDuDela]. Ceci pourrait avoir des répercussions sur votre âme !;Korrumpiert §Y[Root.GetTitledFirstName]§! für materielle Güter und zur Erbauung von [From.GetDWDevil]. Das kann Folgen für Eure Seele haben!;;Corrompe a §Y[Root.GetTitledFirstName]§! para conseguir beneficios materiales y el aprecio de [From.GetDWDevil]. ¡Esta acción podría afectar a tu alma!;;;;;;;;;x
devil_worshipers_demonic_possession;Demonic Possession;Posséder par le démon;Vom Teufel besessen;;Posesión demoníaca;;;;;;;;;x
devil_worshipers_demonic_possession_desc;Attempt to possess §Y[Root.GetTitledFirstName]§! with a [From.GetDWDemon], making [Root.GetHerHim] fanatically loyal to you. This may have repercussions upon your soul!;Tenter de posséder [Root.Get_le_Title]§Y[Root.GetTitledFirstName]§! avec un [From.GetDWDemon], pour [Root.GetLeLa] rendre fanatiquement loyal[Root.GetNoneE] envers vous. Ceci peut avoir des répercussions sur votre âme !;Versucht, mit einem [From.GetDWDemon] Besitz von §Y[Root.GetTitledFirstName]§! zu ergreifen und [Root.GetHerHim] Euch treu ergeben zu machen. Das kann Folgen für Eure Seele haben!;;Intenta que [From.GetDWDemon] posea a §Y[Root.GetTitledFirstName]§! para que se vuelva leal a ti. ¡Esta acción podría afectar a tu alma!;;;;;;;;;x
devil_worshipers_invite_disciple_of_devil_tt;A disciple of [Root.GetDWDevil] will soon appear at the court of §Y[Root.GetTitledFirstName]§!.\n;Un disciple [Root.GetDWDevilDuDela] fera bientôt son apparition à la Cour [Root.Get_du_Title]§Y[Root.GetTitledFirstName]§!.\n;Am Hofe von §Y[Root.GetTitledFirstName]§! wird bald ein Schüler von [Root.GetDWDevil] erscheinen.\n;;Pronto aparecerá un discípulo de [Root.GetDWDevil] en la corte de §Y[Root.GetTitledFirstName]§!.\n;;;;;;;;;x
devil_worshipers_invite_disciple_of_devil;Invite Disciple of [Root.GetDWDevil];Inviter un disciple [Root.GetDWDevilDuDela];Ladet Schüler von [Root.GetDWDevil] ein;;Invitar a un discípulo de [Root.GetDWDevil];;;;;;;;;x
devil_worshipers_invite_disciple_of_devil_desc;As the [Root.GetSocietyRank] of [Root.Society.GetName], §Y[Root.GetTitledFirstName]§! can invite a disciple of [Root.GetDWDevil] to join [Root.GetHerHis] court.;En tant qu[Root.Get_Le_SocietyRank][Root.GetSocietyRank] [Root.Get_du_Society][Root.Society.GetName], [Root.Get_le_Title]§Y[Root.GetTitledFirstName]§! peut inviter un disciple [Root.GetDWDevilDuDela] à rejoindre sa Cour.;Als [Root.GetSocietyRank] des "[Root.Society.GetName]"-Zirkels kann §Y[Root.GetTitledFirstName]§! einen Schüler von [Root.GetDWDevil] zu sich an den Hof einladen.;;Como [Root.GetSocietyRank] de [Root.Society.GetName], §Y[Root.GetTitledFirstName]§! puede invitar a discípulos de [Root.GetDWDevil] a unirse a la corte.;;;;;;;;;x
quest_devil_worshipers_corrupt_priest;Corrupt [FromFrom.GetTitledFirstName];Corrompre [FromFrom.Get_le_Title][FromFrom.GetTitledFirstName];[FromFrom.GetTitledFirstName] korrumpieren;;Corromper a [FromFrom.GetTitledFirstName];;;;;;;;;x
