#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
##################
#	Modifiers
##################
mod_lousy_shirt;Lousy Shirt;;;;;;;;;;;;;x
mod_lousy_shirt_desc;I went on a tour and all I got was this lousy shirt;;;;;;;;;;;;;x
mod_gondolin_blade;Gondolin Blade;;;;;;;;;;;;;x
mod_gondolin_blade_desc;A blade forge by the Smiths of Gondolin;;;;;;;;;;;;;x
mod_westernesse_dagger;Westernesse Dagger;;;;;;;;;;;;;x
mod_westernesse_dagger_desc;Ancient Dagger decored with serpents forged by the Cardolan Dunedain;;;;;;;;;;;;;x
mod_white_wizardstaff;White Wizard's Staff;;;;;;;;;;;;;x
mod_white_wizardstaff_desc;An enchanted staff of a Wizard, you can feel the magic radiating through it;;;;;;;;;;;;;x

##################
#	Decisions
##################
go_on_tour;Go on a Tour;;;;;;;;;;;;;x
go_on_tour_desc;You can take some time to travel across the world;;;;;;;;;;;;;x

################
#	Events
################
EVTDESCmep_tours_events.0;Which region do you wish to tour?;;;;;;;;;;;;;x
EVTOPTAmep_tours_events.0;Gondor;;;;;;;;;;;;;x
EVTOPTBmep_tours_events.0;Rohan;;;;;;;;;;;;;x
EVTOPTCmep_tours_events.0;Mordor;;;;;;;;;;;;;x
EVTOPTDmep_tours_events.0;Dwarven Realms;;;;;;;;;;;;;x
EVTOPTZmep_tours_events.0;Nevermind;;;;;;;;;;;;;x
EVTOPTZZmep_tours_events.0;More.;;;;;;;;;;;;;x
EVTTTLmep_tours_events.1;[tour_target.GetFullBaseName];;;;;;;;;;;;;x
EVTDESCmep_tours_events.1gondor;You see the massive pinnacle of the White Tower, renamed in honor of Steward Ecthelion II, as you cross the Pelennor Fields, approaching Minas Tirith. In short order you pass the massive whitestone ringwall through the city gate and explore the city's tiers.;;;;;;;;;;;;;x
EVTDESCmep_tours_events.1rohan;You pass through the crowded city streets of Edoras, on the hilltop above you sits the Golden Hall, Meduseld, shimmering in the sunlight. Through the gate to the main road, along which the clear spring watersand Snowbourn flow. Before leaving the Harrowdale, you visit the ancestral tombs in the Barrowfield.;;;;;;;;;;;;;x
EVTDESCmep_tours_events.1mordor;You enter the murky courtyard of the Dark Tower, it's fiery light painting the landscape a dusky crimson, as a sense of forbearance grows in you. The air hangs heavy on you, choked with sulfur and ash from ever-spewing Mt. Doom, making each breath a pain. You approach the keep itself but danger pushes you away and toward to the Northern Road.;;;;;;;;;;;;;x
EVTDESCmep_tours_events.1dwarf;Khazad Dum, Moria in the tongue of men, the endless stone halls constructed by the great king Durin the Deathless. But I mustn't be too loud for though my feet echo down the corridors which lead through the Misty Mountains I dare not stir my unwitting host lest my presence anger them. As I admire the exquisite masonry so too do I come upon the long and narrow bridge which crosses the great chasm below me, as I cross the deep abyss so too do I cross one destination off my list.;;;;;;;;;;;;;x
EVTOPTAmep_tours_events.1;An incredible City;;;;;;;;;;;;;x
EVTOPTBmep_tours_events.1;If only I could've met such Mighty Kings of Old.;;;;;;;;;;;;;x
EVTOPTCmep_tours_events.1;I must find a way through.;;;;;;;;;;;;;x
EVTOPTDmep_tours_events.1;To Aglarond.;;;;;;;;;;;;;x
EVTTTLmep_tours_events.11;[tour_target.GetFullBaseName];;;;;;;;;;;;;x
EVTDESCmep_tours_events.11gondor;You come to the ruins of Gondor's once-jewel, awed by the sight even now in its delapidated state. You walk through the collapsed buildings and along the rubble-lined pathways. Eventually, coming to a mighty, but rundown, domed building as the day's light fades.;;;;;;;;;;;;;x
EVTDESCmep_tours_events.11rohan;You turn off the Main road to Edoras towards the White Mountains. You reach the base of the mountains and spend a few minutes searching for the Stair of the Hold you were told about then make your way up the winding path to a large, grassy plateau. There, you look out on the vast plains of the Riddermark.;;;;;;;;;;;;;x
EVTDESCmep_tours_events.11mordor;The horizon turns pitch black as you make your way towards the Black Gate. As you grow closer, sunlight barely passes the stoneworks. Enough light enters the area that you can makeout the structure of several Stone Turrets along the interior of the gate. When you reach the gate, however, the guards refuse you passage and you are forced to turn back.;;;;;;;;;;;;;x
EVTDESCmep_tours_events.11dwarf;Aglarond, the beautiful caves deep in the Hornburg, the very walls sparkle and shine as though they were so many diamonds spread about the intricate and complex formations of the cave as I stepped into it, its beauty was indescribable to me as I looked upon it. Walking through these caves my wish to never leave here took root and as such it did so sadden me when I departed this gem in the mountains.;;;;;;;;;;;;;x
EVTOPTAmep_tours_events.11;The Grand Dome of Stars, Incredible;;;;;;;;;;;;;x
EVTOPTBmep_tours_events.11;Hello, hello, ello.;;;;;;;;;;;;;x
EVTOPTCmep_tours_events.11;There must be another way.;;;;;;;;;;;;;x
EVTOPTDmep_tours_events.11;Alas, I shall ever miss it.;;;;;;;;;;;;;x
EVTTTLmep_tours_events.12;[tour_target.GetFullBaseName];;;;;;;;;;;;;x
