#CODE;ENGLISH;FRENCH;GERMAN;SPANISH;x;;
EVTDESC_mep_bloodlines_events.0;You discover a lost descendent from an ancient and noble line. With the ever present threat of Darkness, Men could use whatever strength the Old Lines can give.;;;;;;x
EVTOPTA_mep_bloodlines_events.0;[From.GetSheHe] must know of this!;;;;;;x
EVTDESC_mep_bloodlines_events.1_vidugavia;An old man approaches you in the tavern as you sip your Pint. He takes a seat opposite you and asks the waitress for a cup and a meal then sits in silence. You finally speak up, "Who are you?" "My name is Gandalf, and I'm here to tell you of your noblity, oh child of Vidugavia...";;;;;;x
EVTDESC_mep_bloodlines_events.1_valandil;An old man approaches you in the tavern as you sip your Pint. He takes a seat opposite you and asks the waitress for a cup and a meal then sits in silence. You finally speak up, "Who are you?" "My name is Gandalf, and I'm here to tell you of your noblity, oh child of Valandil...";;;;;;x
EVTDESC_mep_bloodlines_events.1_thorondor;An old man approaches you in the tavern as you sip your Pint. He takes a seat opposite you and asks the waitress for a cup and a meal then sits in silence. You finally speak up, "Who are you?" "My name is Gandalf, and I'm here to tell you of your noblity, oh child of Thorondor...";;;;;;x
EVTDESC_mep_bloodlines_events.1_oropher;An old man approaches you in the tavern as you sip your Pint. He takes a seat opposite you and asks the waitress for a cup and a meal then sits in silence. You finally speak up, "Who are you?" "My name is Gandalf, and I'm here to tell you of your noblity, oh child of Oropher...";;;;;;x
EVTDESC_mep_bloodlines_events.1_amdir;An old man approaches you in the tavern as you sip your Pint. He takes a seat opposite you and asks the waitress for a cup and a meal then sits in silence. You finally speak up, "Who are you?" "My name is Gandalf, and I'm here to tell you of your noblity, oh child of AmdÌr...";;;;;;x
EVTDESC_mep_bloodlines_events.1_olwe;An old man approaches you in the tavern as you sip your Pint. He takes a seat opposite you and asks the waitress for a cup and a meal then sits in silence. You finally speak up, "Who are you?" "My name is Gandalf, and I'm here to tell you of your noblity, oh child of Olwe...";;;;;;x
EVTDESC_mep_bloodlines_events.1_nowe;An old man approaches you in the tavern as you sip your Pint. He takes a seat opposite you and asks the waitress for a cup and a meal then sits in silence. You finally speak up, "Who are you?" "My name is Gandalf, and I'm here to tell you of your noblity, oh child of Nowe...";;;;;;x
EVTDESC_mep_bloodlines_events.1_isildur;An old man approaches you in the tavern as you sip your Pint. He takes a seat opposite you and asks the waitress for a cup and a meal then sits in silence. You finally speak up, "Who are you?" "My name is Gandalf, and I'm here to tell you of your noblity, oh child of Isildur...";;;;;;x
EVTDESC_mep_bloodlines_events.1_imrazor;An old man approaches you in the tavern as you sip your Pint. He takes a seat opposite you and asks the waitress for a cup and a meal then sits in silence. You finally speak up, "Who are you?" "My name is Gandalf, and I'm here to tell you of your noblity, oh child of Imrazor...";;;;;;x
EVTDESC_mep_bloodlines_events.1_hurin;An old man approaches you in the tavern as you sip your Pint. He takes a seat opposite you and asks the waitress for a cup and a meal then sits in silence. You finally speak up, "Who are you?" "My name is Gandalf, and I'm here to tell you of your noblity, oh child of Hurin...";;;;;;x
EVTDESC_mep_bloodlines_events.1_dale;An old man approaches you in the tavern as you sip your Pint. He takes a seat opposite you and asks the waitress for a cup and a meal then sits in silence. You finally speak up, "Who are you?" "My name is Gandalf, and I'm here to tell you of your noblity, oh child of Dale...";;;;;;x
EVTDESC_mep_bloodlines_events.1_elemwe;An old man approaches you in the tavern as you sip your Pint. He takes a seat opposite you and asks the waitress for a cup and a meal then sits in silence. You finally speak up, "Who are you?" "My name is Gandalf, and I'm here to tell you of your noblity, oh child of ElemwÎ...";;;;;;x
EVTDESC_mep_bloodlines_events.1_fingolfin;An old man approaches you in the tavern as you sip your Pint. He takes a seat opposite you and asks the waitress for a cup and a meal then sits in silence. You finally speak up, "Who are you?" "My name is Gandalf, and I'm here to tell you of your noblity, oh child of Fingolfin...";;;;;;x
EVTDESC_mep_bloodlines_events.1_finarfin;An old man approaches you in the tavern as you sip your Pint. He takes a seat opposite you and asks the waitress for a cup and a meal then sits in silence. You finally speak up, "Who are you?" "My name is Gandalf, and I'm here to tell you of your noblity, oh child of Finarfin...";;;;;;x
EVTDESC_mep_bloodlines_events.1_feanor;An old man approaches you in the tavern as you sip your Pint. He takes a seat opposite you and asks the waitress for a cup and a meal then sits in silence. You finally speak up, "Who are you?" "My name is Gandalf, and I'm here to tell you of your noblity, oh child of Feanor...";;;;;;x
EVTDESC_mep_bloodlines_events.1_elwe;An old man approaches you in the tavern as you sip your Pint. He takes a seat opposite you and asks the waitress for a cup and a meal then sits in silence. You finally speak up, "Who are you?" "My name is Gandalf, and I'm here to tell you of your noblity, oh child of Elwe...";;;;;;x
EVTDESC_mep_bloodlines_events.1_arpharazon;An old man approaches you in the tavern as you sip your Pint. He takes a seat opposite you and asks the waitress for a cup and a meal then sits in silence. You finally speak up, "Who are you?" "My name is Gandalf, and I'm here to tell you of your noblity, oh child of Arpharazon...";;;;;;x
EVTDESC_mep_bloodlines_events.1_durin;An old man approaches you in the tavern as you sip your Pint. He takes a seat opposite you and asks the waitress for a cup and a meal then sits in silence. You finally speak up, "Who are you?" "My name is Gandalf, and I'm here to tell you of your noblity, oh child of Durin...";;;;;;x
EVTDESC_mep_bloodlines_events.1_aldarion;An old man approaches you in the tavern as you sip your Pint. He takes a seat opposite you and asks the waitress for a cup and a meal then sits in silence. You finally speak up, "Who are you?" "My name is Gandalf, and I'm here to tell you of your noblity, oh child of Aldarion...";;;;;;x
EVTOPTA_mep_bloodlines_events.1;This is unbelieveable.;;;;;;x
blood_of_anarion;Blood of An·rion;Sang d'An·rion;;;;;x
blood_of_anarion_desc;This character has strong traces of the blood of An·rion, second son of Elendil and younger brother of Isildur. His son Meneldil was the last man born in N˙menor before its downfall.;Ce personnage est un descendant d'Anarion, roi du Gondor, deuxiËme fils d'Elendil et frËre d'Isildur. Son fils Meneldil est le dernier homme a Ítre nÈ en Numenor avant sa submersion.;;;;;x
blood_of_numenor;True Blood of N˙menor;Sang de Numenor;;;;;x
blood_of_numenor_desc;This character is an heir of the fallen island of N˙menor, descended in a line unmingled, and so is blessed with a longer life than most men. Men of such a prestigious bloodline are rare in the late Third Age.;Ce personnage est un hÈritier de l'antique Numenor, et est bÈni d'une longue vie et d'une vue perçÁante.;;;;;x
blood_of_isildur;Blood of Isildur;HÈritier d'Isildur;;;;;x
blood_of_isildur_desc;This character is an heir of Isildur, King of Arnor, who slayed Sauron during the War of the Last Alliance. He is an heir to the crown of Gondor.;Ce personnage est un descendant d'Isildur, le roi d'Arnor, qui trancha la main de Sauron durant la Dernière Alliance. Ce personnage est un des prÈtendants au trÙne du Gondor.;;;;;x
blood_of_aldarion;Blood of Aldarion;HÈritier d'Isildur;;;;;x
blood_of_aldarion_desc;This character is a descendant of Aldarion the third and youngest son of E‰rendur and the first King of Rhundaur.;Ce personnage est un descendant d'Isildur, le roi d'Arnor, qui trancha la main de Sauron durant la Dernière Alliance. Ce personnage est un des prÈtendants au trÙne du Gondor.;;;;;x
blood_of_thorondor;Blood of Thorondor;HÈritier d'Isildur;;;;;x
blood_of_thorondor_desc;This character is a descendant of Thorondor the second son of E‰rendur and the first King of Cardolan.;Ce personnage est un descendant d'Isildur, le roi d'Arnor, qui trancha la main de Sauron durant la Dernière Alliance. Ce personnage est un des prÈtendants au trÙne du Gondor.;;;;;x
blood_of_valandil;Blood of Valandil;HÈritier d'Isildur;;;;;x
blood_of_valandil_desc;This character is a descendant of Valandil, The founder of the Lords of And˙niÎ in the western region of Andustar on N˙menor, and the grandson of Tar-Elendil.;;;;;;x
blood_of_arpharazon;Blood of Elros Tar-Minyatur;HÈritier d'Isildur;;;;;x
blood_of_arpharazon_desc;This character is a descendant of Elros Tar-Minyatur,the first King of N˙menor and brother of Elrond Half-Elven.;;;;;;x
blood_of_nowe;Blood of Nowe;HÈritier d'Isildur;;;;;x
blood_of_nowe_desc;This character is a descendant of NowÎ, The second Lord of the Grey Havens,and former Lord of the Falas.;;;;;;x
blood_of_hurin;Blood of Hurin;HÈritier d'Isildur;;;;;x
blood_of_hurin_desc;This character is a descendant of H˙rin, the first known Steward to the King of Gondor and an ancestor of the Ruling Stewards of Gondor.;;;;;;x
