#CODE;ENGLISH;FRENCH;GERMAN;SPANISH;;;;;;;;;x
horse_master;Horse Master;Maitre des Chevaux;;;;;;;;;;;x
horse_master_desc;This character is a great rider, able to make war on any battlefield, and to command a large group of cavalry.;Ce personnage est un Grand Cavalier, capable de se battre sur tous les champs de bataille avec son cheval, et de commander un grand régiment de cavalerie;;;;;;;;;;;x
amroth_knight;Knight of Dol Amroth;Chevalier de Dol Amroth;;;;;;;;;;;x
amroth_knight_desc;This character is a true Knight of Dol Amroth, part of the elite cavalry commanded by the Prince of Dol Amroth himself.;Ce personnage est un Chevalier de Dol Amroth, membre de cette cavalerie d'élite au service du Prince de Dol Amroth en personne.;;;;;;;;;;;x
mumakil_rider;Mûmakil Rider;Chevaucher de Mûmakil;;;;;;;;;;;x
mumakil_rider_desc;This character is able to ride a Mûmakil into battle. In them, the people of Harad have a terrifying fighter.;Ce personnage est capable de chevaucher un Mûmakil, et de le mener au combat. Avec lui, les peuples de Harad ont un terrifiant combattant.;;;;;;;;;;;x
EVTDESCsoldiertraits.1;Your people are known for their great skill as riders, and it's time to start training. With your tutor, himself a skilled rider, you learn to ride and fight from horseback. By the end of the session you have begun to show some talent...;Votre peuple est réputé pour donner de très bons cavaliers, et il est temps de commencer votre entraînement. Avec votre tuteur, lui-même cavalier, vous apprenez à agir avec les chevaux, et vous commencez à avoir quelques talents...;;;;;;;;;;;x
EVTOPTAsoldiertraits.1;I'm now a Squire of Rohan!;Je suis maintenant un Ecuyer !;;;;;;;;;;;x
EVTDESCsoldiertraits.2;After becoming a squire, you continued to improve your skills. You are now able to ride your horse in battle, but there's still a lot of work to do before reaching the level of Eorl!;Après être devenu écuyer, vous avez continué à améliorer vos aptitudes. Vous êtes maintenant capable de monter votre cheval au combat, mais il reste encore du chemin avant d'atteindre le niveau d'Eorl !;;;;;;;;;;;x
EVTOPTAsoldiertraits.2;I am a Rider of Rohan!.;Je suis un Bon Cavalier.;;;;;;;;;;;x
EVTDESCsoldiertraits.3;Your tutor continues to teach you and, with time, you have developed more skills. You are now a true horseman, able to fight with great skill on horseback, and effectively command a cavalry group.;Votre tuteur continue à vous apprendre à monter à cheval, et avec le temps, vous avez développé de plus en plus d'aptitudes. Vous êtes maintenant un véritable cavalier, capable de vous battre à cheval, et de diriger un bon régiment de cavalerie.;;;;;;;;;;;x
EVTOPTAsoldiertraits.3;I am a Great Rider !;Je suis un Grand Cavalier !;;;;;;;;;;;x
EVTDESCsoldiertraits.4;By the training of your tutor and your perseverance, you have reached an exceptional level. You are now a true Horse Master, a famed expert of combat among your own people. Your own horse is now too fully trained, and is equally well known among your people.;Grâce aux enseignements de votre tuteur, vous avez atteint un niveau exceptionnel. Vous êtes maintenant un véritable Maitre des Chevaux, capable de dresser et monter n'importe lequel d'entre eux. Votre propre cheval est maintenant parfaitement dressé, et est réputé parmi votre peuple.;;;;;;;;;;;x
EVTOPTAsoldiertraits.4;I am a Horse-Master!.;Je suis un Maitre des Chevaux.;;;;;;;;;;;x
EVTDESCsoldiertraits.5;The child that you took under your wing continues to grow and improve. He has become a better rider, and the pride of his kin.;L'enfant que vous avez pris sous votre aile ne cesse de progresser et d'améliorer son niveau. Il devient un meilleur cavalier, et fait la fierté de son peuple.;;;;;;;;;;;x
EVTOPTAsoldiertraits.5;I am proud of him too!;Je suis fier de lui !;;;;;;;;;;;x
EVTDESCsoldiertraits.6;You undergo training from a Knight of Dol Amroth, and have been taken to your first session. You have been scouted by the commander of this elite unit, and he has given you the status of squire.;Vous êtes éduqué par un Chevalier de Dol Amroth, et il vous a emmené à vos premiers entrainements. Vous avez été repéré par le Commandant de cette unité d'élite, qui vous a donné le statut d'écuyer.;;;;;;;;;;;x
EVTOPTAsoldiertraits.6;I am a Squire of Dol Amroth!;Je suis un Ecuyer de Dol Amroth !;;;;;;;;;;;x
EVTDESCsoldiertraits.7;Since you became a squire of Dol Amroth, you have never stopped training. Your skills have improved significantly, and after a ceremony in the halls of the Knights, the Prince himself has appointed you as a Knight of Dol Amroth. He has given you the sword and armor of the Swan, which you wear with pride among the most famed fighters of the kingdom.;Depuis que vous êtes écuyer de Dol Amroth, vous ne cessez de vous entrainez. Vos talents se sont nettement améliorés, et après une courte cérémonie, le Prince lui-même vous a fait Chevalier de Dol Amroth. Vous pouvez maintenant revetir l'armure au Cygne;;;;;;;;;;;x
EVTOPTAsoldiertraits.7;I am a Knight of Dol Amroth!;Je suis un Chevalier de Dol Amroth!;;;;;;;;;;;x
EVTDESCsoldiertraits.8;The boy you took under your wing has been brilliantly trained, and now reflects the chivalry of Dol Amroth. Thanks to your teachings, he progresses more and more each day.;;;;;;;;;;;;x
EVTDESCsoldiertraits.9;Your guardian has finished today's sparring session, and you have progressed slightly. Nevertheless, you remain a weak and craven orc, with little chance of survival.;;;;;;;;;;;;x
EVTOPTAsoldiertraits.9;I am still so weak...;Je suis encore si faible…;;;;;;;;;;;x
EVTDESCsoldiertraits.10;Your tutor often spars with you in the ring, and you've managed to improve your skills. You're not a great fighter, but you're able to defend yourself, which is not so bad.;Votre tuteur se bat souvent contre vous, et vous avez finalement réussi à améliorer vos aptitudes. Vous n'etes pas un grand orque, mais vous êtes capable de vous battre, ce qui n'est pas si mal.;;;;;;;;;;;x
EVTOPTAsoldiertraits.10;I am a Warrior.;Je suis un Combattant.;;;;;;;;;;;x
EVTDESCsoldiertraits.11;You have progressed through an increasingly difficult training, defeating your opponents, and improving your skills. You become stronger and stronger, and you have finally started making a name for yourself among your people.;Vous avez suivi un entrainement de plus en plus poussé, battant vos adversaires, et améliorant vos aptitudes. Vous devenez de plus en plus fort, et vous commencez à vous faire un nom parmi vos semblables.;;;;;;;;;;;x
EVTOPTAsoldiertraits.11;I am Strong Orc.;Je suis Fort.;;;;;;;;;;;x
EVTDESCsoldiertraits.12;After an incredibly hard drive, you have managed to reach the level of the most feared orcs in Middle Earth. Both friends and enemies respect your great abilities.;Après avoir suivi un entrainement incroyablement difficile, vous avez réussi à atteindre le niveau des plus grands orques de la Terre du Milieu. Vous êtes redoutable, craint à la fois de vos amis et de vos ennemis.;;;;;;;;;;;x
EVTOPTAsoldiertraits.12;I am a Great Orc.;Je suis Grand.;;;;;;;;;;;x
EVTDESCsoldiertraits.13;Having led a young orc in training, you see that he has progressed. If you give him more lashes, maybe he'll finally come to an acceptable level.;Après avoir entrainé un jeune orque, vous voyez que celui-ci progresse. Si vous lui donnez plus de coups de fouets, peut-être qu'il arrivera à un niveau acceptable.;;;;;;;;;;;x
EVTDESCsoldiertraits.14;You have received a basic military training, but now turn away from violence. You prefer peace to war, and songs to swords. Perhaps your tutor will come to make you change your mind, but for now, you will not fight.;Vous avez reçu une petite formation militaire, mais vous vous en êtes détourné. Vous préférez la paix à la guerre, et les chansons aux épées. Peut-être que votre tuteur arrivera à vous faire changer d'avis, mais pour le moment, vous êtes pacifique.;;;;;;;;;;;x
EVTOPTAsoldiertraits.14;I am no Warrior.;Je ne suis pas un Guerrier.;;;;;;;;;;;x
EVTDESCsoldiertraits.15;Your tutor has told you about wars of times past and the massacres endured by your people. He has convinced you that if you are able to fight, you might better protect your kin against the darkness rising in the East.;;;;;;;;;;;;x
EVTOPTAsoldiertraits.15;I will be trained.;Je serais entrainé.;;;;;;;;;;;x
EVTDESCsoldiertraits.16;After your first few sessions, you have felt the desire to progress further. You have now reached an acceptable level of skill, allowing you to fight most of your enemies.;Après vos premiers entrainements, vous avez éprouvé le désir de progresser encore. Vous avez maintenant atteint un niveau de combat acceptable, qui vous permettra de combattre la plupart de vos ennemilso s.;;;;;;;;;;;x
EVTOPTAsoldiertraits.16;I am a now Warrior.;Je suis un Guerrier maintenant.;;;;;;;;;;;x
EVTDESCsoldiertraits.17;You have made tremendous progress, and you are now one of the most powerful warriors of your race. Few enemies can withstand you, and you can lead large groups of warriors into battle. You will be the champion of your race.;Vous avez fait d'énormes progrès, et êtes maintenant l'un des guerriers les plus puissants parmi les votres. Peu d'ennemis peuvent vous résister, et vous pouvez mener de grandes troupes au combat. Vous serez le défenseur de votre race.;;;;;;;;;;;x
EVTOPTAsoldiertraits.17;I am a Strong Warrior.;Je suis un Guerrier Puissant.;;;;;;;;;;;x
EVTDESCsoldiertraits.18;The young elf you educated progress in the art of war. If you get to maintain this level of training, he will become a great warrior.;Le jeune elfe que vous éduqué progresse dans l'art de la guerre. Si vous arrivez à maintenir ce niveau d'entrainement,  il deviendra un grand guerrier.;;;;;;;;;;;x
EVTDESCsoldiertraits.19;You have started training to master the Mûmakil. At the moment, you know how to breed and sustain them, but soon maybe you'll ride them into battle...;;;;;;;;;;;x
EVTOPTAsoldiertraits.19;I am a Mûmakil Breeder!;;;;;;;;;;;x
EVTDESCsoldiertraits.20;With the help of your tutor, you have managed to train your first Mûmakil. You are one step closer to riding them.;;;;;;;;;;;x
EVTOPTAsoldiertraits.20;I am a Mûmakil Trainer!;;;;;;;;;;;x
EVTDESCsoldiertraits.21;With the help of your tutor, you have managed to ride your first Mûmakil in a combat exercise. You're now a formidable warrior, capable of leading these huge beasts into combat.;;;;;;;;;;;x
EVTOPTAsoldiertraits.21;Fear me now!;;;;;;;;;;;x
EVTDESCsoldiertraits.22;You are now able to lead a group of several Mûmakil while riding your own. You are a formidable commander and few enemies would dare try and overcome you...;;;;;;;;;;;x
EVTOPTAsoldiertraits.22;I am terrifying!;;;;;;;;;;;x
EVTDESCsoldiertraits.23;With your help, this young Haradrim you trained has raised his competence with the Mûmakil.;;;;;;;;;;;x
EVTDESCsoldiertraits.24;You have started military training. Tagging along with a party of warriors, you've managed to learn basic tactics, and are able to defend yourself.;;;;;;;;;;;x
EVTOPTAsoldiertraits.24;Baruk Khazad!;;;;;;;;;;;x
EVTDESCsoldiertraits.25;You have kept training and are now stronger. You can command a small group, but you still have much room to improve before you might reach the level of your legendary ancestors.;;;;;;;;;;;x
EVTOPTAsoldiertraits.25;Baruk Khazad!;;;;;;;;;;;x
EVTDESCsoldiertraits.26;You are now an impressive fighter, wielding the axe with great skill. You are feared by your enemies, and can lead a large group.;;;;;;;;;;;x
EVTOPTAsoldiertraits.26;Baruk Khazad! Khazad-ai-menu!;;;;;;;;;;;x
EVTDESCsoldiertraits.27;You are one of the greatest warriors of your people. Your strength and skill is respected among your peers, and some even say you could kill a dragon using only your axe...;;;;;;;;;;;x
EVTOPTAsoldiertraits.27;Baruk Khazad! Khazad-ai-menu!;;;;;;;;;;;x
EVTDESCsoldiertraits.28;With your help, the young dwarf you trained has raised his martial competence.;;;;;;;;;;;x
EVTDESCsoldiertraits.29;Learning to be a Ranger of the North from your guardian;;;;;;;;;;;x
EVTOPTAsoldiertraits.29;Stick 'em with the pointy end!;;;;;;;;;;;x
EVTDESCsoldiertraits.30;Upgrade to ranger;;;;;;;;;;;x
EVTOPTAsoldiertraits.30;Nice;;;;;;;;;;;x
EVTDESCsoldiertraits.31;Upgrade to captain;;;;;;;;;;;x
EVTOPTAsoldiertraits.31;Nice;;;;;;;;;;;x
EVTDESCsoldiertraits.32;Upgrade to grey member;;;;;;;;;;;x
EVTOPTAsoldiertraits.32;Wonderful;;;;;;;;;;;x
EVTDESCsoldiertraits.33;Learning to be a Bowman from your guardian;;;;;;;;;;;x
EVTOPTAsoldiertraits.33;Stick 'em with the pointy end!;;;;;;;;;;;x
EVTDESCsoldiertraits.34;Upgrade to skilled bowman;;;;;;;;;;;x
EVTOPTAsoldiertraits.34;Nice;;;;;;;;;;;x
EVTDESCsoldiertraits.35;Upgrade to great bowman;;;;;;;;;;;x
EVTOPTAsoldiertraits.35;Nice;;;;;;;;;;;x
EVTDESCsoldiertraits.36;Upgrade to master bowman;;;;;;;;;;;x
EVTOPTAsoldiertraits.36;Wonderful;;;;;;;;;;;x
EVTDESCsoldiertraits.37;Learning to be a Ranger of Ithilien from your guardian;;;;;;;;;;;x
EVTOPTAsoldiertraits.37;Stick 'em with the pointy end!;;;;;;;;;;;x
EVTDESCsoldiertraits.38;Upgrade to ithilien captain;;;;;;;;;;;x
EVTOPTAsoldiertraits.38;Nice;;;;;;;;;;;x
dunedain_ranger;Ranger of the North;;;;;;;;;;;x
dunedain_ranger_desc;This character is a Dúnedain ranger tasked with repelling any enemy troops attempting to infiltrate Eriador.;;;;;;;;;;;x
ithilien_ranger;Ranger of Ithilien;;;;;;;;;;;x
ithilien_ranger_desc;This character is a true ranger of Ithilien, able to move silently, shoot quickly and attack any unprepared enemy venturing into the eastern lands of Gondor.;;;;;;;;;;;x
master_fighter;Master Fighter;;;;;;;;;;;x
master_fighter_desc; ;;;;;;;;;;;x
skilled_fighter;Skilled Fighter;;;;;;;;;;;x
skilled_fighter_desc; ;;;;;;;;;;;x
adept_fighter;Adept Fighter;;;;;;;;;;;x
adept_fighter_desc; ;;;;;;;;;;;x
novice_fighter;Novice Fighter;;;;;;;;;;;x
novice_fighter_desc; ;;;;;;;;;;;x
umbar_corsair;Umbar Corsair;;;;;;;;;;;x
umbar_corsair_desc;This person is a descendent of the Black Numenoreans, bloodthirsty pirates from the South and enemies of Gondor.;;;;;;;;;;;x
