#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

####################
# Bookmarks
####################
BM_ARRIVAL OF THE DUNEDAIN;Arrival of the Dúnedain;;;;;;;;;;;;;x

#Eras
BM_ARRIVAL_OF_THE_DUNEDAIN_ERA;Arrival of the Dúnedain;;;;;;;;;;;;;x

######################
# Bookmark Desc
######################
BM_ARRIVAL_OF_THE DUNEDAIN_DESC;placeholder;;;;;;;;;;;;;x

#Era Info
BM_ARRIVAL_OF_THE_DUNEDAIN_INFO;placeholder;;;;;;;;;;;;;x

##################
# Characters
##################

#Eras
ERA_CHAR_NAME_ELENDIL;High King Elendil the Tall;;;;;;;;;;;;;x

#Character Infos
ERA_CHAR_INFO_ELENDIL;Elendil is the father of Isildur and Anárion, a survivor of the Downfall of Númenor, and the founder and first High King of Arnor and Gondor. He is known as a great warrior, a wise king, and a heroic figure among the Dúnedain, who loves every man, woman and child of Arnor and Gondor, and is loved by them in return.;;;;;;;;;;;;;x

#############
# Titles
#############

PICK_STARTING_ERA_TEXT;placeholder;;;;;;;;;;;;;x
PICK_ERA_YEAR;$YEAR$;;;;;;;;;;;;;x
