#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

#Dunedain
emperor_culture_dunedain;King;;;;;;;;;;;;;x
king_culture_dunedain;Prince;;;;;;;;;;;;;x
duke_culture_dunedain;Governor;;;;;;;;;;;;;x
count_culture_dunedain;Lord;;;;;;;;;;;;;x
city_baron_culture_dunedain;Lord Mayor;;;;;;;;;;;;;x
baron_culture_dunedain;Sir;;;;;;;;;;;;;x
emperor_female_culture_dunedain;Queen;;;;;;;;;;;;;x
king_female_culture_dunedain;Princess;;;;;;;;;;;;;x
duke_female_culture_dunedain;Governor;;;;;;;;;;;;;x
count_female_culture_dunedain;Lady;;;;;;;;;;;;;x
empire_of_culture_dunedain;Kingdom of;;;;;;;;;;;;;x
kingdom_of_culture_dunedain;Principality of;;;;;;;;;;;;;x
duchy_of_culture_dunedain;District of;;;;;;;;;;;;;x
county_of_culture_dunedain;Lordship of;;;;;;;;;;;;;x
city_barony_of_culture_dunedain;City of;;;;;;;;;;;;;x
barony_of_culture_dunedain;Citadel of;;;;;;;;;;;;;x
temple_barony_of_culture_dunedain;Temple of;;;;;;;;;;;;;x

#Wilderness
emperor_culture_wilderness;The;;;;;;;;;;;;;x
king_culture_wilderness;The;;;;;;;;;;;;;x
duke_culture_wilderness;The;;;;;;;;;;;;;x
count_culture_wilderness;The;;;;;;;;;;;;;x
city_baron_culture_wilderness;The;;;;;;;;;;;;;x
baron_culture_wilderness;The;;;;;;;;;;;;;x
temple_baron_culture_wilderness;The;;;;;;;;;;;;;x
emperor_female_culture_wilderness;The;;;;;;;;;;;;;x
king_female_culture_wilderness;The;;;;;;;;;;;;;x
duke_female_culture_wilderness;The;;;;;;;;;;;;;x
count_female_culture_wilderness;The;;;;;;;;;;;;;x
empire_of_culture_wilderness;Lands of;;;;;;;;;;;;;x
kingdom_of_culture_wilderness;Lands of;;;;;;;;;;;;;x
duchy_of_culture_wilderness;Lands of;;;;;;;;;;;;;x
county_of_culture_wilderness;Lands of;;;;;;;;;;;;;x
city_barony_of_culture_wilderness;Ruins of;;;;;;;;;;;;;x
barony_of_culture_wilderness;Ruins of;;;;;;;;;;;;;x
temple_barony_of_culture_wilderness;Ruins of;;;;;;;;;;;;;x

#Mountains
emperor_culture_mountains;The;;;;;;;;;;;;;x
king_culture_mountains;The;;;;;;;;;;;;;x
duke_culture_mountains;The;;;;;;;;;;;;;x
count_culture_mountains;The;;;;;;;;;;;;;x
city_baron_culture_mountains;;;;;;;;;;;;;x
baron_culture_mountains;The;;;;;;;;;;;;;x
temple_baron_culture_mountains;The;;;;;;;;;;;;;x
emperor_female_culture_mountains;The;;;;;;;;;;;;;x
king_female_culture_mountains;The;;;;;;;;;;;;;x
duke_female_culture_mountains;The;;;;;;;;;;;;;x
count_female_culture_mountains;The;;;;;;;;;;;;;x
empire_of_culture_mountains;Mountains of;;;;;;;;;;;;;x
kingdom_of_culture_mountains;Mountains of;;;;;;;;;;;;;x
duchy_of_culture_mountains;Mountains of;;;;;;;;;;;;;x
county_of_culture_mountains;Mountains of;;;;;;;;;;;;;x
city_barony_of_culture_mountains;Mountains of;;;;;;;;;;;;;x
barony_of_culture_mountains;Mountains of;;;;;;;;;;;;;x
temple_barony_of_culture_mountains;Mountains of;;;;;;;;;;;;;x
