#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

### RELIGION GROUPS ###

religion_group_edain;Edain;;;;;;;;;;;;;x
religion_group_quendi;Quendi;;;;;;;;;;;;;x
religion_group_wilderness;Wilderness;;;;;;;;;;;;;x

### RELIGIONS ###

religion_faithful;Faithful;;;;;;;;;;;;;x
religion_eldar;Eldar;;;;;;;;;;;;;x
religion_wilderness;Wilderness;;;;;;;;;;;;;x

### RELIGION DESCRIPTIONS ###

religion_faithful_DESC;The cultural traditions and beliefs of this character.;;;;;;;;;;;;;x
religion_eldar_DESC;The cultural traditions and beliefs of this character.;;;;;;;;;;;;;x
religion_wilderness_DESC;The wilderness is uninhabited land which can be colonised by certain races. Wilderness provinces have no levies or income.;;;;;;;;;;;;;x

### GODS ###

GOD_ERU;Eru Ilúvatar;;;;;;;;;;;;;x
GOD_THE_VALAR;the Valar;;;;;;;;;;;;;x
GOD_THE_MAIAR;the Maiar;;;;;;;;;;;;;x
GOD_MORGOTH;Melkor Morgoth;;;;;;;;;;;;;x
GOD_SAURON;Sauron;;;;;;;;;;;;;x
GOD_TREE;Trees;;;;;;;;;;;;;x

### INTERFACE ###

REL_HOLY_SITES;Cultural Sites;;;;;;;;;;;;;x
