#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
customizer_targaryen;House Targaryen;Maison Targaryen;;;Casa Targaryen;;;;;;;;;x
customizer_targaryen_desc;You are a Targaryen of Old Valyria, the blood of the dragon, a descendant of King Aegon the Conqueror, who united the Seven Kingdoms and forged the Iron Throne.;Vous êtes un Targaryen de l'Antique Valyria, le sang du dragon, un descendant du Roi Aegon le Conquérant qui a unifié les Sept Couronnes et forgé le Trône de Fer.;;;Eres un Targaryen de la Antigua Valyria, sangre del dragón, un descendiente del rey Aegon el Conquistador, que unió a los Siete Reinos y forjó el Trono de Hierro.;;;;;;;;;x
customizer_stark;House Stark;Maison Stark;;;Casa Stark;;;;;;;;;x
customizer_stark_desc;You are a Stark of Winterfell, the Wardens of the North. You trace your descent to Brandon the Builder, the first King in the North, who built the Wall to keep the Long Night at bay.;Vous êtes un Stark de Winterfell, les Gouverneurs du Nord. Vous pouvez remonter votre lignée jusqu'à Brandon le Bâtisseur, le premier Roi du Nord qui bâtit le Mur après la Longue Nuit.;;;Eres un Stark de Invernalia, los Guardianes del Norte. Tu linaje se remonta hasta Brandon el Constructor, el primer Rey en el Norte, quien construyó el Muro tras la Larga Noche.;;;;;;;;;x
customizer_greyjoy;House Greyjoy;Maison Greyjoy;;;Casa Greyjoy;;;;;;;;;x
customizer_greyjoy_desc;You are a Greyjoy of Pyke, the Lords of the Iron Islands. You trace your descent to the Grey King, the first King of the Iron Islands, who slew the sea dragon Nagga and built his hall from her fire.;Vous êtes un Greyjoy de Pyk, les Lords des Iles de Fer. Vous pouvez remontez votre lignée jusqu'au Roi Gris, le premier Roi du Sel et du Roc qui tua la dragonne des mers Nagga et se servit de son squelette pour construire sa demeure. ;;;Eres un Greyjoy de Pyke, los Señores de las Islas del Hierro. Remontas tu linaje hasta el Rey Gris, el primer rey de las Islas del Hierro, quién mató al dragón marino Nagga y construyó su Casa con el fuego de éste.;;;;;;;;;x
customizer_tully;House Tully;Maison Tully;;;Casa Tully;;;;;;;;;x
customizer_tully_desc;You are a Tully of Riverrun, the Lords Paramount of the Riverlands. Your family first rose to prominence under Lord Edmyn Tully, who betrayed King Harren the Black to fight for Aegon the Conqueror, and was awarded the Riverlands for his services.;Vous êtes un Tully de Vivesaigues, les Lords Suzerains du Conflans. Votre famille s'éleva avec Lord Edmyn Tully qui trahit le Roi Harren le Noir et se joignit à Aegon le Conquérant, recevant le Conflans en récompense. ;;;Eres un Tully de Aguasdulces, los Señores de las Tierras de los Ríos. Tú familia se erige sobre el Señor Edmyn Tully, quién traicionó al rey Harren el Negro para luchar por Aegon el Conquistador, y fue recompensado con el Tierras de los Ríos por sus servicios.;;;;;;;;;x
customizer_arryn;House Arryn;Maison Arryn;;;Casa Arryn;;;;;;;;;x
customizer_arryn_desc;You are an Arryn of the Eyrie, the Wardens of the East and Defenders of the Vale. You trace your descent to the Winged Knight Ser Artys Arryn, who flew to the top of the Giant's Lance on the back of a giant falcon to slay the Griffin King and bring the faith of the Seven to Westeros.;Vous êtes un Arryn des Eyrié, les Gouverneurs de l'Est et Défenseurs du Val. Vous pouvez remontez votre lignée jusqu'au Chevalier Ailé ser Artys Arryn qui vola jusqu'au sommet de la lance du Géant juché sur un faucon géant pour abattre le Roi Griffon et amener la Foi des Sept à Westeros. ;;;Eres un Arryn del Nido de Águilas, los Guardianes de Oriente y Defensores del Valle. Tú ascendencia se remonta hasta el Caballero Alado Sir Artys Arryn, quién voló hasta la cima de Lanza de los Gigantes a lomos de un halcón gigante para matar al Rey Griffin y traer la fe de los Siete a Poniente.;;;;;;;;;x
customizer_lannister;House Lannister;Maison Lannister;;;Casa Lannister;;;;;;;;;x
