#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;;x
EVTTITnorthernwar.1;Ill tidings; Ill tidings;;;;;;;;;;;;;x
EVTDESCnorthernwar.1;You hear reports that the Easterlings are preparing for some kind of war, gathering under the black flag of Mordor. Mercenaries and warlike clans flock to them.; You hear reports that the Easterlings are preparing for some kind of war, gathering under the black flag of Mordor. Mercenaries and warlike clans flock to them.;;;;;;;;;;;;;x
EVTOPTAnorthernwar.1;We must prepare our defenses.; We must prepare our defenses.;;;;;;;;;;;;;x
EVTTITnorthernwar.2;Ill tidings; Ill tidings;;;;;;;;;;;;;x
EVTDESCnorthernwar.2;You hear reports that the Easterlings are preparing for some kind of war, gathering under the black flag of Mordor. Mercenaries and warlike clans flock to them.; You hear reports that the Easterlings are preparing for some kind of war, gathering under the black flag of Mordor. Mercenaries and warlike clans flock to them.;;;;;;;;;;;;;x
EVTOPTAnorthernwar.2;Our gates cannot be breached.; Our gates cannot be breached.;;;;;;;;;;;;;x
EVTTITnorthernwar.3;Ill tidings; Ill tidings;;;;;;;;;;;;;x
EVTDESCnorthernwar.3;Your scouts report increased activity amonst the orcs of the mountains. They seem to be preparing for war, and have gathered a large host already, tens of thousands strong.; Your scouts report increased activity amonst the orcs of the mountains. They seem to be preparing for war, and have gathered a large host already, tens of thousands strong.;;;;;;;;;;;;;x
EVTOPTAnorthernwar.3;The shadow strengthens.; The shadow strengthens.;;;;;;;;;;;;;x
EVTTITnorthernwar.4;Ill tidings; Ill tidings;;;;;;;;;;;;;x
EVTDESCnorthernwar.4;Your scouts report increased activity amongst the orcs of the mountains. Dol Guldur is also marshalling it's forces, they will no doubt try to attack us.; Your scouts report increased activity amongst the orcs of the mountains. Dol Guldur is also marshalling it's forces, they will no doubt try to attack us.;;;;;;;;;;;;;x
EVTOPTAnorthernwar.4;Yet still we stand.; Yet still we stand.;;;;;;;;;;;;;x
EVTTITnorthernwar.5;Ill tidings; Ill tidings;;;;;;;;;;;;;x
EVTDESCnorthernwar.5;Your scouts report increased activity amongst the orcs of the mountains. Wargs howl in the night, and the southern lands are awash in blood. War is coming.; Your scouts report increased activity amongst the orcs of the mountains. Wargs howl in the night, and the southern lands are awash in blood. War is coming.;;;;;;;;;;;;;x
EVTOPTAnorthernwar.5;War is coming.; War is coming.;;;;;;;;;;;;;x
EVTTITnorthernwar.6;Invasion of Lorien; Invasion of Lorien;;;;;;;;;;;;;x
EVTDESCnorthernwar.6;The Elves of Lorien and their cursed Queen have defied you for far too long. It is time to send the armies gathered at Dol Guldur against them with orders to slay every elf they find.; The Elves of Lorien and their cursed Queen have defied you for far too long. It is time to send the armies gathered at Dol Guldur against them with orders to slay every elf they find.;;;;;;;;;;;;;x
EVTTITnorthernwar.7;Invasion of Lorien; Invasion of Lorien;;;;;;;;;;;;;x
EVTDESCnorthernwar.7;Your Lord Sauron has placed you in command of the armies that will march against Lorien. It is a great honor.; Your Lord Sauron has placed you in command of the armies that will march against Lorien. It is a great honor.;;;;;;;;;;;;;x
EVTTITnorthernwar.8;Invasion of Lorien; Invasion of Lorien;;;;;;;;;;;;;x
EVTDESCnorthernwar.8;The time has come. The armies are ready. Nothing will stand against you now!; The time has come. The armies are ready. Nothing will stand against you now!;;;;;;;;;;;;;x
EVTOPTAnorthernwar.8;To War!; To War!;;;;;;;;;;;;;x
EVTTITnorthernwar.9;Invasion of Dale; Invasion of Dale;;;;;;;;;;;;;x
EVTDESCnorthernwar.9;Your Lord Sauron has commanded you to raise an invasion force to attack the Northmen. The army is ready to march!; Your Lord Sauron has commanded you to raise an invasion force to attack the Northmen. The army is ready to march!;;;;;;;;;;;;;x
EVTOPTAnorthernwar.9;Inform the war-chief.; Inform the war-chief.;;;;;;;;;;;;;x
EVTTITnorthernwar.10;Invasion of Dale; Invasion of Dale;;;;;;;;;;;;;x
EVTDESCnorthernwar.10;You have been tasked with leading a mighty army against Dale. It is a great honor.; You have been tasked with leading a mighty army against Dale. It is a great honor.;;;;;;;;;;;;;x
EVTTITnorthernwar.11;Invasion of Dale; Invasion of Dale;;;;;;;;;;;;;x
EVTDESCnorthernwar.11;The time has come. The armies are ready. Nothing will stand against you now!; The time has come. The armies are ready. Nothing will stand against you now!;;;;;;;;;;;;;x
EVTOPTAnorthernwar.11;To War!; To War!;;;;;;;;;;;;;x
EVTTITnorthernwar.12;Invasion of Mirkwood; Invasion of Mirkwood;;;;;;;;;;;;;x
EVTDESCnorthernwar.12;The Goblins of the North, together with a force from Dol Guldur are ready to assault Thranduil's realm in Mirkwood. The woodland realm will burn with the fires of war!; The Goblins of the North, together with a force from Dol Guldur are ready to assault Thranduil's realm in Mirkwood. The woodland realm will burn with the fires of war!;;;;;;;;;;;;;x
EVTTITnorthernwar.13;Invasion of Mirkwood; Invasion of Mirkwood;;;;;;;;;;;;;x
EVTDESCnorthernwar.13;Your Lord Sauron has placed you in command of the armies that will march against Mirkwood. It is a great honor.; Your Lord Sauron has placed you in command of the armies that will march against Mirkwood. It is a great honor.;;;;;;;;;;;;;x
EVTTITnorthernwar.14;Invasion of Mirkwood; Invasion of Mirkwood;;;;;;;;;;;;;x
EVTDESCnorthernwar.14;The time has come. The armies are ready. Nothing will stand against you now!; The time has come. The armies are ready. Nothing will stand against you now!;;;;;;;;;;;;;x
EVTOPTAnorthernwar.14;To War!; To War!;;;;;;;;;;;;;x
EVTTITnorthernwar.15;Invasion of Anduin Vale; Invasion of Anduin Vale;;;;;;;;;;;;;x
EVTDESCnorthernwar.15;The Dark Lord has instructed you to crush the men of Anduin vale, while his other northern armies ravage the elves and men of Dale. Kill them all, and let the age of the orc begin!; The Dark Lord has instructed you to crush the men of Anduin vale, while his other northern armies ravage the elves and men of Dale. Kill them all, and let the age of the orc begin!;;;;;;;;;;;;;x
EVTOPTAnorthernwar.15;At last!; At last!;;;;;;;;;;;;;x
EVTTITnorthernwar.16;Invasion of Dale; Invasion of Dale;;;;;;;;;;;;;x
EVTDESCnorthernwar.16;The men of Rhun march against you in great force from the south - you should prepare every last man to defend their homeland, or they will surely lose it!; The men of Rhun march against you in great force from the south - you should prepare every last man to defend their homeland, or they will surely lose it!;;;;;;;;;;;;;x
EVTOPTAnorthernwar.16;Gather the militia!; Gather the militia!;;;;;;;;;;;;;x
northernwar_mirkwood_invasion_force;The Mirkwood invasion force; The Mirkwood invasion force;;;;;;;;;;;;;x
northernwar_dale_invasion_force;The Dale invasion force; The Dale invasion force;;;;;;;;;;;;;x
northernwar_lorien_invasion_force;The Lorien invasion force; The Lorien invasion force;;;;;;;;;;;;;x
