#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESCmep_childhood_events.1;While running through the halls of the castle, you find an open door and decide to investigate. As you enter you see one of the courtiers in a state of nature.;;;;;;;;;;;;;x
EVTOPTAmep_childhood_events.1;Oooo;;;;;;;;;;;;;x
EVTOPTBmep_childhood_events.1;Icky;;;;;;;;;;;;;x
EVTDESCAmep_childhood_events.11;You hear a screech from the hall. Racing towards it, you find [From.GetFirstName] and a courtier in the nude. Fascination plain on [From.GetHerHis] face.;;;;;;;;;;;;;x
EVTDESCBmep_childhood_events.11;You hear a screech from the hall. Racing towards it, you find [From.GetFirstName] and a courtier in the nude. [From.GetHerHis] face is averted and [From.GetSheHe] is clearly uncomfortable.;;;;;;;;;;;;;x
EVTOPTAmep_childhood_events.11;Let's go;;;;;;;;;;;;;x
EVTOPTBmep_childhood_events.11;That's enough of that!;;;;;;;;;;;;;x
EVTOPTCmep_childhood_events.11;Stop that!;;;;;;;;;;;;;x
EVTDESCmep_childhood_events.2;You enter the kitchen to find a magnificent layout of foods, as you look over it your mouth begins to water at the thought of it.;;;;;;;;;;;;;x
EVTOPTAmep_childhood_events.2;FOOD!;;;;;;;;;;;;;x
EVTOPTBmep_childhood_events.2;I better not.;;;;;;;;;;;;;x
EVTDESCAmep_childhood_events.21;You find [From.GetFirstName] in the kitchen, [From.GetHerHis] face covered in fat and cream.;;;;;;;;;;;;;x
EVTDESCBmep_childhood_events.21;You find [From.GetFirstName] in the kitchen, [From.GetHerHis] eyes fixed on the food platters.;;;;;;;;;;;;;x
EVTOPTAmep_childhood_events.21;We've got lessons soon.;;;;;;;;;;;;;x
EVTOPTBmep_childhood_events.21;Stop eating, right now!;;;;;;;;;;;;;x
EVTOPTCmep_childhood_events.21;Have some.;;;;;;;;;;;;;x
EVTDESCmep_childhood_events.3;While walking through the castle halls, you find a ring on the ground and slip it on your finger. After court later one of the courtiers approaches you about it.;;;;;;;;;;;;;x
EVTOPTAmep_childhood_events.3;No, this is mine.;;;;;;;;;;;;;x
EVTOPTBmep_childhood_events.3;Oh yes, I found it. Here.;;;;;;;;;;;;;x
EVTDESCAmep_childhood_events.31;You happen upon [From.GetFirstName] in an argument with a courtier, the latter is raging about a stolen ring.;;;;;;;;;;;;;x
EVTDESCBmep_childhood_events.31;You happen upon [From.GetFirstName] who is giving a ring to one of the courtiers.;;;;;;;;;;;;;x
EVTOPTAmep_childhood_events.31;Hurry up, we need to begin today's lesson.;;;;;;;;;;;;;x
EVTOPTBmep_childhood_events.31;Well, give it back.;;;;;;;;;;;;;x
EVTOPTCmep_childhood_events.31;Take it back, keep what's yours.;;;;;;;;;;;;;x
EVTDESCmep_childhood_events.4;The dawn's light just barely cracking in the east sees you awake much earlier than usual.;;;;;;;;;;;;;x
EVTOPTAmep_childhood_events.4;Moorre Sleep...;;;;;;;;;;;;;x
EVTOPTBmep_childhood_events.4;Perfect chance to study!;;;;;;;;;;;;;x
EVTDESCAmep_childhood_events.41;Morning's business sees you knock at [From.GetFirstName]'s door then enter. You find [From.GetHerHim] asleep in bed.;;;;;;;;;;;;;x
EVTDESCBmep_childhood_events.41;Morning's business sees you knock at [From.GetFirsName]'s door, then enter. There you find [From.GetHerHim] at the table, today's books open.;;;;;;;;;;;;;x
EVTOPTAmep_childhood_events.41;Lesson will begin shortly.;;;;;;;;;;;;;x
EVTOPTBmep_childhood_events.41;Out of Bed!;;;;;;;;;;;;;x
EVTOPTCmep_childhood_events.41;You can go back to bed.;;;;;;;;;;;;;x
EVTDESCmep_childhood_events.5;While in court one day, [Liege.GetFirstName] announces that one of  the courtiers will be receiving a prestigious new title.;;;;;;;;;;;;;x
EVTOPTAmep_childhood_events.5;I want a title too!;;;;;;;;;;;;;x
EVTOPTBmep_childhood_events.5;Good for them,;;;;;;;;;;;;;x
EVTDESCAmep_childhood_events.51;You find [From.GetFirstName] is complaining loudly and often about not having an honorific.;;;;;;;;;;;;;x
EVTDESCBmep_childhood_events.51;After a recent court meeting, [From.GetFirstName] is speaking carefreely with a recently honored opposition courtier.;;;;;;;;;;;;;x
EVTOPTAmep_childhood_events.51;Alright.;;;;;;;;;;;;;x
EVTOPTBmep_childhood_events.51;You need to move past it.;;;;;;;;;;;;;x
EVTOPTCmep_childhood_events.51;You need to avoid them.;;;;;;;;;;;;;x
EVTDESCmep_childhood_events.6;While in court you overhear one of the courtiers has gone behind your back and is insulting the idea you put forth earlier to [Liege.GetFirstName].;;;;;;;;;;;;;x
EVTOPTAmep_childhood_events.6;I demand Satisfaction!;;;;;;;;;;;;;x
EVTOPTBmep_childhood_events.6;The idea will defend itself.;;;;;;;;;;;;;x
EVTDESCAmep_childhood_events.61;You enter the court to find [From.GetFirstName], face beet red, demanding one of the courtiers apologize or fight.;;;;;;;;;;;;;x
EVTDESCBmep_childhood_events.61;While in court, you overhear one of the courtiers speaking with [From.Liege.GetFirstName], among the conversation is a insult on one of [From.GetFirstName]'s ideas.;;;;;;;;;;;;;x
EVTOPTAmep_childhood_events.61;Ignore it.;;;;;;;;;;;;;x
EVTOPTBmep_childhood_events.61;You must check your anger.;;;;;;;;;;;;;x
EVTOPTCmep_childhood_events.61;You can't allow insults to spread unchecked.;;;;;;;;;;;;;x
EVTDESCmep_childhood_events.7;One day after you are invited to stay back after the court's dismissal. Alone with the council, you are told you will be receiving a new honorific for you good work within the court.;;;;;;;;;;;;;x
EVTOPTAmep_childhood_events.7;About time.;;;;;;;;;;;;;x
EVTOPTBmep_childhood_events.7;I do not deserve it.;;;;;;;;;;;;;x
EVTDESCAmep_childhood_events.71;You find that [From.GetFirstName] has been granted a new title and has be walking about with an obnoxious tone.;;;;;;;;;;;;;x
EVTDESCBmep_childhood_events.71;You hear from a courtier that [From.GetFirstName] has recieved an honorific but refuses to use it.;;;;;;;;;;;;;x
EVTOPTAmep_childhood_events.71;Alright.;;;;;;;;;;;;;x
EVTOPTBmep_childhood_events.71;Your ego will cause problems.;;;;;;;;;;;;;x
EVTOPTCmep_childhood_events.71;You should show some pride.;;;;;;;;;;;;;x
EVTDESCmep_childhood_events.8;You take a dagger from the table after court one day. A few hours later, as you show it off to others about the court. A court races out and shouts at you "Thief! Give back my knife!";;;;;;;;;;;;;x
EVTOPTAmep_childhood_events.8;It's my knife!;;;;;;;;;;;;;x
EVTOPTBmep_childhood_events.8;Apologizes, I found it.;;;;;;;;;;;;;x
EVTDESCAmep_childhood_events.81;You happen upon [From.GetFirstName] in a heated argument with one of the courtiers. The courtier is grabbing at a knife in [From.GetFirstName]'s hand.;;;;;;;;;;;;;x
EVTDESCBmep_childhood_events.81;You hear a ruckus in the the hall and find [From.GetFirstName] turning over an ornate knife to another, fuming, courtier.;;;;;;;;;;;;;x
EVTOPTAmep_childhood_events.81;Let it play out;;;;;;;;;;;;;x
EVTOPTBmep_childhood_events.81;Return it now!;;;;;;;;;;;;;x
EVTOPTCmep_childhood_events.81;Ah thank you for finding MY knife.;;;;;;;;;;;;;x
EVTDESCmep_childhood_events.9;You are in court one day and one of the court heads barks about an error in the reports, you recognize it as your work.;;;;;;;;;;;;;x
EVTOPTAmep_childhood_events.9;My apologizes, I messed up.;;;;;;;;;;;;;x
EVTOPTBmep_childhood_events.9;Hide until court is over.;;;;;;;;;;;;;x
