#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
########################
#	Modifiers
########################
mod_boromirdeath;Boromir has Died;;;;;;;;;;;;;x

######################
#	Events
######################

	#Deaths
EVTTTLmep_flavor_events.11;Fall of Boromir;;;;;;;;;;;;;x
EVTDESCmep_flavor_events.11aragorn;You race through the woods towards the Horn blasts to find Boromir pinned with arrows amidst a litter of Orcish bodies. You hear him repeating, "I've failed you all" as you approach him. "It is over," he says, "the White City will fall.";;;;;;;;;;;;;x
EVTDESCAmep_flavor_events.11;[From.GetFirstName] has fallen, they will look for his coming from the White Tower, but he will not return. A strong blow has been struck, dashing the strength of Man.;;;;;;;;;;;;;x
EVTDESCBmep_flavor_events.11;The Forces of Sauron and Saruman have struck down the famed commander of Man, Boromir. The armies of Men and Elves are sure to reel from this blow. The Dark Lord Rises!;;;;;;;;;;;;;x
EVTOPTAmep_flavor_events.11;Be at peace, Son of Gondor;;;;;;;;;;;;;x
EVTOPTBmep_flavor_events.11;I swear to you I will not let the Great City fall. Nor our people fail.;;;;;;;;;;;;;x
EVTOPTCmep_flavor_events.11;It is a good day to Kill;;;;;;;;;;;;;x
#EVTOPTCmep_flavor_events.11;Mirdautas vras;;;;;;;;;;;;;x
EVTTTLmep_flavor_events.12;Death of Thorin;;;;;;;;;;;;;x
EVTDESCAmep_flavor_events.12;This is a grim day for the Dwarves.[From.GetTitledFirstName] led an assault that proved his strength as a leader. He struck out from the mountain, providing vital aid as the goblins threatened to overwhelm the Armies. He fought courageously, but, woefully, was struck down in the battle.;;;;;;;;;;;;;x
EVTDESCBmep_flavor_events.12;The foolish Dwarf-king, Thorin, has fallen to the forces of Dol Guldur after a failed sally from the mountain. The Elves and Man will no doubt soon fall as well.;;;;;;;;;;;;;x
EVTOPTAmep_flavor_events.12;He will be remembered as the greatest Warrior King of Durin's Folk.;;;;;;;;;;;;;x
EVTOPTBmep_flavor_events.12;I swear to you I will not let the Great City fall. Nor our people fail;;;;;;;;;;;;;x
EVTOPTCmep_flavor_events.12;Death to Men and Elfsons!;;;;;;;;;;;;;x
EVTTTLmep_flavor_events.13;Death of Bilbo;;;;;;;;;;;;;x
EVTDESCAmep_flavor_events.13;You've answered one of Gollum's riddles incorrectly, as you turn to flee, the creature jumps upon you, knocking your weapon from your hand. Despite your fight you are overwhelmed and pinned to the ground. As you struggle to reach the blade, the creature raises a rock above its head and brings it down, smashing it against your face.;;;;;;;;;;;;;x
EVTDESCBmep_flavor_events.13;You and the Company have freed yourselves from Goblin-town but are soon attacked by Orcs. As you race away you notice that Bilbo is missing and your gaze falls back towards the the mountain. A thought enters your mind and you think you hear a faint scream of pain echo from the Mountain.;;;;;;;;;;;;;x
EVTOPTAmep_flavor_events.13;I should never have left the Shire...;;;;;;;;;;;;;x
EVTOPTBmep_flavor_events.13;Now's not the time for grief.;;;;;;;;;;;;;x
EVTTTLmep_flavor_events.131;Collapse of the Company;;;;;;;;;;;;;x
EVTDESCmep_flavor_events.131;You managed to escape the Orcs near Goblin-town but the loss of Bilbo left the Company with few options and before long the Quest had to be called off. The Company has collapsed.;;;;;;;;;;;;;x
EVTOPTAmep_flavor_events.131;I knew the Hobbit was a bad idea!;;;;;;;;;;;;;x
EVTOPTBmep_flavor_events.131;This is a grave blow for Middle-Earth!;;;;;;;;;;;;;x

	#Battles
EVTTTLmep_flavor_events.21;Battle of Dagorlad;;;;;;;;;;;;;x
EVTDESCAmep_flavor_events.21;Elendil has lead the Allied armies of Men and Elves onto the marshy fields of Dagorlad in the hopes of ending the Reign of Sauron.;;;;;;;;;;;;;x
EVTDESCBmep_flavor_events.21;Sauron has moved to crush the forces of Men and Elves on the fields of Dagorlad. If he succeeds, no force will have the strength to stand against the Darkness.;;;;;;;;;;;;;x
EVTOPTAmep_flavor_events.21;We must drive back this Evil;;;;;;;;;;;;;x
EVTOPTBmep_flavor_events.21;Crush the Dogs!;;;;;;;;;;;;;x

	#Reclamations
EVTTTLmep_flavor_events.51;Osgiliath Reclaimed by Gondor;;;;;;;;;;;;;x
EVTDESCAmep_flavor_events.51;Osgiliath, the city that was once the jewel of our kingdom! A place of light, and beauty, and music. And so it shall be once more! Let the armies of Mordor know this: Never again will the land of our people fall into enemy hands! The city of Osgiliath, has been reclaimed!;;;;;;;;;;;;;x
EVTDESCBmep_flavor_events.51;The man-swine have retaken the ruins on the river, Osgiliath. Our hordes, Flowers in their blood, have scurried back across the river and scattered. But no doubt, it shall be retaken soon enough.;;;;;;;;;;;;;x
EVTOPTAmep_flavor_events.51;For Gondor!;;;;;;;;;;;;;x
EVTOPTBmep_flavor_events.51;A minor thing;;;;;;;;;;;;;x

	######################
	#	Special Flavor
	######################
	#Love or Ambition?
EVTTTLmep_flavor_events.3;Aragorn's Mettle Proven - Theoden;;;;;;;;;;;;;x
EVTDESCmep_flavor_events.3;The forces of Saruman are broken, Helm's Deep is held, and Rohan is saved. It is all thanks to Aragorn and the White Wizard. Perhaps he's the man to rule?;;;;;;;;;;;;;x
