
#################
#Guard Titles
#################
d_gondor_guard;Guards of the Citadel;;;;;;;;;;;;;x
d_gondor_guard_adj;Knight;;;;;;;;;;;;;x

#Minor Titles
title_personalguard;Personal Guard;;;;;;;;;;;;;x
title_personalguard_desc;A Personal guard to a noble;;;;;;;;;;;;;x

#Guard Decisions
form_a_guard;Form a Guard;;;;;;;;;;;;;x
form_a_guard_desc;You are a King without an Elite Guard.;;;;;;;;;;;;;x
form_a_guard_named;Form a Guard on [Root.GetFirstName].;;;;;;;;;;;;;x
name_to_guard;Name to the Guard;;;;;;;;;;;;;x
name_to_guard_desc;Your Guard Corps is lacking so you can name one of the Realm.;;;;;;;;;;;;;x
name_to_guard_named;Name [Root.GetFirstName] to the Guard;;;;;;;;;;;;;x
name_personal_guardsman;Name as Personal Guard;;;;;;;;;;;;;x
name_personal_guardsman_desc;You're lacking a Personal Guard.;;;;;;;;;;;;;x
name_personal_guardsman_named;Name [Root.GetFirstName] as Personal Guard;;;;;;;;;;;;;x
return_to_guard;Return to  Guard;;;;;;;;;;;;;x
return_to_guard_desc;One of the Guards is errant.;;;;;;;;;;;;;x
return_to_guard_named;Return [Root.GetFirstName] to the Guard;;;;;;;;;;;;;x
disband_guard;Disband Guard;;;;;;;;;;;;;x
disband_guard_desc;Your Liege has too many Guard Corps.;;;;;;;;;;;;;x
disband_guard_named;Disband one of [Root.GetFirstName]'s Guard Corps;;;;;;;;;;;;;x

####################
#Combat Skill Events
####################

EVTDESCmep_cskill_events.1;All your martial practice as improved your skill.;;;;;;;;;;;;;x
EVTOPTAmep_cskill_events.1;Great!;;;;;;;;;;;;;x

###############
#Duel Events
###############

EVTDESCmep_duel_events.0;In the midst of battle, you see that one of the enemy commanders is open to attack, you could charge in and strike.;;;;;;;;;;;;;x
EVTOPTAmep_duel_events.0;Have at them!;;;;;;;;;;;;;x
EVTOPTBmep_duel_events.0;My guard can handle this.;;;;;;;;;;;;;x
EVTOPTCmep_duel_events.0;No need for personal glory, we will win the day regardless.;;;;;;;;;;;;;x
EVTDESCmep_duel_events.1;Determine a winner of the duel round.;;;;;;;;;;;;;x
EVTOPTAmep_duel_events.1;[dueler1.GetFirstName];;;;;;;;;;;;;x
EVTOPTBmep_duel_events.1;[dueler2.GetFirstName];;;;;;;;;;;;;x
