#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
####################
#	Traits
####################
trait_old_age;Old Age;;;;;;;;;;;;;x
trait_old_age_desc;This character is long-lived;;;;;;;;;;;;;x

################
#	Events
################
EVTTTLmep_on_actions_mt.11;Time Catches You;;;;;;;;;;;;;x
EVTDESCAmep_on_actions_mt.11;You have lived a long life in Middle-earth, but you can no longer linger, you feel it, the time approaches for the heirs to rise and replace you.;;;;;;;;;;;;;x
EVTDESCBmep_on_actions_mt.11;A feeling of yearning grows deep in you. Your time in Middle-earth comes to a close, you must return to the West.;;;;;;;;;;;;;x
EVTDESCCmep_on_actions_mt.11;You wake finding yourself in bed. Though darkness surrounds you, you see a bright light grow in the distance. Warmth fills you as it approaches.;;;;;;;;;;;;;x
EVTOPTAmep_on_actions_mt.11;My time Ends.;;;;;;;;;;;;;x
EVTOPTBmep_on_actions_mt.11;Ready the ship.;;;;;;;;;;;;;x
EVTOPTCmep_on_actions_mt.11;The warmth comforts me.;;;;;;;;;;;;;x
EVTDESCmep_on_actions_mt.161;A Lesser Ring has been uncovered by [From.GetFirstName].;;;;;;;;;;;;;x
EVTOPTAmep_on_actions_mt.161;I see.;;;;;;;;;;;;;x
