#CODE;ENGLISH;FRENCH;GERMAN;SPANISH;ITALIAN;;x
EVTDESCgoshen_maintenance_events.11;[From.GetFirstName] has reached schooling age and can receive a special education.;;;;;;;;;;;;;x
EVTOPTAgoshen_maintenance_events.11;[From.GetSheHe] would do well as a commmander.;;;;;;;;;;;;;x
EVTOPTBgoshen_maintenance_events.11;I see a spark of politics in [From.GetHerHim].;;;;;;;;;;;;;x
EVTOPTCgoshen_maintenance_events.11;[From.GetFirstName] loves finance.;;;;;;;;;;;;;x
EVTOPTDgoshen_maintenance_events.11;What do I care?;;;;;;;;;;;;;x
EVTDESCgoshen_maintenance_events.12;Congratulations, you have completed your education.;;;;;;;;;;;;;x
EVTOPTAgoshen_maintenance_events.12;I wonder what kind of Marshal I'll make.;;;;;;;;;;;;;x
EVTOPTBgoshen_maintenance_events.12;I'll rise in court quickly, I'm sure of it.;;;;;;;;;;;;;x
EVTOPTCgoshen_maintenance_events.12;Penes, Lii, Harks, and Hazah, money makes the world go round.;;;;;;;;;;;;;x
EVTOPTDgoshen_maintenance_events.12;What mark shall I make on the world?;;;;;;;;;;;;;x
