#CODE;ENGLISH;FRENCH;GERMAN;SPANISH;ITALIAN;;x
CB_NAME_OLD_REALMS_SUBJUGATE;Old Realms Subjugation of $OTHER_TITLE$;;;;;;;;;;;;;x
WAR_NAME_OLD_REALMS_SUBJUGATE;$ORDER$$FIRST_ADJ$ Subjugation of $OTHER_TITLE$;;;;;;;;;;;;;x
old_realms_subjugate_desc;Your ambition to renew the Old Realms give you right of Subjugation of their Territory;;;;;;;;;;;;;x
obj_claim_silvan_title;Unite the Lands of the Silvan;;;;;;;;;;;;;x
obj_claim_silvan_desc;You've come to the belief that the Elvish Realms must unite, by any means;;;;;;;;;;;;;x
obj_claim_anadune_title;Unite the Lands of the Anadune;;;;;;;;;;;;;x
obj_claim_anadune_desc;You've come to the belief that the Anadune Realms must unite, by any means;;;;;;;;;;;;;x
obj_claim_arnor_title;Unite the Lands of the Arnor;;;;;;;;;;;;;x
obj_claim_arnor_desc;You've come to the belief that the Arnor Realms must unite, by any means;;;;;;;;;;;;;x
obj_claim_united_title;Unite the Realms of Men;;;;;;;;;;;;;x
obj_claim_united_desc;You've come to the belief that the Realms of Men must unite, by any means;;;;;;;;;;;;;x
EVTDESCsinful_events.1;While out on a progress journey Middle Earth, you stumble upon a most ancient ruin. Though you've been to the location before, you remember the ruins not, so you make approach. As you grow close, both dread and wonder rise within you.;;;;;;;;;;;;;x
EVTOPTAsinful_events.1;I must explore it;;;;;;;;;;;;;x
EVTOPTBsinful_events.1;I must away!;;;;;;;;;;;;;x
EVTTTLsinful_events.11;Foray;;;;;;;;;;;;;x
EVTDESCsinful_events.11;You make entrance into the structure and find the grounds dark but well kempt. You put spark to a torch and the embers alight the area, revealing 3 doorways marked with ancient runes. As you focus on them, they morph into your understanding.;;;;;;;;;;;;;x
EVTOPTAsinful_events.11;I take the Hall of Legends;;;;;;;;;;;;;x
EVTOPTBsinful_events.11;The Hall of Masters is for me;;;;;;;;;;;;;x
EVTOPTCsinful_events.11;I will explore the Hall of Heroes;;;;;;;;;;;;;x
EVTOPTDsinful_events.11;I must away!;;;;;;;;;;;;;x
EVTTTLsinful_events.12;A Great Hall;;;;;;;;;;;;;x
EVTDESCAsinful_events.12;You find yourself in a great Hall, the twilight twinkling in through craved apertures in the ceiling. Around you stand grand Statues of noble warriors and crafters, marked with the same runes as the previous room.;;;;;;;;;;;;;x
EVTDESCBsinful_events.12;You find yourself in a great Hall brightly lit by several burning braziers along the near wall. You look about and find that the Hall is a adorned with many magnificent works of art, below each is the same runes as before.;;;;;;;;;;;;;x
EVTDESCCsinful_events.12;You find yourself in a great Hall, the area filled with brilliant golden light. The light emanates from 3 Marvelous Gold figures at the back of the room. Approaching them you find the same runes as the previous room.;;;;;;;;;;;;;x
EVTOPTAsinful_events.12;Visit the Hall of Legends;;;;;;;;;;;;;x
EVTOPTBsinful_events.12;Visit the Hall of Heroes;;;;;;;;;;;;;x
EVTOPTCsinful_events.12;I wish to view the Masters' Work;;;;;;;;;;;;;x
EVTOPTDsinful_events.12;Return to the Main Room;;;;;;;;;;;;;x
EVTTTLsinful_events.121;Hall of Legends;;;;;;;;;;;;;x
EVTDESCAsinful_events.121;The runes etched in a placard in the ground near the door read, James Fox;;;;;;;;;;;;;x
EVTDESCBsinful_events.121;You approach another placard, its runes read, Blood Royal;;;;;;;;;;;;;x
EVTDESCCsinful_events.121;You approach another placard, its runes read, Nukumnehtar;;;;;;;;;;;;;x
EVTDESCDsinful_events.121;You approach another placard, its runes read, Redit;;;;;;;;;;;;;x
EVTDESCEsinful_events.121;You approach another placard, its runes read, Chris93;;;;;;;;;;;;;x
EVTDESCFsinful_events.121;You approach another placard, its runes read, Moridin997;;;;;;;;;;;;;x
EVTDESCGsinful_events.121;You approach another placard, its runes read, GrandiSlayer;;;;;;;;;;;;;x
EVTDESCHsinful_events.121;You approach another placard, its runes read, Skullever;;;;;;;;;;;;;x
EVTDESCIsinful_events.121;You approach another placard, its runes read, UnDerBY;;;;;;;;;;;;;x
EVTDESCJsinful_events.121;You approach another placard, its runes read, DevilSauron;;;;;;;;;;;;;x
EVTDESCKsinful_events.121;You approach another placard, its runes read, Bedevere42;;;;;;;;;;;;;x
EVTDESCLsinful_events.121;You approach another placard, its runes read, Porkenstein;;;;;;;;;;;;;x
EVTDESCMsinful_events.121;You approach another placard, its runes read, Disfunctionz;;;;;;;;;;;;;x
EVTDESCNsinful_events.121;You approach another placard, its runes read, Glariamn;;;;;;;;;;;;;x
EVTDESCOsinful_events.121;You approach another placard, its runes read, Lonhaldar;;;;;;;;;;;;;x
