#CODE;ENGLISH;FRENCH;GERMAN;SPANISH;ITALIAN;;x
EVTTTLspecial_races_events.1;Strange Forces Found;;;;;;;;;;;;;x
EVTDESCspecial_races_events.1ents;Your forces have entered the region of [From.GetName] and found a host of Ents dwelling there.;;;;;;;;;;;;;x
EVTDESCspecial_races_events.1spiders;Your forces have entered the region of [From.GetName] and found a number of spider webs about.;;;;;;;;;;;;;x
EVTDESCspecial_races_events.1eagles;Your forces have entered the region of [From.GetName] and, soaring high above are the Giant Eagles.;;;;;;;;;;;;;x
EVTOPTAspecial_races_events.1;Excellent, the Tree herders will make excellent allies.;;;;;;;;;;;;;x
EVTOPTBspecial_races_events.1;Root them out, one and all.;;;;;;;;;;;;;x
EVTOPTCspecial_races_events.1;They are a blight and must be purged.;;;;;;;;;;;;;x
EVTOPTDspecial_races_events.1;They'll make an excellent detterent to our enemies.;;;;;;;;;;;;;x
EVTOPTEspecial_races_events.1;Such Majesty, perhaps they'll aid us in time.;;;;;;;;;;;;;x
EVTOPTFspecial_races_events.1;Vile beasts, hunt them down.;;;;;;;;;;;;;x
EVTTTLspecial_races_events.11;Strange Forces Purged;;;;;;;;;;;;;x
EVTDESCspecial_races_events.11ents;You are informed that the the purge of the Ents has gone well, no more can be found in [Root.GetName].;;;;;;;;;;;;;x
EVTDESCspecial_races_events.11spiders;You are informed that the the purge of the Spiders has gone well, no more can be found in [Root.GetName].;;;;;;;;;;;;;x
EVTDESCspecial_races_events.11eagles;You are informed that the the purge of the Eagles has gone well, no more can be found in [Root.GetName].;;;;;;;;;;;;;x
EVTOPTAspecial_races_events.11;Excellent.;;;;;;;;;;;;;x
EVTOPTBspecial_races_events.11;Excellent.;;;;;;;;;;;;;x
EVTOPTCspecial_races_events.11;Excellent.;;;;;;;;;;;;;x
