#CODE;ENGLISH;FRENCH;GERMAN;SPANISH;x;;
EVTDESC_mep_bloodlines_events.0;You discover a lost descendent from an ancient and noble line. With the ever present threat of Darkness, Men could use whatever strength the Old Lines can give.;;;;;;x
EVTOPTA_mep_bloodlines_events.0;[From.GetSheHe] must know of this!;;;;;;x
EVTDESC_mep_bloodlines_events.1_vidugavia;An old man approaches you in the tavern as you sip your Pint. He takes a seat opposite you and asks the waitress for a cup and a meal then sits in silence. You finally speak up, "Who are you?" "My name is Gandalf, and I'm here to tell you of your noblity, oh child of Vidugavia...";;;;;;x
EVTDESC_mep_bloodlines_events.1_valandil;An old man approaches you in the tavern as you sip your Pint. He takes a seat opposite you and asks the waitress for a cup and a meal then sits in silence. You finally speak up, "Who are you?" "My name is Gandalf, and I'm here to tell you of your noblity, oh child of Valandil...";;;;;;x
EVTDESC_mep_bloodlines_events.1_thorondor;An old man approaches you in the tavern as you sip your Pint. He takes a seat opposite you and asks the waitress for a cup and a meal then sits in silence. You finally speak up, "Who are you?" "My name is Gandalf, and I'm here to tell you of your noblity, oh child of Thorondor...";;;;;;x
EVTDESC_mep_bloodlines_events.1_oropher;An old man approaches you in the tavern as you sip your Pint. He takes a seat opposite you and asks the waitress for a cup and a meal then sits in silence. You finally speak up, "Who are you?" "My name is Gandalf, and I'm here to tell you of your noblity, oh child of Oropher...";;;;;;x
EVTDESC_mep_bloodlines_events.1_amdir;An old man approaches you in the tavern as you sip your Pint. He takes a seat opposite you and asks the waitress for a cup and a meal then sits in silence. You finally speak up, "Who are you?" "My name is Gandalf, and I'm here to tell you of your noblity, oh child of AmdÌr...";;;;;;x
EVTDESC_mep_bloodlines_events.1_olwe;An old man approaches you in the tavern as you sip your Pint. He takes a seat opposite you and asks the waitress for a cup and a meal then sits in silence. You finally speak up, "Who are you?" "My name is Gandalf, and I'm here to tell you of your noblity, oh child of Olwe...";;;;;;x
EVTDESC_mep_bloodlines_events.1_nowe;An old man approaches you in the tavern as you sip your Pint. He takes a seat opposite you and asks the waitress for a cup and a meal then sits in silence. You finally speak up, "Who are you?" "My name is Gandalf, and I'm here to tell you of your noblity, oh child of Nowe...";;;;;;x
EVTDESC_mep_bloodlines_events.1_isildur;An old man approaches you in the tavern as you sip your Pint. He takes a seat opposite you and asks the waitress for a cup and a meal then sits in silence. You finally speak up, "Who are you?" "My name is Gandalf, and I'm here to tell you of your noblity, oh child of Isildur...";;;;;;x
EVTDESC_mep_bloodlines_events.1_imrazor;An old man approaches you in the tavern as you sip your Pint. He takes a seat opposite you and asks the waitress for a cup and a meal then sits in silence. You finally speak up, "Who are you?" "My name is Gandalf, and I'm here to tell you of your noblity, oh child of Imrazor...";;;;;;x
EVTDESC_mep_bloodlines_events.1_hurin;An old man approaches you in the tavern as you sip your Pint. He takes a seat opposite you and asks the waitress for a cup and a meal then sits in silence. You finally speak up, "Who are you?" "My name is Gandalf, and I'm here to tell you of your noblity, oh child of Hurin...";;;;;;x
EVTDESC_mep_bloodlines_events.1_dale;An old man approaches you in the tavern as you sip your Pint. He takes a seat opposite you and asks the waitress for a cup and a meal then sits in silence. You finally speak up, "Who are you?" "My name is Gandalf, and I'm here to tell you of your noblity, oh child of Dale...";;;;;;x
EVTDESC_mep_bloodlines_events.1_elemwe;An old man approaches you in the tavern as you sip your Pint. He takes a seat opposite you and asks the waitress for a cup and a meal then sits in silence. You finally speak up, "Who are you?" "My name is Gandalf, and I'm here to tell you of your noblity, oh child of ElemwÎ...";;;;;;x
EVTDESC_mep_bloodlines_events.1_fingolfin;An old man approaches you in the tavern as you sip your Pint. He takes a seat opposite you and asks the waitress for a cup and a meal then sits in silence. You finally speak up, "Who are you?" "My name is Gandalf, and I'm here to tell you of your noblity, oh child of Fingolfin...";;;;;;x
EVTDESC_mep_bloodlines_events.1_finarfin;An old man approaches you in the tavern as you sip your Pint. He takes a seat opposite you and asks the waitress for a cup and a meal then sits in silence. You finally speak up, "Who are you?" "My name is Gandalf, and I'm here to tell you of your noblity, oh child of Finarfin...";;;;;;x
EVTDESC_mep_bloodlines_events.1_feanor;An old man approaches you in the tavern as you sip your Pint. He takes a seat opposite you and asks the waitress for a cup and a meal then sits in silence. You finally speak up, "Who are you?" "My name is Gandalf, and I'm here to tell you of your noblity, oh child of Feanor...";;;;;;x
EVTDESC_mep_bloodlines_events.1_elwe;An old man approaches you in the tavern as you sip your Pint. He takes a seat opposite you and asks the waitress for a cup and a meal then sits in silence. You finally speak up, "Who are you?" "My name is Gandalf, and I'm here to tell you of your noblity, oh child of Elwe...";;;;;;x
EVTDESC_mep_bloodlines_events.1_arpharazon;An old man approaches you in the tavern as you sip your Pint. He takes a seat opposite you and asks the waitress for a cup and a meal then sits in silence. You finally speak up, "Who are you?" "My name is Gandalf, and I'm here to tell you of your noblity, oh child of Arpharazon...";;;;;;x
EVTDESC_mep_bloodlines_events.1_durin;An old man approaches you in the tavern as you sip your Pint. He takes a seat opposite you and asks the waitress for a cup and a meal then sits in silence. You finally speak up, "Who are you?" "My name is Gandalf, and I'm here to tell you of your noblity, oh child of Durin...";;;;;;x
EVTDESC_mep_bloodlines_events.1_aldarion;An old man approaches you in the tavern as you sip your Pint. He takes a seat opposite you and asks the waitress for a cup and a meal then sits in silence. You finally speak up, "Who are you?" "My name is Gandalf, and I'm here to tell you of your noblity, oh child of Aldarion...";;;;;;x
EVTOPTA_mep_bloodlines_events.1;This is unbelieveable.;;;;;;x
numenor_blood;N˙menorean Blood;Sang de Numenor;;;;;x
numenor_blood_desc;This character is an heir of the fallen island of N˙menor, descended in a line unmingled, and so is blessed with a longer life than most men. Men of such a prestigious bloodline are rare in the late Third Age.;Ce personnage est un hÈritier de l'antique Numenor, et est bÈni d'une longue vie et d'une vue perçÁante.;;;;;x
blood_of_amdir;Line of AmdÌr;Ligne d'AmdÌr;;;;;x
blood_of_amdir_desc;This character is a descendant of AmdÌr who was a Sindarin Elf of Doriath, who later became the King of LÛrien.;;;;;;x
blood_of_anarion;Line of An·rion;Ligne d'An·rion;;;;;x
blood_of_anarion_desc;This character has strong traces of the blood of An·rion, second son of Elendil and younger brother of Isildur. His son Meneldil was the last man born in N˙menor before its downfall.;Ce personnage est un descendant d'Anarion, roi du Gondor, deuxiËme fils d'Elendil et frËre d'Isildur. Son fils Meneldil est le dernier homme a Ítre nÈ en Numenor avant sa submersion.;;;;;x
blood_of_castamir;Line of Castamir;Ligne d'Castamir;;;;;x
blood_of_castamir_desc;This character is a descendant of Castamir "the Usurper", who took the throne of Gondor but was violently deposed, and his sons fled to Umbar, which became a nuisance to Gondor for centuries.;;;;;;x
blood_of_durin;Line of Durin;Ligne d'Durin;;;;;x
blood_of_durin_desc;This character is a descendant of Durin high king of the Dwarves.;Ce personnage est un descendant d'Isildur, le roi d'Arnor, qui trancha la main de Sauron durant la Dernière Alliance. Ce personnage est un des prÈtendants au trÙne du Gondor.;;;;;x
blood_of_elendil;Line of Elendil;Ligne d'Elendil;;;;;x
blood_of_elendil_desc;This character is a descendant of Elendil, who was the father of Isildur and An·rion, a survivor of the Downfall of N˙menor, and the founder and first King of Arnor and Gondor.;;;;;;x
blood_of_elros;Line of Elros;Ligne d'Elros;;;;;x
blood_of_elros_desc;This character is a descendant of Elros Tar-Minyatur,the first King of N˙menor and brother of Elrond Half-Elven.;;;;;;x
blood_of_elwe;Line of ElwÎ;Ligne d'ElwÎ;;;;;x
blood_of_elwe_desc;This character is a descendant of ElwÎ,the first High King of the Sindar and the Lord of Beleriand.;;;;;;x
blood_of_eorl;Line of Eorl;Ligne d'Eorl;;;;;x
blood_of_eorl_desc;This character is a descendant of the founder of Rohan and all the Kings of Rohan.;;;;;;x
blood_of_feanor;Line of FÎanor;Ligne d'FÎanor;;;;;x
blood_of_feanor_desc;This character is a descendant of FÎanor,the second High King of the —oldor,the maker of the Silmarils,the inventor of the Tengwar script, and the creator of the seven PalantÌri.;;;;;;x
blood_of_finarfin;Line of Finarfin;Ligne d'Finarfin;;;;;x
blood_of_finarfin_desc;This character is a descendant of Finarfin,the High King of the —oldor in Valinor and the father of Galadriel.;;;;;;x
